,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,HomeTeamStreak_AtHome,HomeTeamStreak_AtAway,AwayTeamStreak_AtHome,AwayTeamStreak_AtAway
0,F1,10/08/2018,Marseille,Toulouse,2,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,F1,11/08/2018,Angers,Nimes,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2,F1,11/08/2018,Lille,Rennes,2,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
3,F1,11/08/2018,Montpellier,Dijon,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
4,F1,11/08/2018,Nantes,Monaco,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
5,F1,11/08/2018,Nice,Reims,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
6,F1,11/08/2018,St Etienne,Guingamp,2,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
7,F1,12/08/2018,Bordeaux,Strasbourg,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
8,F1,12/08/2018,Lyon,Amiens,2,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
9,F1,12/08/2018,Paris SG,Caen,2,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
10,F1,17/08/2018,Reims,Lyon,2,5.0,3.0,1,1,0,14.0,2.0,0.0,1.0,15.0,7.0,1,0,0,9.0,0.0,0.0,2.0,0,1,1,0
11,F1,18/08/2018,Amiens,Montpellier,0,10.0,1.0,0,1,1,17.0,2.0,0.0,0.0,16.0,7.0,0,0,1,15.0,2.0,0.0,1.0,0,-1,-1,0
12,F1,18/08/2018,Caen,Nice,1,5.0,1.0,0,1,1,7.0,0.0,0.0,0.0,19.0,1.0,0,0,1,13.0,1.0,0.0,0.0,0,-1,-1,0
13,F1,18/08/2018,Dijon,Nantes,2,9.0,4.0,1,1,0,21.0,2.0,0.0,2.0,16.0,4.0,0,0,1,8.0,1.0,0.0,1.0,0,1,-1,0
14,F1,18/08/2018,Guingamp,Paris SG,0,11.0,5.0,0,1,1,11.0,1.0,0.0,1.0,11.0,8.0,1,0,0,13.0,1.0,0.0,3.0,0,-1,1,0
