,Div,Date,Time,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,HATT,HMIL,HDEF,AATT,AMIL,ADEF,HB,AB
10,F1,30/08/2020,12:00,Reims,Lille,0.0,9.0,3.0,0,1,0,14.0,3.0,0.0,2.0,5.0,1.0,0,1,0,12.0,0.0,1.0,1.0,71,72,74,77,77,75,70.0,147.0
11,F1,30/08/2020,14:00,Angers,Bordeaux,0.0,12.0,4.0,1,1,0,8.0,0.0,0.0,1.0,5.0,1.0,0,1,0,10.0,2.0,1.0,0.0,74,74,73,73,75,75,45.0,50.0
12,F1,30/08/2020,14:00,Metz,Monaco,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,22.0,5.0,0,1,0,8.0,1.0,0.0,2.0,71,72,71,80,76,75,50.0,215.0
13,F1,30/08/2020,14:00,Nantes,Nimes,2.0,6.0,1.0,0,1,0,15.0,3.0,0.0,0.0,12.0,5.0,1,0,0,14.0,2.0,0.0,4.0,70,74,75,71,72,72,75.0,40.0
14,F1,30/08/2020,14:00,St Etienne,Lorient,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,10.0,7.0,1,0,0,17.0,3.0,0.0,3.0,76,72,73,70,70,71,95.0,45.0
15,F1,30/08/2020,20:00,Brest,Marseille,0.0,10.0,3.0,0,1,1,17.0,3.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,71,71,72,78,78,77,35.0,140.0
16,F1,10/09/2020,20:00,Lens,Paris SG,2.0,17.0,4.0,0,1,1,18.0,3.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,71,73,70,86,82,81,46.0,600.0
17,F1,11/09/2020,20:00,Bordeaux,Lyon,1.0,6.0,4.0,1,2,0,14.5,2.5,0.5,1.0,27.0,12.0,1,0,0,12.0,3.0,0.0,4.0,73,75,75,78,77,77,50.0,285.0
18,F1,12/09/2020,16:00,Montpellier,Nice,2.0,11.0,3.0,0,1,1,16.0,2.0,1.0,1.0,3.5,2.0,2,0,0,14.0,4.0,0.0,2.0,77,75,74,76,74,74,54.5,80.0
19,F1,12/09/2020,20:00,St Etienne,Strasbourg,2.0,13.0,5.0,1,0,0,14.0,2.0,0.0,2.0,6.5,0.5,0,0,2,12.0,2.0,0.0,0.5,76,72,73,74,74,74,95.0,50.0
20,F1,13/09/2020,12:00,Lille,Metz,2.0,7.5,2.0,1,2,0,11.5,0.5,0.5,1.0,14.0,4.0,0,0,1,14.0,0.0,0.0,0.0,77,77,75,71,72,71,147.0,50.0
21,F1,13/09/2020,14:00,Angers,Reims,2.0,12.0,3.0,1,1,1,10.0,0.5,0.0,0.5,6.5,1.5,0,1,1,17.0,3.5,0.0,1.0,74,74,73,71,72,74,45.0,70.0
22,F1,13/09/2020,14:00,Dijon,Brest,0.0,7.5,1.5,0,1,2,11.0,1.5,0.0,0.5,14.5,3.5,0,0,2,17.0,2.5,1.0,1.0,72,71,70,71,71,72,50.0,35.0
23,F1,13/09/2020,14:00,Lorient,Lens,0.0,8.0,4.0,1,1,1,20.0,2.0,0.0,1.5,12.0,3.5,1,0,1,19.5,2.5,0.0,1.0,70,70,71,71,73,70,45.0,46.0
24,F1,13/09/2020,14:00,Nimes,Rennes,0.0,14.5,7.0,1,1,1,11.5,2.0,0.0,2.5,16.0,5.0,1,1,0,17.0,2.0,1.5,1.5,71,72,72,75,77,76,40.0,105.0
25,F1,13/09/2020,16:00,Monaco,Nantes,2.0,12.5,3.5,1,2,0,14.0,3.0,0.5,1.5,7.0,3.0,1,1,0,15.5,3.0,1.0,1.0,80,76,75,70,74,75,215.0,75.0
26,F1,13/09/2020,20:00,Paris SG,Marseille,0.0,8.0,1.0,0,1,1,10.0,2.0,0.0,0.0,7.0,4.0,1,0,0,13.0,4.0,0.0,3.0,86,82,81,78,78,77,600.0,140.0
27,F1,15/09/2020,20:00,Montpellier,Lyon,2.0,15.5,8.0,1,1,1,16.5,1.0,0.5,2.0,23.5,7.5,1,1,0,15.5,3.0,0.0,2.0,77,75,74,78,77,77,54.5,285.0
