,Div,Date,Time,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,HATT,HMIL,HDEF,AATT,AMIL,ADEF
15,F1,30/08/2020,20:00,Brest,Marseille,0.0,10.0,3.0,0,0,1,17.0,3.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,71,71,72,78,78,77
16,F1,10/09/2020,20:00,Lens,Paris SG,2.0,17.0,4.0,0,0,1,18.0,3.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,71,73,70,86,82,81
17,F1,11/09/2020,20:00,Bordeaux,Lyon,1.0,6.0,4.0,1,1,0,14.5,2.5,0.5,1.0,27.0,12.0,1,0,0,12.0,3.0,0.0,4.0,73,75,75,78,77,77
18,F1,12/09/2020,16:00,Montpellier,Nice,2.0,11.0,3.0,0,0,1,16.0,2.0,1.0,1.0,3.5,2.0,2,0,0,14.0,4.0,0.0,2.0,77,75,74,76,74,74
19,F1,12/09/2020,20:00,St Etienne,Strasbourg,2.0,13.0,5.0,1,0,0,14.0,2.0,0.0,2.0,6.5,0.5,0,0,2,12.0,2.0,0.0,0.5,76,72,73,74,74,74
20,F1,13/09/2020,12:00,Lille,Metz,2.0,7.5,2.0,1,1,0,11.5,0.5,0.5,1.0,14.0,4.0,0,0,1,14.0,0.0,0.0,0.0,77,77,75,71,72,71
21,F1,13/09/2020,14:00,Angers,Reims,2.0,12.0,3.0,1,0,1,10.0,0.5,0.0,0.5,6.5,1.5,0,1,1,17.0,3.5,0.0,1.0,74,74,73,71,72,74
22,F1,13/09/2020,14:00,Dijon,Brest,0.0,7.5,1.5,0,0,2,11.0,1.5,0.0,0.5,14.5,3.5,0,0,2,17.0,2.5,1.0,1.0,72,71,70,71,71,72
23,F1,13/09/2020,14:00,Lorient,Lens,0.0,8.0,4.0,1,0,1,20.0,2.0,0.0,1.5,12.0,3.5,1,0,1,19.5,2.5,0.0,1.0,70,70,71,71,73,70
24,F1,13/09/2020,14:00,Nimes,Rennes,0.0,14.5,7.0,1,0,1,11.5,2.0,0.0,2.5,16.0,5.0,1,1,0,17.0,2.0,1.5,1.5,71,72,72,75,77,76
25,F1,13/09/2020,16:00,Monaco,Nantes,2.0,12.5,3.5,1,1,0,14.0,3.0,0.5,1.5,7.0,3.0,1,1,0,15.5,3.0,1.0,1.0,80,76,75,70,74,75
26,F1,13/09/2020,20:00,Paris SG,Marseille,0.0,8.0,1.0,0,0,1,10.0,2.0,0.0,0.0,7.0,4.0,1,0,0,13.0,4.0,0.0,3.0,86,82,81,78,78,77
27,F1,15/09/2020,20:00,Montpellier,Lyon,2.0,15.5,8.0,1,0,1,16.5,1.0,0.5,2.0,23.5,7.5,1,1,0,15.5,3.0,0.0,2.0,77,75,74,78,77,77
28,F1,16/09/2020,20:00,Paris SG,Metz,2.0,11.0,2.5,0,0,2,13.5,4.0,1.5,0.0,9.5,2.5,0,0,2,14.0,2.0,0.0,0.0,86,82,81,71,72,71
29,F1,17/09/2020,20:00,Marseille,St Etienne,0.0,6.0,3.0,2,0,0,16.0,6.0,1.0,2.0,11.5,4.5,2,0,0,13.5,1.5,0.0,2.0,78,78,77,76,72,73
30,F1,18/09/2020,20:00,Lyon,Nimes,1.0,22.0,7.333333333333334,1,1,1,14.666666666666664,2.6666666666666665,0.3333333333333333,1.6666666666666663,15.333333333333336,7.666666666666668,1,0,2,13.333333333333336,2.0,0.0,2.333333333333333,78,77,77,71,72,72
31,F1,19/09/2020,16:00,Lens,Bordeaux,2.0,12.0,4.333333333333333,2,0,1,18.33333333333333,2.6666666666666665,0.3333333333333333,1.6666666666666663,5.666666666666668,2.666666666666667,1,2,0,13.666666666666664,2.333333333333333,0.3333333333333333,0.6666666666666666,71,73,70,73,75,75
32,F1,19/09/2020,20:00,Rennes,Monaco,2.0,14.0,5.333333333333334,2,1,0,15.666666666666664,3.333333333333333,0.6666666666666666,2.333333333333333,14.333333333333332,4.0,2,1,0,14.0,3.0,1.0,1.6666666666666663,75,77,76,80,76,75
33,F1,20/09/2020,12:00,Nice,Paris SG,0.0,5.333333333333333,1.6666666666666663,2,0,1,14.666666666666668,3.333333333333333,0.0,1.6666666666666663,14.0,4.333333333333333,1,0,2,11.666666666666664,3.6666666666666665,1.3333333333333333,0.3333333333333333,76,74,74,86,82,81
34,F1,20/09/2020,14:00,Brest,Lorient,2.0,16.0,4.0,1,0,2,16.666666666666668,1.6666666666666663,0.3333333333333333,1.3333333333333333,7.333333333333334,3.666666666666667,1,0,2,20.0,2.6666666666666665,0.0,1.6666666666666663,71,71,72,70,70,71
35,F1,20/09/2020,14:00,Metz,Reims,2.0,8.666666666666668,2.0,0,0,3,11.333333333333336,2.0,0.0,0.0,6.666666666666666,1.6666666666666663,0,1,2,15.333333333333336,3.0,1.0,0.6666666666666666,71,72,71,71,72,74
36,F1,20/09/2020,14:00,Montpellier,Angers,2.0,13.666666666666668,6.333333333333332,2,0,1,15.333333333333332,1.6666666666666663,0.6666666666666666,2.0,14.666666666666668,4.333333333333334,2,0,1,10.666666666666666,1.6666666666666663,0.3333333333333333,0.6666666666666666,77,75,74,74,74,73
37,F1,20/09/2020,14:00,Strasbourg,Dijon,2.0,9.0,2.666666666666667,0,0,3,14.333333333333332,2.333333333333333,0.0,0.3333333333333333,7.333333333333334,2.0,0,0,3,12.666666666666668,1.6666666666666663,0.3333333333333333,0.3333333333333333,74,74,74,72,71,70
38,F1,20/09/2020,16:00,Nantes,St Etienne,1.0,7.0,2.6666666666666665,1,1,1,13.999999999999998,2.333333333333333,0.6666666666666666,1.0,11.666666666666664,4.666666666666667,3,0,0,14.0,1.6666666666666663,0.0,2.0,70,74,75,76,72,73
39,F1,20/09/2020,20:00,Marseille,Lille,1.0,8.333333333333332,2.6666666666666665,2,0,1,15.0,4.666666666666667,0.6666666666666666,1.3333333333333333,10.333333333333332,3.333333333333333,2,1,0,11.666666666666664,1.6666666666666663,0.3333333333333333,1.0,78,78,77,77,77,75
40,F1,25/09/2020,20:00,Lille,Nantes,2.0,11.25,4.25,2,2,0,13.25,2.0,0.25,1.0,9.0,2.75,1,2,1,13.5,2.25,0.5,1.25,77,77,75,70,74,75
41,F1,26/09/2020,16:00,St Etienne,Rennes,0.0,10.25,4.5,3,1,0,14.75,1.75,0.0,2.0,14.0,4.75,3,1,0,14.5,2.75,1.25,2.25,76,72,73,75,77,76
42,F1,26/09/2020,20:00,Marseille,Metz,1.0,9.0,2.5,2,1,1,14.25,4.25,0.5,1.25,10.0,2.5,1,0,3,12.0,1.75,0.0,0.5,78,78,77,71,72,71
43,F1,27/09/2020,12:00,Bordeaux,Nice,1.0,6.0,2.75,1,2,1,14.0,3.0,0.5,0.75,7.5,2.5,2,0,2,13.25,2.75,0.0,1.25,73,75,75,76,74,74
44,F1,27/09/2020,14:00,Angers,Brest,2.0,14.5,4.0,2,0,2,9.25,2.0,0.25,0.75,15.5,4.5,2,0,2,17.5,1.75,1.0,1.75,74,74,73,71,71,72
45,F1,27/09/2020,14:00,Dijon,Montpellier,1.0,7.0,2.0,0,0,4,13.5,1.5,0.25,0.25,13.75,7.0,3,0,1,15.0,2.25,1.25,2.5,72,71,70,77,75,74
46,F1,27/09/2020,14:00,Monaco,Strasbourg,2.0,14.25,3.5,2,1,1,13.25,2.75,0.25,1.5,11.0,3.5,1,0,3,13.25,2.0,0.0,0.5,80,76,75,74,74,74
47,F1,27/09/2020,14:00,Nimes,Lens,1.0,14.0,6.5,1,1,2,13.0,2.0,0.0,1.75,13.75,4.5,3,0,1,17.5,3.25,1.0,1.75,71,72,72,71,73,70
48,F1,27/09/2020,16:00,Lorient,Lyon,1.0,7.75,3.75,1,0,3,18.25,2.25,0.0,1.75,20.5,6.25,1,2,1,15.5,2.75,1.0,1.25,70,70,71,78,77,77
49,F1,27/09/2020,20:00,Reims,Paris SG,0.0,7.5,2.25,0,1,3,13.25,3.25,0.5,0.75,14.0,4.75,2,0,2,11.0,3.25,1.0,1.0,71,72,74,86,82,81
50,F1,02/10/2020,20:00,Paris SG,Angers,2.0,15.4,5.199999999999998,3,0,2,10.8,3.0,0.8,1.2000000000000002,14.000000000000002,4.2,3,0,2,10.8,2.2,0.2,1.2000000000000002,86,82,81,74,74,73
51,F1,03/10/2020,16:00,Lens,St Etienne,2.0,14.0,4.8,3,1,1,17.2,3.2,0.2,1.6,9.4,4.4,3,1,1,14.0,1.6,0.0,1.6,71,73,70,76,72,73
52,F1,03/10/2020,20:00,Nice,Nantes,2.0,8.6,2.4,2,1,2,13.6,2.4000000000000004,0.0,1.0,9.6,3.4000000000000004,1,2,2,13.2,2.2,0.4,1.0,76,74,74,70,74,75
53,F1,04/10/2020,12:00,Montpellier,Nimes,0.0,13.8,6.6000000000000005,3,1,1,14.2,2.0,0.4,2.4,13.8,5.999999999999999,1,2,2,12.4,1.6,0.0,1.6,77,75,74,71,72,72
54,F1,04/10/2020,14:00,Bordeaux,Dijon,2.0,8.4,3.2,1,3,1,13.0,2.6,0.4,0.6000000000000001,8.600000000000001,2.8,0,1,4,13.8,2.0,0.2,0.6000000000000001,73,75,75,72,71,70
55,F1,04/10/2020,14:00,Brest,Monaco,2.0,15.2,4.8,2,0,3,18.2,1.7999999999999998,0.2,1.7999999999999998,13.599999999999998,3.8,3,1,1,12.799999999999995,2.8,1.4,1.7999999999999998,71,71,72,80,76,75
56,F1,04/10/2020,14:00,Metz,Lorient,2.0,10.8,2.6,1,1,3,11.8,1.8000000000000005,0.0,0.6000000000000001,7.0,3.4,1,1,3,18.4,2.2,0.0,1.6,71,72,71,70,70,71
57,F1,04/10/2020,14:00,Strasbourg,Lille,0.0,11.0,3.8,1,0,4,13.0,1.7999999999999998,0.0,0.8,11.4,4.2,3,2,0,13.8,1.6,0.2,1.2000000000000002,74,74,74,77,77,75
58,F1,04/10/2020,16:00,Rennes,Reims,1.0,13.2,5.0,4,1,0,14.000000000000002,2.4000000000000004,0.4,2.4000000000000004,7.6,2.4,0,1,4,12.8,3.0,2.0,0.6000000000000001,75,77,76,71,72,74
59,F1,04/10/2020,20:00,Lyon,Marseille,1.0,20.2,6.2,1,3,1,13.8,2.2,0.2,1.2,10.6,2.6,2,2,1,14.4,3.4000000000000004,2.0,1.2,78,77,77,78,78,77
