,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
23,F1,13/09/2020,14:00,Lorient,Lens,2,3,0.0,1,2,0.0,6,12,3,6,20,16,4,2,4,3,0,1
24,F1,13/09/2020,14:00,Nimes,Rennes,2,4,0.0,1,2,0.0,17,10,9,6,17,13,8,4,2,6,0,0
25,F1,13/09/2020,16:00,Monaco,Nantes,2,1,2.0,1,0,2.0,18,7,5,2,14,11,9,4,3,1,0,0
26,F1,13/09/2020,20:00,Paris SG,Marseille,0,1,0.0,0,1,0.0,14,5,4,2,17,19,4,2,6,8,3,2
27,F1,15/09/2020,20:00,Montpellier,Lyon,2,1,2.0,1,0,2.0,10,19,3,7,13,13,4,11,3,2,1,1
28,F1,16/09/2020,20:00,Paris SG,Metz,1,0,2.0,0,0,1.0,20,7,8,1,8,6,8,2,3,2,1,0
29,F1,17/09/2020,20:00,Marseille,St Etienne,0,2,0.0,0,1,0.0,13,12,2,5,13,15,7,6,2,2,0,0
30,F1,18/09/2020,20:00,Lyon,Nimes,0,0,1.0,0,0,1.0,16,10,3,3,18,12,9,2,3,2,0,0
31,F1,19/09/2020,16:00,Lens,Bordeaux,2,1,2.0,0,0,1.0,19,7,5,3,15,15,7,0,5,5,0,1
32,F1,19/09/2020,20:00,Rennes,Monaco,2,1,2.0,0,1,0.0,14,14,3,2,11,11,9,10,1,2,0,0
33,F1,20/09/2020,12:00,Nice,Paris SG,0,3,0.0,0,2,0.0,14,14,5,6,9,9,4,7,1,2,0,0
34,F1,20/09/2020,14:00,Brest,Lorient,3,2,2.0,2,1,2.0,14,9,6,4,20,13,4,6,2,1,0,0
35,F1,20/09/2020,14:00,Metz,Reims,2,1,2.0,1,1,1.0,14,10,4,4,14,7,8,5,1,4,0,1
36,F1,20/09/2020,14:00,Montpellier,Angers,4,1,2.0,2,1,2.0,14,14,9,3,14,5,6,3,4,3,0,0
37,F1,20/09/2020,14:00,Strasbourg,Dijon,1,0,2.0,0,0,1.0,17,6,6,2,10,16,8,2,1,1,0,0
38,F1,20/09/2020,16:00,Nantes,St Etienne,2,2,1.0,0,1,0.0,15,6,3,4,12,17,4,2,2,2,0,0
39,F1,20/09/2020,20:00,Marseille,Lille,1,1,1.0,0,0,1.0,11,14,2,7,12,18,5,4,3,3,0,0
40,F1,25/09/2020,20:00,Lille,Nantes,2,0,2.0,1,0,2.0,12,12,4,6,16,12,4,7,0,2,0,0
41,F1,26/09/2020,16:00,St Etienne,Rennes,0,3,0.0,0,1,0.0,6,10,4,6,11,12,6,4,1,1,0,0
42,F1,26/09/2020,20:00,Marseille,Metz,1,1,1.0,0,0,1.0,17,14,3,3,15,11,5,5,0,2,0,0
43,F1,27/09/2020,12:00,Bordeaux,Nice,0,0,1.0,0,0,1.0,18,13,5,2,9,15,7,7,1,1,0,0
44,F1,27/09/2020,14:00,Angers,Brest,3,2,2.0,1,2,0.0,12,14,5,6,17,21,6,1,3,2,0,0
45,F1,27/09/2020,14:00,Dijon,Montpellier,2,2,1.0,1,0,2.0,15,14,6,5,15,11,6,13,4,1,0,0
46,F1,27/09/2020,14:00,Monaco,Strasbourg,3,2,2.0,2,0,2.0,11,11,5,5,11,12,6,2,3,1,2,0
47,F1,27/09/2020,14:00,Nimes,Lens,1,1,1.0,0,1,0.0,13,15,4,6,10,16,5,7,0,3,0,0
48,F1,27/09/2020,16:00,Lorient,Lyon,1,1,1.0,0,0,1.0,4,19,2,6,19,7,1,5,2,0,0,0
49,F1,27/09/2020,20:00,Reims,Paris SG,0,2,0.0,0,1,0.0,8,21,3,7,11,10,3,7,2,2,0,0
50,F1,02/10/2020,20:00,Paris SG,Angers,6,1,2.0,2,0,2.0,18,8,12,2,11,9,6,2,1,2,0,0
51,F1,03/10/2020,16:00,Lens,St Etienne,2,0,2.0,1,0,2.0,13,2,5,1,23,10,12,0,1,1,0,2
52,F1,03/10/2020,20:00,Nice,Nantes,2,1,2.0,1,1,1.0,18,11,7,1,13,8,9,2,2,1,0,1
53,F1,04/10/2020,12:00,Montpellier,Nimes,0,1,0.0,0,0,1.0,12,8,2,1,14,15,8,2,2,1,0,0
54,F1,04/10/2020,14:00,Bordeaux,Dijon,3,0,2.0,2,0,2.0,17,5,7,1,15,14,5,4,2,3,0,0
55,F1,04/10/2020,14:00,Brest,Monaco,1,0,2.0,1,0,2.0,7,21,5,2,10,17,1,8,3,4,0,0
56,F1,04/10/2020,14:00,Metz,Lorient,3,1,2.0,1,1,1.0,16,10,8,4,10,14,4,3,1,2,0,0
57,F1,04/10/2020,14:00,Strasbourg,Lille,0,3,0.0,0,1,0.0,14,12,3,6,11,10,11,1,1,1,0,0
58,F1,04/10/2020,16:00,Rennes,Reims,2,2,1.0,2,1,2.0,18,9,3,4,12,16,10,2,4,3,0,0
59,F1,04/10/2020,20:00,Lyon,Marseille,1,1,1.0,1,1,1.0,24,4,3,1,14,10,19,5,1,1,0,1
60,F1,16/10/2020,18:00,Dijon,Rennes,1,1,1.0,0,1,0.0,12,12,4,3,22,13,3,5,4,2,0,0
61,F1,16/10/2020,20:00,Nimes,Paris SG,0,4,0.0,0,1,0.0,5,30,2,11,10,12,1,9,1,2,1,0
62,F1,17/10/2020,16:00,Reims,Lorient,1,3,0.0,1,0,2.0,6,14,3,4,14,11,3,6,4,1,2,0
63,F1,17/10/2020,20:00,Marseille,Bordeaux,3,1,2.0,1,0,2.0,6,8,4,4,13,13,6,10,3,1,0,0
64,F1,18/10/2020,12:00,Strasbourg,Lyon,2,3,0.0,1,3,0.0,20,14,9,8,13,8,4,2,2,3,0,0
65,F1,18/10/2020,14:00,Angers,Metz,1,1,1.0,1,1,1.0,7,7,2,3,18,13,2,5,4,2,0,0
66,F1,18/10/2020,14:00,Monaco,Montpellier,1,1,1.0,0,0,1.0,21,3,7,2,13,13,10,2,2,1,0,1
67,F1,18/10/2020,14:00,Nantes,Brest,3,1,2.0,2,0,2.0,12,14,8,5,15,15,2,6,3,2,0,0
68,F1,18/10/2020,16:00,St Etienne,Nice,1,3,0.0,0,2,0.0,11,11,4,5,15,10,7,3,2,5,0,0
69,F1,18/10/2020,20:00,Lille,Lens,4,0,2.0,1,0,2.0,17,7,6,2,13,16,7,2,0,3,0,2
70,F1,23/10/2020,20:00,Rennes,Angers,1,2,0.0,1,1,1.0,11,10,1,4,11,5,5,4,2,0,0,0
71,F1,24/10/2020,16:00,Lorient,Marseille,0,1,0.0,0,0,1.0,13,15,3,3,10,12,6,4,3,3,0,0
72,F1,24/10/2020,20:00,Paris SG,Dijon,4,0,2.0,2,0,2.0,20,16,9,3,12,18,4,10,0,2,0,0
73,F1,25/10/2020,14:00,Bordeaux,Nimes,2,0,2.0,0,0,1.0,20,8,6,4,9,16,7,4,3,3,0,0
74,F1,25/10/2020,14:00,Brest,Strasbourg,0,3,0.0,0,2,0.0,14,7,4,5,8,11,12,2,1,3,0,0
75,F1,25/10/2020,14:00,Metz,St Etienne,2,0,2.0,1,0,2.0,6,10,3,0,11,18,5,3,3,3,0,0
76,F1,25/10/2020,14:00,Montpellier,Reims,0,4,0.0,0,3,0.0,5,24,1,9,7,11,3,8,1,0,2,0
77,F1,25/10/2020,16:00,Nice,Lille,1,1,1.0,0,0,1.0,8,12,3,4,13,18,5,3,1,6,0,0
78,F1,25/10/2020,20:00,Lyon,Monaco,4,1,2.0,4,0,2.0,15,18,6,5,12,15,2,12,3,4,1,0
79,F1,31/10/2020,16:00,Rennes,Brest,2,1,2.0,0,0,1.0,24,9,8,4,2,12,8,1,1,3,0,0
80,F1,31/10/2020,20:00,Nantes,Paris SG,0,3,0.0,0,0,1.0,6,13,1,4,13,13,2,4,2,1,0,0
81,F1,01/11/2020,12:00,St Etienne,Montpellier,0,1,0.0,0,1,0.0,8,10,0,2,16,17,8,2,3,3,0,0
82,F1,01/11/2020,14:00,Angers,Nice,0,3,0.0,0,2,0.0,11,12,5,5,18,12,9,5,5,2,0,0
83,F1,01/11/2020,14:00,Dijon,Lorient,0,0,1.0,0,0,1.0,11,9,2,1,18,13,9,7,2,1,0,0
84,F1,01/11/2020,14:00,Nimes,Metz,0,1,0.0,0,1,0.0,16,8,2,5,13,15,10,1,3,2,0,1
85,F1,01/11/2020,14:00,Reims,Strasbourg,2,1,2.0,2,1,2.0,12,9,4,3,13,13,5,3,0,2,0,0
86,F1,01/11/2020,16:00,Monaco,Bordeaux,4,0,2.0,3,0,2.0,17,5,6,0,10,12,10,4,2,2,0,0
87,F1,01/11/2020,20:00,Lille,Lyon,1,1,1.0,1,1,1.0,15,8,6,1,14,10,9,4,3,3,0,1
88,F1,06/11/2020,20:00,Strasbourg,Marseille,0,1,0.0,0,0,1.0,9,1,2,1,13,17,2,2,0,4,0,0
89,F1,07/11/2020,16:00,Bordeaux,Montpellier,0,2,0.0,0,0,1.0,9,9,1,3,14,10,3,5,2,1,0,0
90,F1,07/11/2020,20:00,Paris SG,Rennes,3,0,2.0,2,0,2.0,9,16,6,3,19,15,2,7,3,0,0,0
91,F1,08/11/2020,12:00,Brest,Lille,3,2,2.0,3,1,2.0,12,22,8,7,13,15,3,11,4,3,0,0
92,F1,08/11/2020,14:00,Lens,Reims,4,4,1.0,1,0,2.0,14,8,5,6,12,7,9,1,3,1,0,0
93,F1,08/11/2020,14:00,Lorient,Nantes,0,2,0.0,0,0,1.0,18,16,4,4,17,9,5,5,3,1,0,0
94,F1,08/11/2020,14:00,Metz,Dijon,1,1,1.0,1,1,1.0,14,14,4,6,16,11,5,6,2,1,0,0
95,F1,08/11/2020,14:00,Nimes,Angers,1,5,0.0,0,2,0.0,11,15,4,8,12,15,6,2,2,5,0,0
96,F1,08/11/2020,16:00,Nice,Monaco,1,2,0.0,0,1,0.0,8,15,4,8,8,16,1,4,2,2,0,0
97,F1,08/11/2020,20:00,Lyon,St Etienne,2,1,2.0,0,1,0.0,18,16,6,4,19,19,3,5,5,3,0,0
