,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,F1,21/08/2020,18:00,Bordeaux,Nantes,0,0,1.0,0,0,1.0,5,6,1,1,10,15,2,3,2,3,1,0
1,F1,22/08/2020,16:00,Dijon,Angers,0,1,0.0,0,1,0.0,9,12,1,4,15,8,3,9,0,0,0,0
2,F1,22/08/2020,20:00,Lille,Rennes,1,1,1.0,1,0,2.0,5,16,1,3,12,16,4,2,0,1,1,1
3,F1,23/08/2020,12:00,Monaco,Reims,2,2,1.0,1,2,0.0,22,9,5,3,8,14,8,1,1,3,0,0
4,F1,23/08/2020,14:00,Lorient,Strasbourg,3,1,2.0,0,1,0.0,10,7,7,1,17,10,6,1,3,2,0,0
5,F1,23/08/2020,14:00,Nimes,Brest,4,0,2.0,2,0,2.0,12,10,5,3,14,17,4,4,2,3,0,1
6,F1,23/08/2020,16:00,Nice,Lens,2,1,2.0,1,1,1.0,4,17,2,4,17,18,1,7,2,3,0,0
7,F1,28/08/2020,20:00,Lyon,Dijon,4,1,2.0,3,1,2.0,27,6,12,2,12,7,13,2,3,3,0,0
8,F1,29/08/2020,16:00,Rennes,Montpellier,2,1,2.0,1,0,2.0,16,11,7,3,18,16,2,1,3,2,1,1
9,F1,29/08/2020,20:00,Strasbourg,Nice,0,2,0.0,0,1,0.0,6,3,0,2,14,11,3,1,2,6,0,0
10,F1,30/08/2020,12:00,Reims,Lille,0,1,0.0,0,1,0.0,4,10,0,3,20,11,1,2,4,1,0,0
11,F1,30/08/2020,14:00,Angers,Bordeaux,0,2,0.0,0,2,0.0,12,7,2,7,12,19,5,7,1,3,0,0
12,F1,30/08/2020,14:00,Metz,Monaco,0,1,0.0,0,1,0.0,14,3,4,2,14,20,10,1,0,5,0,1
13,F1,30/08/2020,14:00,Nantes,Nimes,2,1,2.0,2,0,2.0,8,17,5,9,16,9,4,8,3,2,2,0
14,F1,30/08/2020,14:00,St Etienne,Lorient,2,0,2.0,1,0,2.0,13,6,5,1,14,23,2,5,2,1,0,0
15,F1,30/08/2020,20:00,Brest,Marseille,2,3,0.0,1,2,0.0,19,7,4,4,17,13,10,2,2,4,0,0
16,F1,10/09/2020,20:00,Lens,Paris SG,1,0,2.0,0,0,1.0,7,8,3,1,21,10,4,2,2,2,0,0
17,F1,11/09/2020,20:00,Bordeaux,Lyon,0,0,1.0,0,0,1.0,5,20,0,3,12,19,4,5,2,3,0,0
18,F1,12/09/2020,16:00,Montpellier,Nice,3,1,2.0,1,0,2.0,20,9,13,1,17,16,8,9,0,2,0,0
19,F1,12/09/2020,20:00,St Etienne,Strasbourg,2,0,2.0,0,0,1.0,10,14,4,7,13,19,6,3,1,3,0,0
20,F1,13/09/2020,12:00,Lille,Metz,1,0,2.0,0,0,1.0,16,5,6,1,12,14,8,3,4,4,0,0
21,F1,13/09/2020,14:00,Angers,Reims,1,0,2.0,0,0,1.0,20,7,7,2,12,12,1,2,4,2,1,1
22,F1,13/09/2020,14:00,Dijon,Brest,0,2,0.0,0,1,0.0,7,19,3,5,16,16,5,7,2,0,1,0
