,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
49,F1,16/09/12,Rennes,Lorient,1,2,0.0,0,2,0.0,16,10,5,6,13,16,7,5,1,1,1,2
50,F1,21/09/12,Montpellier,St Etienne,1,1,1.0,0,1,0.0,13,14,3,3,15,14,5,11,0,2,0,0
51,F1,22/09/12,Bastia,Paris SG,0,4,0.0,0,2,0.0,10,9,4,4,17,17,8,1,3,4,0,0
52,F1,22/09/12,Brest,Valenciennes,2,1,2.0,0,1,0.0,15,17,6,3,15,17,3,3,2,2,0,1
53,F1,22/09/12,Lorient,Nice,1,1,1.0,0,1,0.0,15,7,4,4,12,14,12,2,3,2,1,0
54,F1,22/09/12,Reims,Nancy,2,0,2.0,1,0,2.0,6,19,3,8,17,13,7,8,2,1,0,0
55,F1,22/09/12,Sochaux,Troyes,3,1,2.0,1,1,1.0,17,7,9,5,7,17,2,3,1,1,0,1
56,F1,22/09/12,Toulouse,Rennes,2,2,1.0,1,1,1.0,9,9,2,6,11,17,10,6,1,1,0,0
57,F1,23/09/12,Bordeaux,Ajaccio,2,2,1.0,0,0,1.0,13,10,7,3,10,11,2,7,3,1,0,0
58,F1,23/09/12,Lille,Lyon,1,1,1.0,1,0,2.0,9,7,3,3,18,15,7,3,2,0,0,0
59,F1,23/09/12,Marseille,Evian Thonon Gaillard,1,0,2.0,1,0,2.0,8,7,3,2,9,22,5,6,1,1,0,0
60,F1,28/09/12,Rennes,Lille,2,0,2.0,0,0,1.0,9,9,4,2,17,14,3,5,1,2,0,0
61,F1,29/09/12,Ajaccio,Brest,1,0,2.0,0,0,1.0,12,11,5,1,14,16,7,2,1,2,0,0
62,F1,29/09/12,Evian Thonon Gaillard,Lorient,1,1,1.0,1,0,2.0,13,11,7,3,22,10,5,9,5,1,0,0
63,F1,29/09/12,Nancy,Montpellier,0,2,0.0,0,0,1.0,10,12,3,4,15,12,6,3,1,2,0,0
64,F1,29/09/12,Nice,Bastia,2,2,1.0,1,1,1.0,12,8,2,2,19,14,2,4,5,3,0,0
65,F1,29/09/12,Paris SG,Sochaux,2,0,2.0,2,0,2.0,9,11,4,3,7,9,0,6,1,2,0,0
66,F1,29/09/12,Troyes,Toulouse,0,2,0.0,0,0,1.0,8,16,1,7,17,12,7,6,1,0,0,0
67,F1,30/09/12,Lyon,Bordeaux,0,2,0.0,0,0,1.0,23,5,6,4,15,16,11,2,1,2,0,0
68,F1,30/09/12,St Etienne,Reims,0,0,1.0,0,0,1.0,19,3,5,1,13,15,8,2,0,3,0,0
69,F1,30/09/12,Valenciennes,Marseille,4,1,2.0,3,0,2.0,15,11,6,3,12,13,3,6,1,3,0,0
70,F1,05/10/12,St Etienne,Nancy,4,0,2.0,4,0,2.0,23,11,10,4,12,12,7,7,1,0,0,1
71,F1,06/10/12,Bastia,Troyes,3,2,2.0,2,1,2.0,23,11,6,4,12,15,6,2,2,0,0,2
72,F1,06/10/12,Lille,Ajaccio,2,0,2.0,1,0,2.0,15,10,4,2,18,14,3,2,2,1,0,0
73,F1,06/10/12,Montpellier,Evian Thonon Gaillard,2,3,0.0,2,1,2.0,13,4,8,3,16,23,6,0,4,2,0,0
74,F1,06/10/12,Reims,Nice,3,1,2.0,1,0,2.0,5,12,4,3,12,12,2,5,1,3,0,0
75,F1,06/10/12,Sochaux,Rennes,0,1,0.0,0,1,0.0,11,9,3,2,16,14,8,4,2,3,0,0
76,F1,06/10/12,Toulouse,Valenciennes,2,2,1.0,0,2,0.0,19,8,7,3,18,14,16,1,2,3,0,0
77,F1,07/10/12,Brest,Bordeaux,1,1,1.0,1,0,2.0,12,17,2,6,15,12,1,3,2,3,0,0
78,F1,07/10/12,Lorient,Lyon,1,1,1.0,0,1,0.0,14,12,6,3,15,17,8,11,1,1,0,0
79,F1,07/10/12,Marseille,Paris SG,2,2,1.0,2,2,1.0,12,8,4,3,11,16,1,4,1,2,0,0
80,F1,19/10/12,Bordeaux,Lille,1,1,1.0,1,0,2.0,13,12,5,6,15,18,3,4,2,2,0,0
81,F1,20/10/12,Evian Thonon Gaillard,Toulouse,0,4,0.0,0,2,0.0,16,8,7,5,18,21,8,0,1,3,0,0
82,F1,20/10/12,Nancy,Sochaux,1,1,1.0,1,0,2.0,8,14,4,3,16,13,3,8,2,3,1,0
83,F1,20/10/12,Nice,St Etienne,1,1,1.0,1,0,2.0,10,16,3,8,14,10,4,8,0,0,0,0
84,F1,20/10/12,Paris SG,Reims,1,0,2.0,0,0,1.0,23,16,6,4,12,7,5,7,2,2,0,0
85,F1,20/10/12,Rennes,Montpellier,2,1,2.0,1,0,2.0,9,12,4,5,16,15,6,5,0,3,0,0
86,F1,20/10/12,Valenciennes,Lorient,6,1,2.0,2,1,2.0,12,12,8,3,13,11,7,4,2,1,0,2
87,F1,21/10/12,Ajaccio,Bastia,0,0,1.0,0,0,1.0,12,9,5,0,17,22,4,3,2,2,1,1
88,F1,21/10/12,Lyon,Brest,1,0,2.0,0,0,1.0,8,3,5,1,6,14,5,1,0,1,0,0
89,F1,21/10/12,Troyes,Marseille,1,0,2.0,0,0,1.0,5,16,2,4,15,8,4,10,1,1,0,0
90,F1,26/10/12,St Etienne,Rennes,2,0,2.0,1,0,2.0,10,15,6,7,17,14,6,3,1,2,0,1
91,F1,27/10/12,Lille,Valenciennes,2,1,2.0,2,0,2.0,19,9,5,4,21,15,6,3,2,1,0,1
92,F1,27/10/12,Montpellier,Nice,3,1,2.0,0,0,1.0,13,10,6,3,19,18,4,4,4,1,1,0
93,F1,27/10/12,Nancy,Paris SG,0,1,0.0,0,0,1.0,13,13,3,4,13,12,5,8,2,3,0,0
94,F1,27/10/12,Reims,Troyes,1,1,1.0,1,0,2.0,13,18,3,3,7,8,5,3,0,1,0,0
95,F1,27/10/12,Toulouse,Brest,3,1,2.0,2,0,2.0,11,15,6,4,12,13,10,4,1,2,0,0
96,F1,28/10/12,Bastia,Bordeaux,3,1,2.0,2,1,2.0,11,15,4,7,20,14,5,6,2,2,0,0
97,F1,28/10/12,Lorient,Ajaccio,4,4,1.0,1,4,0.0,27,10,10,6,11,20,8,2,2,3,0,0
