,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,F1,06/08/11,Ajaccio,Toulouse,0,2,0.0,0,1,0.0,18,13,6,8,14.0,17.0,11,4,4,2,0,0
1,F1,06/08/11,Brest,Evian Thonon Gaillard,2,2,1.0,2,2,1.0,23,9,7,3,12.0,15.0,11,8,2,2,0,0
2,F1,06/08/11,Caen,Valenciennes,1,0,2.0,1,0,2.0,11,11,3,6,12.0,11.0,3,11,2,1,0,0
3,F1,06/08/11,Marseille,Sochaux,2,2,1.0,1,0,2.0,27,8,8,3,15.0,13.0,4,5,1,3,0,0
4,F1,06/08/11,Montpellier,Auxerre,3,1,2.0,1,1,1.0,13,18,4,8,16.0,22.0,4,5,0,1,0,0
5,F1,06/08/11,Nancy,Lille,1,1,1.0,0,0,1.0,5,18,1,6,17.0,21.0,6,8,2,3,1,0
6,F1,06/08/11,Nice,Lyon,1,3,0.0,1,2,0.0,12,22,4,9,18.0,13.0,12,9,2,1,0,0
7,F1,06/08/11,Paris SG,Lorient,0,1,0.0,0,1,0.0,12,9,3,4,21.0,10.0,7,6,1,3,0,0
8,F1,07/08/11,Bordeaux,St Etienne,1,2,0.0,0,2,0.0,12,12,5,2,16.0,19.0,3,4,1,4,0,0
9,F1,07/08/11,Dijon,Rennes,1,5,0.0,1,2,0.0,18,15,5,7,18.0,16.0,9,3,3,2,0,0
10,F1,13/08/11,Lorient,Bordeaux,1,1,1.0,0,0,1.0,11,11,5,6,13.0,15.0,5,10,1,1,0,1
11,F1,13/08/11,Lyon,Ajaccio,1,1,1.0,0,0,1.0,25,7,8,2,15.0,17.0,13,1,1,3,0,0
12,F1,13/08/11,Rennes,Paris SG,1,1,1.0,0,0,1.0,11,8,4,4,15.0,21.0,3,3,2,2,0,0
13,F1,13/08/11,Sochaux,Caen,1,2,0.0,0,1,0.0,18,16,8,6,13.0,20.0,8,3,0,1,0,0
14,F1,13/08/11,St Etienne,Nancy,1,0,2.0,0,0,1.0,16,5,4,2,11.0,17.0,9,2,2,1,0,0
15,F1,13/08/11,Toulouse,Dijon,2,0,2.0,0,0,1.0,13,7,7,3,8.0,11.0,6,1,1,2,0,0
16,F1,13/08/11,Valenciennes,Brest,0,0,1.0,0,0,1.0,12,7,6,6,17.0,16.0,7,4,1,1,0,0
17,F1,14/08/11,Auxerre,Marseille,2,2,1.0,0,2,0.0,13,7,5,2,18.0,18.0,9,2,5,2,0,0
18,F1,14/08/11,Evian Thonon Gaillard,Nice,1,0,2.0,0,0,1.0,13,12,4,3,14.0,13.0,2,5,3,1,0,0
19,F1,14/08/11,Lille,Montpellier,0,1,0.0,0,0,1.0,20,9,6,3,10.0,22.0,7,0,3,2,0,0
