,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,F1,08/08/09,Auxerre,Sochaux,0,1,0.0,0,1,0.0,12,9,2,3,10,18,6,10,0,2,0,0
1,F1,08/08/09,Grenoble,Marseille,0,2,0.0,0,1,0.0,6,16,1,5,14,19,3,6,2,1,0,0
2,F1,08/08/09,Le Mans,Lyon,2,2,1.0,1,1,1.0,8,20,4,6,18,18,3,11,3,2,0,0
3,F1,08/08/09,Monaco,Toulouse,1,0,2.0,1,0,2.0,11,11,6,4,17,19,8,4,2,3,1,0
4,F1,08/08/09,Montpellier,Paris SG,1,1,1.0,0,0,1.0,10,10,2,2,15,18,4,2,1,3,1,0
5,F1,08/08/09,Rennes,Boulogne,3,0,2.0,2,0,2.0,15,13,6,4,12,7,12,4,1,0,0,0
6,F1,08/08/09,St Etienne,Nice,0,2,0.0,0,1,0.0,13,8,5,3,15,19,8,1,1,2,0,0
7,F1,08/08/09,Valenciennes,Nancy,1,3,0.0,1,1,1.0,19,11,2,5,22,16,10,2,3,3,1,0
8,F1,09/08/09,Bordeaux,Lens,4,1,2.0,1,1,1.0,13,7,5,1,14,20,4,3,0,1,0,0
9,F1,09/08/09,Lille,Lorient,1,2,0.0,0,1,0.0,19,6,6,4,20,17,15,2,2,5,0,0
10,F1,15/08/09,Lens,Auxerre,2,0,2.0,1,0,2.0,8,12,4,2,14,17,3,5,1,1,0,0
11,F1,15/08/09,Lorient,Montpellier,2,2,1.0,0,0,1.0,12,14,5,6,10,23,2,2,1,3,0,0
12,F1,15/08/09,Lyon,Valenciennes,1,0,2.0,1,0,2.0,24,5,9,1,14,16,5,2,1,3,0,0
13,F1,15/08/09,Nancy,Monaco,4,0,2.0,2,0,2.0,7,19,5,8,10,10,2,6,1,2,0,0
14,F1,15/08/09,Paris SG,Le Mans,3,1,2.0,1,1,1.0,13,9,5,5,13,17,8,6,0,2,0,0
15,F1,15/08/09,Sochaux,Bordeaux,2,3,0.0,0,2,0.0,8,19,7,7,12,13,8,7,2,0,0,0
16,F1,15/08/09,Toulouse,St Etienne,3,1,2.0,1,1,1.0,14,6,7,3,26,20,4,2,1,1,0,0
17,F1,16/08/09,Boulogne,Grenoble,2,1,2.0,2,0,2.0,13,9,6,2,23,15,6,7,2,2,0,0
18,F1,16/08/09,Marseille,Lille,1,0,2.0,1,0,2.0,17,10,4,5,19,24,6,2,3,2,0,1
19,F1,16/08/09,Nice,Rennes,1,1,1.0,1,1,1.0,14,10,4,5,21,23,5,2,1,0,0,1
20,F1,22/08/09,Auxerre,Lyon,0,3,0.0,0,2,0.0,14,11,5,4,10,14,7,7,1,1,0,0
21,F1,22/08/09,Le Mans,Nancy,2,1,2.0,1,0,2.0,21,7,9,2,19,19,6,3,2,3,0,0
22,F1,22/08/09,Monaco,Lorient,2,0,2.0,2,0,2.0,10,13,6,1,23,7,4,12,2,2,0,0
23,F1,22/08/09,Montpellier,Sochaux,2,0,2.0,0,0,1.0,15,9,3,4,31,24,5,1,2,4,0,0
24,F1,22/08/09,Rennes,Marseille,1,1,1.0,1,0,2.0,14,15,5,5,21,14,2,5,1,2,0,0
25,F1,22/08/09,St Etienne,Boulogne,0,1,0.0,0,1,0.0,29,3,6,2,14,17,7,1,0,2,0,1
26,F1,22/08/09,Valenciennes,Paris SG,2,3,0.0,0,1,0.0,20,14,6,10,16,16,3,2,1,2,0,0
27,F1,23/08/09,Bordeaux,Nice,4,0,2.0,1,0,2.0,12,17,6,5,19,24,0,1,1,3,0,0
28,F1,23/08/09,Grenoble,Lens,1,2,0.0,1,1,1.0,15,8,8,2,16,16,6,2,2,3,0,0
29,F1,23/08/09,Lille,Toulouse,1,1,1.0,1,0,2.0,14,9,5,1,16,21,10,2,0,3,0,0
30,F1,29/08/09,Boulogne,Auxerre,0,0,1.0,0,0,1.0,7,10,0,1,11,11,2,5,0,0,0,0
31,F1,29/08/09,Lens,Rennes,2,2,1.0,1,1,1.0,10,20,6,4,12,11,5,5,1,3,1,1
32,F1,29/08/09,Lorient,Le Mans,1,0,2.0,0,0,1.0,11,13,2,3,14,17,5,7,3,2,0,0
33,F1,29/08/09,Lyon,Nancy,3,1,2.0,1,0,2.0,13,13,4,6,24,15,6,6,0,3,0,0
34,F1,29/08/09,Nice,Montpellier,0,3,0.0,0,1,0.0,20,14,4,6,16,14,8,2,0,1,1,0
35,F1,29/08/09,Sochaux,Monaco,1,0,2.0,1,0,2.0,11,16,3,5,26,25,4,6,1,3,0,0
36,F1,29/08/09,St Etienne,Grenoble,1,0,2.0,1,0,2.0,16,13,4,2,17,12,6,0,1,2,0,0
37,F1,30/08/09,Marseille,Bordeaux,0,0,1.0,0,0,1.0,16,7,3,5,19,21,4,3,2,5,0,0
38,F1,30/08/09,Paris SG,Lille,3,0,2.0,1,0,2.0,10,17,7,6,15,15,3,8,0,1,0,0
39,F1,30/08/09,Toulouse,Valenciennes,0,1,0.0,0,0,1.0,21,9,8,2,13,17,9,3,1,0,0,0
40,F1,12/09/09,Bordeaux,Grenoble,1,0,2.0,1,0,2.0,12,7,3,4,14,30,3,6,0,2,0,0
41,F1,12/09/09,Le Mans,Marseille,1,2,0.0,0,1,0.0,7,13,1,3,23,15,3,3,3,1,0,0
42,F1,12/09/09,Lille,Sochaux,1,0,2.0,0,0,1.0,17,6,3,2,15,15,5,4,0,2,0,0
43,F1,12/09/09,Lyon,Lorient,1,0,2.0,0,0,1.0,15,15,4,3,13,20,4,5,2,2,0,0
44,F1,12/09/09,Montpellier,Lens,1,0,2.0,1,0,2.0,14,6,4,1,21,21,1,3,3,4,0,0
45,F1,12/09/09,Nancy,Toulouse,0,0,1.0,0,0,1.0,8,15,1,4,16,15,1,7,3,3,1,0
46,F1,12/09/09,Valenciennes,Boulogne,1,1,1.0,0,0,1.0,21,10,3,3,16,15,10,1,0,1,0,0
47,F1,13/09/09,Auxerre,Nice,2,0,2.0,1,0,2.0,6,11,3,3,17,13,2,5,2,2,0,0
48,F1,13/09/09,Monaco,Paris SG,2,0,2.0,0,0,1.0,13,16,4,6,15,12,7,6,1,2,0,1
49,F1,13/09/09,Rennes,St Etienne,1,0,2.0,0,0,1.0,21,8,7,2,13,15,3,3,2,2,0,0
50,F1,19/09/09,Boulogne,Bordeaux,0,2,0.0,0,1,0.0,4,17,1,5,16,14,6,4,2,2,0,0
51,F1,19/09/09,Grenoble,Rennes,0,4,0.0,0,3,0.0,11,16,1,10,11,23,6,5,2,2,0,0
52,F1,19/09/09,Lorient,Nancy,3,1,2.0,1,0,2.0,18,10,6,2,17,18,5,4,1,2,0,0
53,F1,19/09/09,Marseille,Montpellier,4,2,2.0,3,0,2.0,6,13,4,4,15,24,3,3,0,3,0,0
54,F1,19/09/09,Nice,Monaco,1,3,0.0,1,2,0.0,17,11,3,4,20,20,4,1,2,2,0,0
55,F1,19/09/09,Sochaux,Valenciennes,2,5,0.0,2,1,2.0,18,14,7,7,9,22,6,4,1,2,1,0
56,F1,19/09/09,St Etienne,Auxerre,1,1,1.0,1,0,2.0,16,13,4,4,15,12,7,4,2,2,0,0
57,F1,20/09/09,Lens,Lille,1,1,1.0,0,0,1.0,13,10,2,2,19,19,5,5,4,0,0,1
58,F1,20/09/09,Paris SG,Lyon,1,1,1.0,1,0,2.0,14,11,7,5,13,13,6,4,1,2,0,0
59,F1,20/09/09,Toulouse,Le Mans,2,0,2.0,1,0,2.0,19,19,7,6,10,17,4,11,0,2,0,0
60,F1,26/09/09,Auxerre,Grenoble,2,0,2.0,0,0,1.0,11,9,5,4,17,19,5,5,0,1,1,1
61,F1,26/09/09,Lorient,Paris SG,1,1,1.0,1,1,1.0,16,6,5,4,16,15,1,4,2,2,0,0
62,F1,26/09/09,Lyon,Toulouse,2,1,2.0,0,1,0.0,28,8,10,2,13,8,6,5,2,2,0,0
63,F1,26/09/09,Monaco,St Etienne,1,2,0.0,0,1,0.0,8,8,3,2,16,20,7,2,2,1,0,0
64,F1,26/09/09,Montpellier,Boulogne,1,0,2.0,0,0,1.0,22,5,2,0,16,20,9,3,1,3,0,0
65,F1,26/09/09,Nancy,Sochaux,2,1,2.0,2,0,2.0,12,12,4,4,13,17,2,7,2,1,0,0
66,F1,26/09/09,Valenciennes,Marseille,3,2,2.0,2,2,1.0,8,12,5,6,18,10,4,6,3,2,0,0
67,F1,27/09/09,Bordeaux,Rennes,1,0,2.0,1,0,2.0,16,11,4,2,13,17,3,4,2,2,0,0
68,F1,27/09/09,Le Mans,Lens,3,0,2.0,2,0,2.0,20,7,8,2,18,14,5,2,0,0,0,0
69,F1,27/09/09,Lille,Nice,1,1,1.0,0,0,1.0,14,8,4,1,25,21,7,2,2,2,0,0
70,F1,03/10/09,Grenoble,Montpellier,2,3,0.0,0,2,0.0,17,9,7,3,25,25,8,8,2,2,0,0
71,F1,03/10/09,Lens,Lyon,0,2,0.0,0,1,0.0,11,12,5,2,14,16,2,0,1,2,0,0
72,F1,03/10/09,Nice,Valenciennes,3,2,2.0,0,1,0.0,14,4,7,3,20,24,11,1,4,2,0,1
73,F1,03/10/09,Paris SG,Nancy,1,1,1.0,1,1,1.0,21,6,4,3,13,17,7,2,1,0,0,0
74,F1,03/10/09,Rennes,Auxerre,0,1,0.0,0,1,0.0,10,12,3,5,17,15,6,1,4,5,1,0
75,F1,03/10/09,Sochaux,Le Mans,1,0,2.0,0,0,1.0,17,8,8,2,11,23,5,2,2,2,0,1
76,F1,03/10/09,St Etienne,Bordeaux,3,1,2.0,2,0,2.0,15,11,4,2,20,13,3,5,3,2,0,0
77,F1,04/10/09,Boulogne,Lille,2,3,0.0,2,1,2.0,10,14,5,5,19,18,6,11,3,1,0,0
78,F1,04/10/09,Marseille,Monaco,1,2,0.0,0,2,0.0,26,8,6,3,20,17,10,8,2,3,0,0
79,F1,04/10/09,Toulouse,Lorient,0,1,0.0,0,0,1.0,17,7,5,2,15,15,6,3,2,1,0,0
80,F1,17/10/09,Auxerre,Bordeaux,1,0,2.0,0,0,1.0,7,13,2,3,13,9,3,5,2,1,0,0
81,F1,17/10/09,Le Mans,Boulogne,1,1,1.0,0,0,1.0,17,15,7,2,14,10,5,2,2,2,0,0
82,F1,17/10/09,Lille,Rennes,0,0,1.0,0,0,1.0,24,13,3,5,15,17,5,1,2,1,0,0
83,F1,17/10/09,Lyon,Sochaux,0,2,0.0,0,1,0.0,13,9,1,3,12,16,3,5,0,2,0,0
84,F1,17/10/09,Montpellier,St Etienne,2,1,2.0,0,0,1.0,18,8,6,4,17,14,9,2,1,1,0,1
85,F1,17/10/09,Nancy,Marseille,0,3,0.0,0,1,0.0,7,16,1,9,12,14,4,7,2,2,0,0
86,F1,17/10/09,Valenciennes,Grenoble,2,0,2.0,2,0,2.0,12,10,6,1,25,18,5,5,1,2,0,0
87,F1,18/10/09,Lorient,Nice,4,1,2.0,1,0,2.0,20,9,7,1,12,19,10,0,1,1,0,1
88,F1,18/10/09,Monaco,Lens,2,0,2.0,1,0,2.0,16,11,7,4,28,17,5,3,3,1,0,0
