,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
204,F1,25/01/2020,19:00,Montpellier,Dijon,2,1,2.0,0,0,1.0,16,6,5,2,16,15,3,1,2,2,0,1
205,F1,25/01/2020,19:00,Reims,Metz,0,1,0.0,0,1,0.0,16,7,2,4,11,9,11,1,1,1,0,0
206,F1,25/01/2020,19:00,St Etienne,Nimes,2,1,2.0,2,1,2.0,13,12,6,4,19,16,6,5,3,2,0,0
207,F1,26/01/2020,14:00,Lyon,Toulouse,3,0,2.0,1,0,2.0,13,10,5,4,8,5,8,2,0,1,0,0
208,F1,26/01/2020,16:00,Nantes,Bordeaux,0,1,0.0,0,0,1.0,7,11,0,2,11,14,0,2,3,2,1,0
209,F1,26/01/2020,20:00,Lille,Paris SG,0,2,0.0,0,1,0.0,9,12,2,5,20,10,6,3,3,1,0,0
210,F1,31/01/2020,19:45,Rennes,Nantes,3,2,2.0,0,0,1.0,13,8,9,5,13,17,5,5,5,4,0,0
211,F1,01/02/2020,16:30,Paris SG,Montpellier,5,0,2.0,3,0,2.0,20,6,9,2,16,16,12,2,4,4,0,2
212,F1,01/02/2020,19:00,Amiens,Toulouse,0,0,1.0,0,0,1.0,9,12,4,1,14,15,8,4,3,2,0,0
213,F1,01/02/2020,19:00,Angers,Reims,1,4,0.0,1,1,1.0,15,12,4,4,15,13,2,4,1,2,0,0
214,F1,01/02/2020,19:00,Dijon,Brest,3,0,2.0,2,0,2.0,12,19,5,4,9,17,6,6,0,1,0,0
215,F1,01/02/2020,19:00,Nimes,Monaco,3,1,2.0,1,1,1.0,22,6,8,4,13,10,7,1,4,3,0,2
216,F1,01/02/2020,19:00,Strasbourg,Lille,1,2,0.0,1,0,2.0,13,9,3,4,12,22,3,7,1,4,0,0
217,F1,02/02/2020,14:00,Nice,Lyon,2,1,2.0,1,1,1.0,12,14,7,7,17,9,4,10,3,2,1,1
218,F1,02/02/2020,16:00,Metz,St Etienne,3,1,2.0,1,0,2.0,10,17,6,7,11,18,3,8,0,2,0,0
219,F1,02/02/2020,20:00,Bordeaux,Marseille,0,0,1.0,0,0,1.0,12,16,3,4,10,14,3,10,2,2,0,0
220,F1,04/02/2020,18:00,Lille,Rennes,1,0,2.0,1,0,2.0,14,11,3,4,15,16,5,2,3,1,0,0
221,F1,04/02/2020,18:00,Monaco,Angers,1,0,2.0,1,0,2.0,6,16,3,4,13,8,1,8,2,2,0,0
222,F1,04/02/2020,20:05,Nantes,Paris SG,1,2,0.0,0,1,0.0,15,19,5,7,9,21,4,7,2,4,0,0
223,F1,05/02/2020,18:00,Brest,Bordeaux,1,1,1.0,0,1,0.0,17,13,3,5,14,5,8,5,2,0,1,0
224,F1,05/02/2020,18:00,Lyon,Amiens,0,0,1.0,0,0,1.0,10,7,3,2,8,14,5,3,1,2,0,0
225,F1,05/02/2020,18:00,Montpellier,Metz,1,1,1.0,1,0,2.0,12,18,7,8,13,16,6,8,2,1,0,0
226,F1,05/02/2020,18:00,Nimes,Dijon,2,0,2.0,2,0,2.0,11,10,5,3,17,27,2,2,0,3,0,0
227,F1,05/02/2020,18:00,Reims,Nice,1,1,1.0,0,0,1.0,15,5,4,4,11,7,9,6,2,0,0,0
228,F1,05/02/2020,18:00,Toulouse,Strasbourg,0,1,0.0,0,0,1.0,12,15,1,6,7,10,5,2,1,2,0,0
229,F1,05/02/2020,20:00,St Etienne,Marseille,0,2,0.0,0,1,0.0,11,5,3,3,8,11,6,2,2,4,0,0
230,F1,07/02/2020,19:45,Angers,Lille,0,2,0.0,0,1,0.0,9,12,1,4,10,15,6,2,4,3,0,0
231,F1,08/02/2020,16:30,Marseille,Toulouse,1,0,2.0,0,0,1.0,12,10,3,3,6,8,5,5,1,2,0,0
232,F1,08/02/2020,19:00,Amiens,Monaco,1,2,0.0,1,0,2.0,8,12,1,6,14,17,3,9,1,3,0,0
233,F1,08/02/2020,19:00,Dijon,Nantes,3,3,1.0,2,2,1.0,17,8,4,2,8,11,9,4,2,2,0,0
234,F1,08/02/2020,19:00,Metz,Bordeaux,1,2,0.0,1,0,2.0,11,15,4,5,5,11,5,13,2,2,1,0
235,F1,08/02/2020,19:00,Nice,Nimes,1,3,0.0,1,1,1.0,6,10,3,5,8,13,1,7,2,4,1,0
236,F1,08/02/2020,19:00,Rennes,Brest,0,0,1.0,0,0,1.0,17,8,2,3,7,14,6,0,2,4,0,0
237,F1,09/02/2020,14:00,Montpellier,St Etienne,1,0,2.0,1,0,2.0,8,17,3,5,16,15,3,6,1,3,1,0
238,F1,09/02/2020,16:00,Strasbourg,Reims,3,0,2.0,0,0,1.0,12,5,5,0,13,12,9,8,1,2,0,0
239,F1,09/02/2020,20:00,Paris SG,Lyon,4,2,2.0,2,0,2.0,16,7,5,2,11,14,6,3,1,2,0,0
240,F1,14/02/2020,19:45,Monaco,Montpellier,1,0,2.0,0,0,1.0,16,13,2,2,13,8,2,4,1,2,0,0
241,F1,15/02/2020,16:30,Amiens,Paris SG,4,4,1.0,3,1,2.0,11,15,5,10,21,10,2,6,3,2,0,0
242,F1,15/02/2020,19:00,Bordeaux,Dijon,2,2,1.0,1,1,1.0,11,6,2,3,12,10,13,1,1,1,0,0
243,F1,15/02/2020,19:00,Nantes,Metz,0,0,1.0,0,0,1.0,18,7,7,2,14,11,11,6,0,1,0,1
244,F1,15/02/2020,19:00,Nimes,Angers,1,0,2.0,0,0,1.0,11,10,2,0,7,16,7,5,1,2,0,1
245,F1,15/02/2020,19:00,Toulouse,Nice,0,2,0.0,0,1,0.0,19,14,5,4,14,9,7,5,2,0,2,0
246,F1,16/02/2020,14:00,Lyon,Strasbourg,1,1,1.0,1,1,1.0,5,7,2,1,17,14,3,2,3,1,0,0
247,F1,16/02/2020,16:00,Brest,St Etienne,3,2,2.0,3,0,2.0,10,11,3,4,11,11,0,5,2,3,0,0
248,F1,16/02/2020,16:00,Reims,Rennes,1,0,2.0,0,0,1.0,11,4,3,2,14,17,7,2,1,1,0,0
249,F1,16/02/2020,20:00,Lille,Marseille,1,2,0.0,0,0,1.0,13,5,3,2,16,12,4,5,0,5,0,0
250,F1,21/02/2020,18:00,Nice,Brest,2,2,1.0,2,1,2.0,19,9,6,3,7,4,9,3,3,0,0,0
251,F1,21/02/2020,19:45,Metz,Lyon,0,2,0.0,0,1,0.0,7,12,0,6,8,14,5,4,2,1,1,0
252,F1,22/02/2020,16:30,Marseille,Nantes,1,3,0.0,1,1,1.0,16,8,5,4,15,17,4,1,1,3,0,0
253,F1,22/02/2020,19:00,Angers,Montpellier,1,0,2.0,0,0,1.0,12,10,8,2,16,16,6,8,4,2,0,0
254,F1,22/02/2020,19:00,Dijon,Monaco,1,1,1.0,0,0,1.0,12,17,2,6,16,13,2,3,2,0,0,0
255,F1,22/02/2020,19:00,Lille,Toulouse,3,0,2.0,2,0,2.0,18,7,9,1,12,20,5,0,1,3,0,0
256,F1,22/02/2020,19:00,Strasbourg,Amiens,0,0,1.0,0,0,1.0,15,3,3,1,18,23,5,5,2,6,0,0
257,F1,23/02/2020,14:00,St Etienne,Reims,1,1,1.0,0,0,1.0,7,12,4,2,14,5,8,6,1,1,0,0
258,F1,23/02/2020,16:00,Rennes,Nimes,2,1,2.0,1,1,1.0,26,9,8,2,11,5,10,1,0,1,0,1
259,F1,23/02/2020,20:00,Paris SG,Bordeaux,4,3,2.0,2,2,1.0,23,12,9,7,13,15,10,7,5,2,1,0
260,F1,28/02/2020,19:45,Nimes,Marseille,2,3,0.0,1,2,0.0,16,13,6,4,15,14,8,9,4,3,0,0
261,F1,29/02/2020,16:30,Paris SG,Dijon,4,0,2.0,1,0,2.0,23,9,11,3,7,3,8,0,1,0,0,0
262,F1,29/02/2020,19:00,Amiens,Metz,0,1,0.0,0,1,0.0,12,13,5,6,17,10,6,3,2,1,0,0
263,F1,29/02/2020,19:00,Brest,Angers,0,1,0.0,0,1,0.0,16,6,4,2,12,9,12,0,3,1,0,0
264,F1,29/02/2020,19:00,Monaco,Reims,1,1,1.0,1,0,2.0,19,16,7,8,20,13,3,2,2,3,0,0
265,F1,29/02/2020,19:00,Montpellier,Strasbourg,3,0,2.0,0,0,1.0,23,15,11,7,8,15,5,7,1,2,0,0
266,F1,29/02/2020,19:00,Toulouse,Rennes,0,2,0.0,0,1,0.0,15,11,2,4,13,12,9,3,3,1,0,0
267,F1,01/03/2020,14:00,Nantes,Lille,0,1,0.0,0,0,1.0,6,15,3,5,13,13,3,12,4,3,0,0
268,F1,01/03/2020,16:00,Bordeaux,Nice,1,1,1.0,1,0,2.0,12,9,4,4,19,12,10,3,3,3,0,0
269,F1,01/03/2020,20:00,Lyon,St Etienne,2,0,2.0,1,0,2.0,16,8,9,4,14,14,5,4,4,4,0,0
270,F1,06/03/2020,20:00,Marseille,Amiens,2,2,1.0,1,0,2.0,13,12,6,3,13,17,4,4,2,2,0,0
271,F1,07/03/2020,19:00,Angers,Nantes,2,0,2.0,0,0,1.0,7,15,3,4,9,6,4,6,0,3,0,0
272,F1,07/03/2020,19:00,Dijon,Toulouse,2,1,2.0,1,1,1.0,15,6,3,2,14,17,5,1,2,2,0,0
273,F1,07/03/2020,19:00,Metz,Nimes,2,1,2.0,1,0,2.0,14,16,5,7,9,11,8,6,0,0,0,0
274,F1,07/03/2020,19:00,Nice,Monaco,2,1,2.0,0,1,0.0,12,14,5,4,11,15,6,3,1,4,0,1
275,F1,07/03/2020,19:00,Reims,Brest,1,0,2.0,1,0,2.0,12,12,3,4,7,13,5,5,3,2,1,0
276,F1,08/03/2020,14:00,St Etienne,Bordeaux,1,1,1.0,0,0,1.0,11,9,4,2,14,16,7,4,4,3,1,0
277,F1,08/03/2020,16:00,Rennes,Montpellier,5,0,2.0,2,0,2.0,16,11,9,1,9,10,2,7,2,3,0,0
278,F1,08/03/2020,20:00,Lille,Lyon,1,0,2.0,1,0,2.0,13,9,3,2,20,13,4,3,1,3,0,0
