,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
47,F1,15/09/2019,14:00,Nantes,Reims,1,0,2.0,0,0,1.0,8,9,4,1,18,15,7,5,1,3,0,0
48,F1,15/09/2019,16:00,St Etienne,Toulouse,2,2,1.0,1,2,0.0,14,10,4,7,15,13,9,7,3,0,0,0
49,F1,15/09/2019,20:00,Monaco,Marseille,3,4,0.0,2,2,1.0,12,13,8,6,9,14,6,4,3,3,0,0
50,F1,20/09/2019,19:45,Strasbourg,Nantes,2,1,2.0,0,1,0.0,17,10,5,3,11,16,9,2,2,2,0,0
51,F1,21/09/2019,16:30,Marseille,Montpellier,1,1,1.0,0,1,0.0,24,3,5,2,11,17,15,1,4,3,2,1
52,F1,21/09/2019,19:00,Bordeaux,Brest,2,2,1.0,1,2,0.0,18,13,5,3,9,11,5,9,4,3,0,0
53,F1,21/09/2019,19:00,Metz,Amiens,1,2,0.0,0,1,0.0,13,9,4,5,13,12,4,6,1,1,0,0
54,F1,21/09/2019,19:00,Nice,Dijon,2,1,2.0,1,1,1.0,16,13,6,7,7,13,6,3,2,3,0,0
55,F1,21/09/2019,19:00,Nimes,Toulouse,1,0,2.0,1,0,2.0,19,9,4,2,14,11,5,7,1,3,0,1
56,F1,21/09/2019,19:00,Reims,Monaco,0,0,1.0,0,0,1.0,16,12,4,4,16,10,6,3,0,2,0,0
57,F1,22/09/2019,14:00,Rennes,Lille,1,1,1.0,0,0,1.0,11,15,3,6,14,11,4,8,2,1,0,0
58,F1,22/09/2019,16:00,Angers,St Etienne,4,1,2.0,0,1,0.0,14,6,5,2,13,12,5,4,1,1,0,0
59,F1,22/09/2019,20:00,Lyon,Paris SG,0,1,0.0,0,0,1.0,12,21,0,7,8,6,2,11,1,1,0,0
60,F1,24/09/2019,18:00,Dijon,Marseille,0,0,1.0,0,0,1.0,18,9,6,2,9,14,8,3,3,3,0,0
61,F1,24/09/2019,20:00,Monaco,Nice,3,1,2.0,1,0,2.0,17,10,5,3,10,14,5,7,2,3,0,0
62,F1,25/09/2019,18:00,Amiens,Bordeaux,1,3,0.0,1,2,0.0,11,15,3,6,15,13,3,3,2,2,0,0
