,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,F1,08/08/14,Reims,Paris SG,2,2,1.0,2,1,2.0,9,16,3,6,15,16,1,5,0,2,0,0
1,F1,09/08/14,Bastia,Marseille,3,3,1.0,1,2,0.0,13,9,4,4,25,21,1,4,3,1,0,0
2,F1,09/08/14,Evian Thonon Gaillard,Caen,0,3,0.0,0,3,0.0,10,12,2,7,12,9,5,6,1,1,0,0
3,F1,09/08/14,Guingamp,St Etienne,0,2,0.0,0,1,0.0,6,7,3,2,9,19,4,5,3,4,0,0
4,F1,09/08/14,Lille,Metz,0,0,1.0,0,0,1.0,14,2,3,1,9,23,8,3,0,1,0,0
5,F1,09/08/14,Montpellier,Bordeaux,0,1,0.0,0,1,0.0,15,7,3,3,15,21,5,1,2,2,0,0
6,F1,09/08/14,Nantes,Lens,1,0,2.0,0,0,1.0,14,5,4,2,8,7,3,2,0,1,0,0
7,F1,09/08/14,Nice,Toulouse,3,2,2.0,1,2,0.0,22,11,8,3,10,9,12,7,0,1,0,0
8,F1,10/08/14,Lyon,Rennes,2,0,2.0,0,0,1.0,19,7,6,1,19,13,5,1,2,1,0,0
9,F1,10/08/14,Monaco,Lorient,1,2,0.0,0,1,0.0,12,9,7,3,11,19,10,4,3,2,1,0
10,F1,15/08/14,Caen,Lille,0,1,0.0,0,0,1.0,11,8,3,1,10,4,3,9,2,2,1,0
11,F1,16/08/14,Lens,Guingamp,0,1,0.0,0,0,1.0,14,10,4,4,14,5,7,2,4,1,0,0
12,F1,16/08/14,Lorient,Nice,0,0,1.0,0,0,1.0,13,9,6,2,14,10,8,2,1,1,0,0
13,F1,16/08/14,Metz,Nantes,1,1,1.0,1,1,1.0,12,6,5,2,12,17,4,7,2,1,0,0
14,F1,16/08/14,Paris SG,Bastia,2,0,2.0,1,0,2.0,15,5,5,1,9,15,4,4,1,3,0,0
15,F1,16/08/14,Rennes,Evian Thonon Gaillard,6,2,2.0,3,1,2.0,9,9,7,3,4,12,6,1,0,1,0,0
16,F1,16/08/14,Toulouse,Lyon,2,1,2.0,2,0,2.0,10,18,6,3,11,12,6,4,3,1,0,0
17,F1,17/08/14,Bordeaux,Monaco,4,1,2.0,0,1,0.0,9,9,5,3,12,21,3,4,1,3,0,0
18,F1,17/08/14,Marseille,Montpellier,0,2,0.0,0,1,0.0,22,10,5,3,18,17,6,1,1,0,0,0
19,F1,17/08/14,St Etienne,Reims,3,1,2.0,0,1,0.0,19,7,9,2,8,11,6,3,2,2,0,0
20,F1,22/08/14,Evian Thonon Gaillard,Paris SG,0,0,1.0,0,0,1.0,9,7,2,3,18,7,5,0,3,2,0,1
21,F1,23/08/14,Bastia,Toulouse,1,0,2.0,1,0,2.0,8,14,3,3,13,19,3,0,3,1,0,0
22,F1,23/08/14,Guingamp,Marseille,0,1,0.0,0,0,1.0,4,16,2,3,16,14,4,6,1,3,0,0
23,F1,23/08/14,Lille,Lorient,2,0,2.0,0,0,1.0,13,7,6,1,12,8,2,3,0,1,0,0
24,F1,23/08/14,Montpellier,Metz,2,0,2.0,1,0,2.0,12,12,5,3,13,19,5,5,0,2,0,0
25,F1,23/08/14,Nice,Bordeaux,1,3,0.0,1,1,1.0,11,12,2,7,12,21,7,1,2,4,0,1
26,F1,23/08/14,Reims,Caen,0,2,0.0,0,0,1.0,12,16,4,6,4,12,5,3,1,0,0,0
27,F1,24/08/14,Lyon,Lens,0,1,0.0,0,1,0.0,16,7,4,2,19,17,5,1,1,3,0,0
28,F1,24/08/14,Nantes,Monaco,0,1,0.0,0,1,0.0,15,6,5,2,12,10,5,9,0,2,0,0
29,F1,24/08/14,St Etienne,Rennes,0,0,1.0,0,0,1.0,11,5,2,0,14,21,8,3,2,3,0,0
