,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,F1,09/08/08,Auxerre,Nantes,2,1,2.0,1,0,2.0,10,15,5,4,19,18,5,8,2,0,0,0
1,F1,09/08/08,Bordeaux,Caen,2,1,2.0,0,1,0.0,24,8,11,1,10,22,15,1,3,4,0,0
2,F1,09/08/08,Le Havre,Nice,1,0,2.0,0,0,1.0,14,15,4,3,24,21,4,8,1,2,0,0
3,F1,09/08/08,Le Mans,Lorient,0,1,0.0,0,0,1.0,10,12,2,1,22,16,6,3,2,2,0,0
4,F1,09/08/08,Monaco,Paris SG,1,0,2.0,0,0,1.0,10,7,4,3,10,15,9,6,1,2,0,0
5,F1,09/08/08,Nancy,Lille,0,0,1.0,0,0,1.0,8,11,0,4,16,16,2,6,3,2,0,1
6,F1,09/08/08,Rennes,Marseille,4,4,1.0,1,3,0.0,14,19,10,10,20,11,3,5,2,1,0,0
7,F1,09/08/08,Sochaux,Grenoble,1,2,0.0,0,0,1.0,18,7,4,2,16,13,12,3,3,2,0,0
8,F1,09/08/08,Valenciennes,St Etienne,1,0,2.0,1,0,2.0,11,26,4,7,19,14,2,10,3,1,0,0
9,F1,10/08/08,Lyon,Toulouse,3,0,2.0,1,0,2.0,10,8,5,2,9,13,4,3,1,1,0,0
10,F1,16/08/08,Caen,Valenciennes,3,1,2.0,3,1,2.0,20,19,4,5,19,17,2,6,2,2,0,0
11,F1,16/08/08,Lille,Le Mans,1,3,0.0,0,2,0.0,11,6,1,4,19,21,4,3,3,3,0,0
12,F1,16/08/08,Nantes,Monaco,1,1,1.0,0,1,0.0,13,10,4,3,28,23,3,2,3,4,0,0
13,F1,16/08/08,Nice,Nancy,2,1,2.0,1,1,1.0,5,9,3,3,23,26,4,6,1,3,0,0
14,F1,16/08/08,Paris SG,Bordeaux,1,0,2.0,0,0,1.0,6,16,2,6,20,12,5,4,3,2,0,0
15,F1,16/08/08,St Etienne,Sochaux,2,1,2.0,2,0,2.0,18,18,5,5,20,14,5,4,2,3,0,0
16,F1,16/08/08,Toulouse,Le Havre,2,1,2.0,0,1,0.0,16,10,8,1,16,19,7,2,3,2,0,0
17,F1,17/08/08,Grenoble,Rennes,1,0,2.0,1,0,2.0,8,18,3,5,14,20,1,16,1,3,0,0
18,F1,17/08/08,Lorient,Lyon,0,0,1.0,0,0,1.0,7,13,0,2,15,23,3,6,2,3,0,0
19,F1,17/08/08,Marseille,Auxerre,4,0,2.0,1,0,2.0,18,7,5,2,10,13,13,1,1,1,0,0
20,F1,23/08/08,Le Havre,Marseille,0,1,0.0,0,0,1.0,11,16,3,6,16,26,0,4,0,2,0,1
21,F1,23/08/08,Le Mans,St Etienne,1,0,2.0,1,0,2.0,5,12,3,2,17,11,5,1,1,2,0,0
22,F1,23/08/08,Lyon,Grenoble,2,0,2.0,2,0,2.0,16,9,8,3,16,14,9,4,2,1,0,0
23,F1,23/08/08,Monaco,Caen,1,1,1.0,0,0,1.0,12,15,4,3,22,25,2,6,2,3,0,0
24,F1,23/08/08,Nancy,Toulouse,0,0,1.0,0,0,1.0,12,7,5,1,10,23,7,2,0,2,1,0
25,F1,23/08/08,Sochaux,Paris SG,1,1,1.0,0,0,1.0,17,15,5,4,16,11,6,8,1,3,0,0
26,F1,23/08/08,Valenciennes,Lorient,3,1,2.0,2,0,2.0,15,15,7,5,18,17,3,5,2,1,0,0
27,F1,24/08/08,Auxerre,Nice,0,1,0.0,0,1,0.0,12,12,3,3,9,25,4,5,0,2,0,0
28,F1,24/08/08,Bordeaux,Nantes,2,0,2.0,1,0,2.0,22,7,10,1,13,13,7,2,0,3,0,0
29,F1,24/08/08,Rennes,Lille,2,1,2.0,0,1,0.0,20,11,9,6,16,17,6,5,4,2,0,0
30,F1,30/08/08,Caen,Paris SG,0,1,0.0,0,1,0.0,15,13,2,6,14,22,9,4,2,4,0,0
31,F1,30/08/08,Grenoble,Monaco,1,0,2.0,1,0,2.0,9,8,3,0,17,15,3,2,2,1,0,0
32,F1,30/08/08,Lorient,Auxerre,0,2,0.0,0,1,0.0,14,9,5,5,13,20,8,2,2,3,0,0
33,F1,30/08/08,Marseille,Sochaux,2,1,2.0,1,0,2.0,14,11,3,7,15,18,11,3,2,2,0,0
34,F1,30/08/08,Nancy,Le Havre,2,1,2.0,0,1,0.0,21,12,4,4,16,14,7,2,1,1,0,0
35,F1,30/08/08,Nantes,Le Mans,1,4,0.0,1,2,0.0,14,12,6,4,9,19,10,2,2,1,0,0
36,F1,30/08/08,Nice,Valenciennes,2,0,2.0,0,0,1.0,13,10,7,1,17,22,9,8,3,2,0,1
37,F1,31/08/08,Lille,Bordeaux,2,1,2.0,1,1,1.0,17,11,6,5,17,22,6,2,3,3,0,0
38,F1,31/08/08,St Etienne,Lyon,0,1,0.0,0,0,1.0,9,15,4,11,19,18,7,6,2,3,0,0
39,F1,31/08/08,Toulouse,Rennes,0,0,1.0,0,0,1.0,7,12,3,4,12,15,4,8,2,2,0,0
40,F1,13/09/08,Auxerre,Nancy,1,1,1.0,0,0,1.0,14,8,4,1,16,14,4,2,2,0,0,0
41,F1,13/09/08,Bordeaux,Marseille,1,1,1.0,1,1,1.0,14,13,4,2,16,20,6,4,2,1,0,0
42,F1,13/09/08,Le Mans,Toulouse,1,2,0.0,1,2,0.0,11,5,3,2,17,22,4,0,2,2,0,0
43,F1,13/09/08,Lyon,Nice,3,2,2.0,1,2,0.0,28,4,8,2,13,20,11,1,1,3,0,1
44,F1,13/09/08,Monaco,Lorient,2,0,2.0,1,0,2.0,7,10,4,2,21,11,6,3,0,1,0,0
45,F1,13/09/08,Rennes,Le Havre,1,1,1.0,1,1,1.0,14,10,3,3,22,11,3,6,2,0,0,0
46,F1,13/09/08,Valenciennes,Grenoble,1,1,1.0,0,0,1.0,8,9,4,3,23,11,2,4,1,2,0,1
47,F1,14/09/08,Caen,St Etienne,2,0,2.0,1,0,2.0,14,18,7,5,15,20,10,3,0,2,0,0
48,F1,14/09/08,Paris SG,Nantes,1,0,2.0,1,0,2.0,9,13,2,2,18,19,6,4,0,1,0,0
49,F1,14/09/08,Sochaux,Lille,1,1,1.0,0,0,1.0,15,16,6,6,18,20,2,2,2,3,0,0
50,F1,20/09/08,Grenoble,Bordeaux,0,1,0.0,0,0,1.0,8,7,2,1,21,16,3,1,3,3,1,2
51,F1,20/09/08,Le Havre,Lyon,0,1,0.0,0,1,0.0,13,16,1,5,12,10,6,8,2,0,0,1
52,F1,20/09/08,Lille,Auxerre,3,2,2.0,1,0,2.0,12,4,5,4,21,11,6,1,1,1,0,0
53,F1,20/09/08,Lorient,Caen,1,1,1.0,1,0,2.0,9,6,2,4,18,12,6,3,2,2,0,0
54,F1,20/09/08,Nantes,Valenciennes,2,0,2.0,1,0,2.0,13,9,5,4,19,22,8,6,3,2,0,0
55,F1,20/09/08,Nice,Le Mans,2,2,1.0,2,0,2.0,12,14,2,4,19,29,2,10,1,2,0,0
56,F1,20/09/08,Toulouse,Sochaux,2,1,2.0,1,0,2.0,10,16,5,5,18,10,3,9,2,2,0,0
57,F1,21/09/08,Marseille,Monaco,0,0,1.0,0,0,1.0,20,4,4,0,16,29,5,1,0,2,0,0
58,F1,21/09/08,Nancy,Rennes,0,0,1.0,0,0,1.0,7,12,1,3,15,15,2,6,1,1,0,1
59,F1,21/09/08,St Etienne,Paris SG,1,0,2.0,1,0,2.0,18,8,4,1,19,15,6,3,1,3,0,0
60,F1,27/09/08,Auxerre,Le Havre,3,0,2.0,1,0,2.0,18,13,7,1,10,19,6,3,0,2,0,0
61,F1,27/09/08,Caen,Nantes,3,0,2.0,3,0,2.0,18,15,10,5,19,28,2,3,2,3,0,0
62,F1,27/09/08,Le Mans,Marseille,1,1,1.0,1,1,1.0,6,26,2,7,18,10,4,5,3,1,0,0
63,F1,27/09/08,Lyon,Nancy,2,1,2.0,2,1,2.0,18,6,5,2,18,22,6,1,1,3,0,0
64,F1,27/09/08,Paris SG,Grenoble,0,1,0.0,0,0,1.0,13,9,5,1,20,16,7,6,1,2,0,0
65,F1,27/09/08,Rennes,Nice,1,0,2.0,0,0,1.0,19,10,7,3,24,16,4,2,2,3,0,0
66,F1,27/09/08,Sochaux,Lorient,1,1,1.0,0,1,0.0,19,14,3,6,19,15,8,2,0,0,0,0
67,F1,28/09/08,Bordeaux,St Etienne,1,1,1.0,0,1,0.0,16,10,7,2,24,22,6,1,2,1,0,0
68,F1,28/09/08,Monaco,Lille,0,2,0.0,0,0,1.0,12,18,4,10,28,21,7,2,1,2,0,0
69,F1,28/09/08,Valenciennes,Toulouse,0,1,0.0,0,0,1.0,13,12,1,2,20,19,6,6,2,1,0,0
70,F1,04/10/08,Grenoble,Nantes,0,1,0.0,0,0,1.0,12,9,3,1,14,15,3,1,1,1,0,0
71,F1,04/10/08,Le Havre,Le Mans,1,2,0.0,1,0,2.0,15,13,3,6,8,17,3,5,0,1,0,0
72,F1,04/10/08,Lille,Valenciennes,1,0,2.0,0,0,1.0,12,8,4,2,17,23,5,1,1,1,0,0
73,F1,04/10/08,Lorient,Bordeaux,1,2,0.0,0,0,1.0,11,17,4,4,16,17,8,3,0,0,0,0
74,F1,04/10/08,Marseille,Caen,2,1,2.0,1,1,1.0,12,13,2,5,18,27,4,1,2,2,1,0
75,F1,04/10/08,Nice,Sochaux,1,1,1.0,0,0,1.0,11,8,7,3,20,24,3,9,1,2,0,0
76,F1,04/10/08,Toulouse,Auxerre,1,0,2.0,0,0,1.0,19,9,5,2,18,16,12,2,1,1,0,0
77,F1,05/10/08,Nancy,Paris SG,1,1,1.0,1,1,1.0,13,13,4,6,14,12,8,5,1,1,0,0
78,F1,05/10/08,Rennes,Lyon,3,0,2.0,1,0,2.0,12,9,4,2,9,12,4,3,0,1,0,0
79,F1,05/10/08,St Etienne,Monaco,2,0,2.0,1,0,2.0,13,10,6,2,9,16,2,8,0,1,0,0
80,F1,18/10/08,Bordeaux,Toulouse,2,1,2.0,2,0,2.0,12,7,4,6,16,17,4,2,2,3,0,0
81,F1,18/10/08,Caen,Grenoble,2,2,1.0,1,1,1.0,18,15,5,7,12,18,5,6,1,3,0,0
82,F1,18/10/08,Lyon,Lille,2,2,1.0,1,1,1.0,18,11,6,6,12,24,8,4,1,2,0,0
83,F1,18/10/08,Monaco,Nice,1,2,0.0,1,1,1.0,19,14,6,3,31,20,1,2,2,3,1,0
84,F1,18/10/08,Nantes,St Etienne,1,0,2.0,1,0,2.0,16,8,5,3,26,22,4,7,2,4,0,0
85,F1,18/10/08,Paris SG,Lorient,3,2,2.0,1,2,0.0,10,12,7,3,17,15,5,3,2,1,0,0
86,F1,18/10/08,Sochaux,Le Havre,1,1,1.0,0,1,0.0,11,18,8,6,19,13,5,10,0,2,0,0
87,F1,19/10/08,Auxerre,Rennes,0,0,1.0,0,0,1.0,16,11,7,3,13,17,6,8,1,3,0,0
88,F1,19/10/08,Le Mans,Nancy,2,0,2.0,1,0,2.0,15,11,5,1,22,7,2,11,2,1,0,0
89,F1,19/10/08,Valenciennes,Marseille,1,3,0.0,0,1,0.0,10,17,3,3,22,22,6,5,3,1,0,0
90,F1,25/10/08,Auxerre,Lyon,0,0,1.0,0,0,1.0,13,17,3,1,9,17,6,11,0,1,0,0
91,F1,25/10/08,Le Havre,Valenciennes,2,1,2.0,1,1,1.0,9,16,5,4,11,16,1,6,1,2,0,0
