,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,F1,10/08/2018,Marseille,Toulouse,4,0,2.0,1,0,2.0,23,5,10,1,7,20,5,1,1,3,0,0
1,F1,11/08/2018,Angers,Nimes,3,4,0.0,1,1,1.0,21,14,7,5,20,12,5,1,2,2,0,1
2,F1,11/08/2018,Lille,Rennes,3,1,2.0,1,1,1.0,15,8,6,2,12,13,2,6,1,0,0,0
3,F1,11/08/2018,Montpellier,Dijon,1,2,0.0,1,0,2.0,16,9,7,4,15,21,4,2,2,2,0,0
4,F1,11/08/2018,Nantes,Monaco,1,3,0.0,0,0,1.0,16,11,4,6,8,15,7,2,1,0,0,0
5,F1,11/08/2018,Nice,Reims,0,1,0.0,0,1,0.0,19,5,1,3,13,14,10,2,1,2,0,0
6,F1,11/08/2018,St Etienne,Guingamp,2,1,2.0,1,0,2.0,11,11,6,5,14,11,6,9,3,1,0,0
7,F1,12/08/2018,Bordeaux,Strasbourg,0,2,0.0,0,0,1.0,5,17,2,6,6,12,3,10,1,0,1,0
8,F1,12/08/2018,Lyon,Amiens,2,0,2.0,1,0,2.0,15,10,7,1,9,17,10,1,0,2,0,0
9,F1,12/08/2018,Paris SG,Caen,3,0,2.0,2,0,2.0,11,5,8,1,13,7,6,3,1,0,0,0
10,F1,17/08/2018,Reims,Lyon,1,0,2.0,1,0,2.0,7,19,2,5,11,10,0,4,2,0,0,0
11,F1,18/08/2018,Amiens,Montpellier,1,2,0.0,0,0,1.0,11,7,2,3,15,15,6,2,1,3,0,0
12,F1,18/08/2018,Caen,Nice,1,1,1.0,0,0,1.0,13,16,4,5,22,11,5,10,2,2,0,0
13,F1,18/08/2018,Dijon,Nantes,2,0,2.0,1,0,2.0,14,7,7,0,18,13,3,4,0,1,0,1
14,F1,18/08/2018,Guingamp,Paris SG,1,3,0.0,1,0,2.0,11,17,3,7,15,16,4,7,0,1,0,0
15,F1,18/08/2018,Monaco,Lille,0,0,1.0,0,0,1.0,10,13,1,4,10,14,8,4,0,0,0,0
16,F1,18/08/2018,Rennes,Angers,1,0,2.0,0,0,1.0,5,7,2,0,8,11,3,0,1,2,0,0
17,F1,19/08/2018,Nimes,Marseille,3,1,2.0,1,0,2.0,14,10,7,5,11,11,6,7,3,1,0,0
18,F1,19/08/2018,Strasbourg,St Etienne,1,1,1.0,0,0,1.0,11,9,5,2,11,7,7,2,1,2,0,1
19,F1,19/08/2018,Toulouse,Bordeaux,2,1,2.0,1,0,2.0,13,15,5,8,10,11,1,2,1,1,0,0
20,F1,24/08/2018,Lyon,Strasbourg,2,0,2.0,1,0,2.0,22,9,10,1,13,13,5,4,1,2,0,0
21,F1,25/08/2018,Amiens,Reims,4,1,2.0,1,0,2.0,14,7,8,3,18,17,4,2,1,1,0,1
22,F1,25/08/2018,Montpellier,St Etienne,0,0,1.0,0,0,1.0,14,9,1,2,12,14,6,3,3,0,0,0
23,F1,25/08/2018,Nantes,Caen,1,1,1.0,0,1,0.0,16,3,3,2,16,16,3,1,2,3,0,1
24,F1,25/08/2018,Nice,Dijon,0,4,0.0,0,0,1.0,16,9,3,5,11,19,5,3,2,3,0,0
25,F1,25/08/2018,Paris SG,Angers,3,1,2.0,1,1,1.0,13,11,5,6,10,2,9,1,2,0,0,0
26,F1,25/08/2018,Toulouse,Nimes,1,0,2.0,0,0,1.0,10,9,5,0,17,21,3,3,1,3,0,0
27,F1,26/08/2018,Bordeaux,Monaco,2,1,2.0,0,0,1.0,14,15,6,5,10,14,5,8,1,2,0,0
28,F1,26/08/2018,Lille,Guingamp,3,0,2.0,2,0,2.0,13,13,7,4,13,13,4,4,2,1,0,1
29,F1,26/08/2018,Marseille,Rennes,2,2,1.0,0,2,0.0,8,7,3,2,16,15,8,4,1,1,0,0
30,F1,31/08/2018,Lyon,Nice,0,1,0.0,0,0,1.0,29,8,9,1,6,14,10,5,0,2,0,0
31,F1,01/09/2018,Angers,Lille,1,0,2.0,0,0,1.0,6,17,3,4,14,8,4,5,0,1,1,0
32,F1,01/09/2018,Dijon,Caen,0,2,0.0,0,1,0.0,15,9,2,4,11,13,9,5,0,3,0,0
33,F1,01/09/2018,Guingamp,Toulouse,1,2,0.0,1,2,0.0,23,5,5,4,12,13,11,4,3,2,0,1
34,F1,01/09/2018,Nimes,Paris SG,2,4,0.0,0,2,0.0,14,7,6,5,12,11,3,4,1,3,1,1
35,F1,01/09/2018,Reims,Montpellier,0,1,0.0,0,0,1.0,21,9,6,3,11,11,5,5,0,0,0,0
36,F1,01/09/2018,Strasbourg,Nantes,2,3,0.0,1,2,0.0,10,14,5,5,12,12,1,3,1,2,0,0
37,F1,02/09/2018,Monaco,Marseille,2,3,0.0,0,1,0.0,8,15,4,5,11,16,1,5,1,1,0,0
38,F1,02/09/2018,Rennes,Bordeaux,2,0,2.0,2,0,2.0,16,8,8,1,12,14,6,5,0,3,0,0
39,F1,02/09/2018,St Etienne,Amiens,0,0,1.0,0,0,1.0,19,9,5,2,11,12,14,1,3,2,0,0
40,F1,14/09/2018,Nice,Rennes,2,1,2.0,0,0,1.0,13,10,4,3,10,19,3,2,4,1,0,0
41,F1,14/09/2018,Paris SG,St Etienne,4,0,2.0,1,0,2.0,16,11,9,2,12,13,7,4,1,1,0,0
42,F1,15/09/2018,Amiens,Lille,2,3,0.0,0,1,0.0,8,18,4,9,12,21,3,3,1,2,0,0
43,F1,15/09/2018,Caen,Lyon,2,2,1.0,0,1,0.0,18,17,4,6,15,13,2,4,1,2,2,0
44,F1,15/09/2018,Dijon,Angers,1,3,0.0,1,3,0.0,11,13,3,6,11,13,4,6,2,2,0,0
45,F1,15/09/2018,Montpellier,Strasbourg,1,1,1.0,0,0,1.0,10,7,3,1,15,14,5,5,1,2,0,0
46,F1,15/09/2018,Toulouse,Monaco,1,1,1.0,0,0,1.0,13,12,6,2,17,17,6,3,2,3,0,0
47,F1,16/09/2018,Bordeaux,Nimes,3,3,1.0,1,2,0.0,15,14,4,5,12,9,8,3,2,0,0,0
48,F1,16/09/2018,Marseille,Guingamp,4,0,2.0,0,0,1.0,17,2,6,0,7,9,8,1,1,1,0,0
49,F1,16/09/2018,Nantes,Reims,0,0,1.0,0,0,1.0,12,7,6,0,13,12,7,7,3,4,0,0
50,F1,21/09/2018,Monaco,Nimes,1,1,1.0,1,1,1.0,15,9,4,2,15,15,5,5,1,2,0,0
51,F1,22/09/2018,Angers,Toulouse,0,0,1.0,0,0,1.0,16,7,4,0,14,14,4,4,1,2,0,0
52,F1,22/09/2018,Lille,Nantes,2,1,2.0,1,0,2.0,11,11,8,4,15,12,4,1,3,4,0,0
53,F1,22/09/2018,Montpellier,Nice,1,0,2.0,1,0,2.0,12,9,5,2,14,11,6,5,3,2,0,0
54,F1,22/09/2018,Reims,Dijon,0,0,1.0,0,0,1.0,11,6,2,0,15,14,9,3,1,1,0,0
55,F1,22/09/2018,St Etienne,Caen,2,1,2.0,0,1,0.0,23,9,7,2,3,20,9,6,2,3,0,0
56,F1,22/09/2018,Strasbourg,Amiens,3,1,2.0,0,1,0.0,13,8,6,3,16,13,1,1,1,4,0,0
57,F1,23/09/2018,Guingamp,Bordeaux,1,3,0.0,0,0,1.0,18,11,5,6,14,17,6,4,1,4,0,0
58,F1,23/09/2018,Lyon,Marseille,4,2,2.0,1,1,1.0,17,9,5,3,7,12,3,7,1,2,0,1
59,F1,23/09/2018,Rennes,Paris SG,1,3,0.0,1,1,1.0,14,15,4,6,11,17,9,4,2,3,0,0
60,F1,25/09/2018,Monaco,Angers,0,1,0.0,0,1,0.0,7,6,0,3,13,12,5,4,1,2,0,0
61,F1,25/09/2018,Nantes,Nice,1,2,0.0,0,1,0.0,10,12,3,5,12,15,8,8,1,2,0,0
62,F1,25/09/2018,Toulouse,St Etienne,2,3,0.0,0,1,0.0,20,14,6,8,13,14,4,2,1,2,0,0
63,F1,26/09/2018,Amiens,Rennes,2,1,2.0,0,0,1.0,12,15,3,2,11,18,9,6,0,2,0,1
64,F1,26/09/2018,Bordeaux,Lille,1,0,2.0,1,0,2.0,7,15,3,6,13,19,3,4,1,3,0,1
65,F1,26/09/2018,Caen,Montpellier,2,2,1.0,1,1,1.0,11,16,3,6,10,14,4,6,2,2,0,1
66,F1,26/09/2018,Dijon,Lyon,0,3,0.0,0,3,0.0,30,16,6,5,12,11,8,2,2,2,1,1
67,F1,26/09/2018,Marseille,Strasbourg,3,2,2.0,2,1,2.0,13,9,5,5,12,13,3,2,3,3,1,0
68,F1,26/09/2018,Nimes,Guingamp,0,0,1.0,0,0,1.0,7,9,2,3,11,12,4,3,3,3,0,0
69,F1,26/09/2018,Paris SG,Reims,4,1,2.0,3,1,2.0,15,9,7,3,12,13,8,4,0,1,0,0
70,F1,28/09/2018,St Etienne,Monaco,2,0,2.0,1,0,2.0,16,20,5,7,8,9,6,3,0,1,0,0
71,F1,29/09/2018,Angers,Guingamp,0,1,0.0,0,1,0.0,11,11,4,5,15,13,1,4,3,3,0,0
72,F1,29/09/2018,Caen,Amiens,1,0,2.0,1,0,2.0,12,7,4,2,15,11,7,4,2,2,0,1
73,F1,29/09/2018,Lyon,Nantes,1,1,1.0,1,0,2.0,20,19,7,4,15,12,10,10,3,4,0,0
74,F1,29/09/2018,Nice,Paris SG,0,3,0.0,0,1,0.0,9,21,1,8,13,12,3,7,3,2,1,0
75,F1,29/09/2018,Reims,Bordeaux,0,0,1.0,0,0,1.0,9,7,0,3,16,23,7,1,2,3,0,0
76,F1,29/09/2018,Strasbourg,Dijon,3,0,2.0,1,0,2.0,7,14,5,1,11,17,0,5,1,3,0,0
77,F1,30/09/2018,Lille,Marseille,3,0,2.0,0,0,1.0,16,8,4,3,8,14,5,2,1,3,0,0
78,F1,30/09/2018,Montpellier,Nimes,3,0,2.0,2,0,2.0,19,11,6,3,15,18,4,1,2,3,0,0
79,F1,30/09/2018,Rennes,Toulouse,1,1,1.0,0,0,1.0,22,5,7,2,17,14,7,3,1,4,0,1
80,F1,05/10/2018,Toulouse,Nice,1,1,1.0,0,1,0.0,13,11,2,2,17,14,3,2,1,2,0,0
81,F1,06/10/2018,Amiens,Dijon,1,0,2.0,1,0,2.0,8,10,2,3,19,18,6,2,0,0,0,0
82,F1,06/10/2018,Angers,Strasbourg,2,2,1.0,0,2,0.0,24,9,6,4,11,13,6,1,1,5,0,0
83,F1,06/10/2018,Guingamp,Montpellier,1,1,1.0,0,1,0.0,7,11,2,5,11,17,3,4,0,3,1,1
84,F1,06/10/2018,Lille,St Etienne,3,1,2.0,1,1,1.0,12,6,5,2,8,10,1,4,2,1,0,0
85,F1,06/10/2018,Nimes,Reims,0,0,1.0,0,0,1.0,17,9,5,2,13,11,9,1,1,1,0,0
86,F1,07/10/2018,Bordeaux,Nantes,3,0,2.0,3,0,2.0,16,12,7,2,19,15,4,6,1,1,0,0
87,F1,07/10/2018,Marseille,Caen,2,0,2.0,2,0,2.0,17,7,6,2,14,14,4,2,3,5,0,0
88,F1,07/10/2018,Monaco,Rennes,1,2,0.0,0,1,0.0,8,11,2,4,18,16,2,3,5,1,1,0
89,F1,07/10/2018,Paris SG,Lyon,5,0,2.0,1,0,2.0,14,16,8,6,11,16,2,10,2,4,1,1
90,F1,19/10/2018,Lyon,Nimes,2,0,2.0,1,0,2.0,13,23,5,6,10,11,7,7,1,2,0,0
91,F1,20/10/2018,Caen,Guingamp,0,0,1.0,0,0,1.0,4,7,2,2,17,5,3,2,0,0,0,0
92,F1,20/10/2018,Dijon,Lille,1,2,0.0,0,2,0.0,17,8,7,3,20,13,10,5,2,2,0,0
93,F1,20/10/2018,Nantes,Toulouse,4,0,2.0,2,0,2.0,18,5,9,2,12,13,4,3,3,1,0,0
94,F1,20/10/2018,Paris SG,Amiens,5,0,2.0,2,0,2.0,16,8,8,2,12,10,10,5,0,0,0,0
95,F1,20/10/2018,Reims,Angers,1,1,1.0,0,1,0.0,12,16,5,6,13,7,8,6,1,0,0,0
96,F1,20/10/2018,Strasbourg,Monaco,2,1,2.0,1,0,2.0,8,12,5,5,13,11,4,6,2,3,0,1
97,F1,21/10/2018,Montpellier,Bordeaux,2,0,2.0,1,0,2.0,13,12,4,3,13,11,2,3,2,3,0,0
98,F1,21/10/2018,Nice,Marseille,0,1,0.0,0,1,0.0,14,9,3,1,12,9,5,7,3,1,0,0
99,F1,21/10/2018,St Etienne,Rennes,1,1,1.0,1,1,1.0,8,15,2,5,13,11,2,4,1,1,0,0
100,F1,26/10/2018,Nimes,St Etienne,1,1,1.0,0,1,0.0,13,13,6,5,6,15,7,4,1,3,0,0
101,F1,27/10/2018,Amiens,Nantes,1,2,0.0,0,1,0.0,18,12,8,5,16,10,10,2,1,2,0,0
102,F1,27/10/2018,Angers,Lyon,1,2,0.0,0,0,1.0,14,9,4,5,9,10,7,0,2,5,1,0
103,F1,27/10/2018,Guingamp,Strasbourg,1,1,1.0,1,0,2.0,10,12,4,5,10,14,6,5,1,1,0,0
104,F1,27/10/2018,Lille,Caen,1,0,2.0,0,0,1.0,11,5,4,1,13,20,9,4,0,2,0,0
105,F1,27/10/2018,Monaco,Dijon,2,2,1.0,1,1,1.0,12,11,5,3,15,14,6,4,2,3,0,0
106,F1,27/10/2018,Toulouse,Montpellier,0,3,0.0,0,2,0.0,15,22,4,8,13,13,5,7,2,1,0,0
107,F1,28/10/2018,Bordeaux,Nice,0,1,0.0,0,0,1.0,23,13,7,2,13,13,5,2,2,3,0,0
108,F1,28/10/2018,Marseille,Paris SG,0,2,0.0,0,0,1.0,12,11,2,5,8,11,5,7,4,2,0,0
109,F1,28/10/2018,Rennes,Reims,0,2,0.0,0,1,0.0,11,6,5,3,16,17,11,2,3,2,0,0
110,F1,02/11/2018,Paris SG,Lille,2,1,2.0,0,0,1.0,19,6,5,2,16,12,8,0,2,3,0,0
