,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,F1,09/08/13,Montpellier,Paris SG,1.0,1.0,1.0,1.0,0.0,2.0,6.0,12.0,1.0,4.0,22.0,18.0,1.0,8.0,2.0,2.0,1.0,0.0
1,F1,10/08/13,Bordeaux,Monaco,0.0,2.0,0.0,0.0,0.0,1.0,11.0,13.0,2.0,6.0,16.0,11.0,3.0,7.0,1.0,0.0,0.0,0.0
2,F1,10/08/13,Evian Thonon Gaillard,Sochaux,1.0,1.0,1.0,1.0,0.0,2.0,15.0,9.0,8.0,6.0,13.0,18.0,5.0,5.0,1.0,2.0,0.0,0.0
3,F1,10/08/13,Lille,Lorient,1.0,0.0,2.0,1.0,0.0,2.0,6.0,6.0,3.0,3.0,18.0,18.0,4.0,3.0,1.0,1.0,0.0,1.0
4,F1,10/08/13,Lyon,Nice,4.0,0.0,2.0,1.0,0.0,2.0,12.0,11.0,6.0,5.0,20.0,9.0,2.0,5.0,1.0,0.0,0.0,0.0
5,F1,10/08/13,Nantes,Bastia,2.0,0.0,2.0,1.0,0.0,2.0,7.0,9.0,3.0,0.0,14.0,14.0,2.0,2.0,1.0,3.0,1.0,1.0
6,F1,10/08/13,Rennes,Reims,2.0,1.0,2.0,1.0,1.0,1.0,13.0,15.0,6.0,5.0,7.0,15.0,4.0,8.0,1.0,2.0,0.0,0.0
7,F1,10/08/13,Valenciennes,Toulouse,3.0,0.0,2.0,1.0,0.0,2.0,19.0,2.0,7.0,1.0,22.0,12.0,6.0,0.0,2.0,0.0,0.0,1.0
8,F1,11/08/13,Ajaccio,St Etienne,0.0,1.0,0.0,0.0,1.0,0.0,7.0,8.0,1.0,2.0,16.0,20.0,1.0,3.0,0.0,1.0,1.0,0.0
9,F1,11/08/13,Guingamp,Marseille,1.0,3.0,0.0,0.0,3.0,0.0,13.0,16.0,5.0,7.0,16.0,19.0,9.0,3.0,2.0,4.0,0.0,0.0
