,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,F1,04/08/17,Monaco,Toulouse,3,2,2.0,1,1,1.0,17,6,7,3,12,23,8,2,1,3,0,0
1,F1,05/08/17,Lyon,Strasbourg,4,0,2.0,1,0,2.0,12,7,7,1,11,16,3,4,2,3,0,0
2,F1,05/08/17,Metz,Guingamp,1,3,0.0,1,1,1.0,6,13,4,5,9,13,3,3,1,2,0,0
3,F1,05/08/17,Montpellier,Caen,1,0,2.0,0,0,1.0,10,8,2,1,9,11,9,3,2,1,0,0
4,F1,05/08/17,Paris SG,Amiens,2,0,2.0,1,0,2.0,16,7,5,1,9,12,8,3,0,1,0,0
5,F1,05/08/17,St Etienne,Nice,1,0,2.0,1,0,2.0,8,6,3,2,11,8,2,7,2,1,0,0
6,F1,05/08/17,Troyes,Rennes,1,1,1.0,0,0,1.0,11,16,4,4,13,8,6,7,1,0,0,0
7,F1,06/08/17,Angers,Bordeaux,2,2,1.0,1,1,1.0,9,7,5,4,16,15,0,5,3,2,0,0
8,F1,06/08/17,Lille,Nantes,3,0,2.0,0,0,1.0,14,9,5,4,11,17,15,3,2,3,0,0
9,F1,06/08/17,Marseille,Dijon,3,0,2.0,0,0,1.0,18,12,5,1,7,10,7,3,1,0,0,0
10,F1,11/08/17,Nice,Troyes,1,2,0.0,0,0,1.0,20,10,6,4,11,8,10,4,2,3,0,0
11,F1,11/08/17,Rennes,Lyon,1,2,0.0,0,0,1.0,17,17,5,8,9,16,14,2,1,3,0,0
12,F1,12/08/17,Amiens,Angers,0,2,0.0,0,1,0.0,10,12,1,6,8,18,5,5,3,2,0,0
13,F1,12/08/17,Bordeaux,Metz,2,0,2.0,1,0,2.0,12,6,5,1,17,10,5,1,1,2,0,0
14,F1,12/08/17,Caen,St Etienne,0,1,0.0,0,0,1.0,10,6,4,4,12,15,8,2,1,1,0,0
15,F1,12/08/17,Nantes,Marseille,0,1,0.0,0,0,1.0,14,13,3,10,13,12,6,9,1,3,0,0
16,F1,12/08/17,Toulouse,Montpellier,1,0,2.0,1,0,2.0,8,14,4,1,25,12,5,3,4,3,0,0
17,F1,13/08/17,Dijon,Monaco,1,4,0.0,1,3,0.0,15,16,3,6,10,12,6,10,0,2,0,0
18,F1,13/08/17,Guingamp,Paris SG,0,3,0.0,0,0,1.0,4,21,0,8,9,13,4,6,2,2,0,0
19,F1,13/08/17,Strasbourg,Lille,3,0,2.0,0,0,1.0,22,12,9,2,8,13,7,5,1,2,0,1
20,F1,18/08/17,Metz,Monaco,0,1,0.0,0,0,1.0,9,22,5,5,17,16,6,6,2,1,0,0
21,F1,19/08/17,Lyon,Bordeaux,3,3,1.0,2,1,2.0,8,16,5,6,20,16,0,8,2,2,1,0
22,F1,19/08/17,Montpellier,Strasbourg,1,1,1.0,0,1,0.0,16,7,5,1,6,18,9,2,2,3,0,0
23,F1,19/08/17,Nice,Guingamp,2,0,2.0,1,0,2.0,14,13,8,1,12,15,4,5,2,2,0,0
24,F1,19/08/17,Rennes,Dijon,2,2,1.0,1,0,2.0,14,12,7,4,9,13,7,0,2,4,0,0
25,F1,19/08/17,St Etienne,Amiens,3,0,2.0,2,0,2.0,13,16,5,1,11,12,3,11,2,2,0,0
26,F1,19/08/17,Troyes,Nantes,0,1,0.0,0,0,1.0,8,11,1,4,7,8,2,10,1,0,0,1
27,F1,20/08/17,Lille,Caen,0,2,0.0,0,1,0.0,15,11,4,3,9,12,5,3,2,2,0,0
28,F1,20/08/17,Marseille,Angers,1,1,1.0,1,0,2.0,12,11,2,4,20,7,11,2,3,2,1,0
29,F1,20/08/17,Paris SG,Toulouse,6,2,2.0,2,1,2.0,24,7,15,1,8,19,7,1,0,4,1,0
30,F1,25/08/17,Paris SG,St Etienne,3,0,2.0,1,0,2.0,14,12,4,2,20,12,8,3,2,3,0,0
31,F1,26/08/17,Amiens,Nice,3,0,2.0,2,0,2.0,12,12,4,3,14,7,3,4,3,3,0,0
32,F1,26/08/17,Bordeaux,Troyes,2,1,2.0,1,0,2.0,12,5,8,2,9,17,4,4,0,1,0,0
33,F1,26/08/17,Caen,Metz,1,0,2.0,0,0,1.0,16,9,4,2,11,16,9,3,2,2,0,0
34,F1,26/08/17,Dijon,Montpellier,2,1,2.0,1,0,2.0,7,11,2,2,18,14,2,4,2,2,0,0
35,F1,26/08/17,Nantes,Lyon,0,0,1.0,0,0,1.0,6,16,2,3,13,11,1,8,1,1,0,0
36,F1,26/08/17,Toulouse,Rennes,3,2,2.0,1,1,1.0,11,14,7,3,19,22,3,4,4,3,0,1
37,F1,27/08/17,Angers,Lille,1,1,1.0,0,0,1.0,11,13,2,3,10,10,7,1,2,5,0,0
38,F1,27/08/17,Guingamp,Strasbourg,2,0,2.0,0,0,1.0,14,15,6,3,12,14,2,7,1,2,0,0
39,F1,27/08/17,Monaco,Marseille,6,1,2.0,4,0,2.0,14,10,8,3,11,14,1,1,2,3,0,0
40,F1,08/09/17,Lille,Bordeaux,0,0,1.0,0,0,1.0,8,17,2,1,11,13,5,3,2,4,1,0
41,F1,08/09/17,Metz,Paris SG,1,5,0.0,1,1,1.0,8,23,1,12,10,8,6,7,0,1,1,0
42,F1,09/09/17,Caen,Dijon,2,1,2.0,1,1,1.0,12,9,3,4,19,17,8,3,1,2,1,0
43,F1,09/09/17,Montpellier,Nantes,0,1,0.0,0,0,1.0,11,12,3,4,7,12,8,3,1,2,1,0
44,F1,09/09/17,Nice,Monaco,4,0,2.0,2,0,2.0,9,11,5,1,19,14,2,11,2,2,0,0
45,F1,09/09/17,Strasbourg,Amiens,0,1,0.0,0,1,0.0,10,8,3,3,22,14,6,0,1,3,1,0
46,F1,09/09/17,Troyes,Toulouse,0,0,1.0,0,0,1.0,11,7,3,0,12,13,4,1,2,3,0,0
47,F1,10/09/17,Lyon,Guingamp,2,1,2.0,1,0,2.0,12,13,4,6,16,16,3,6,2,2,0,0
48,F1,10/09/17,Marseille,Rennes,1,3,0.0,0,2,0.0,10,17,4,4,18,14,5,2,6,1,0,0
49,F1,10/09/17,St Etienne,Angers,1,1,1.0,1,1,1.0,8,15,4,6,9,19,1,3,3,2,1,1
50,F1,15/09/17,Toulouse,Bordeaux,0,1,0.0,0,0,1.0,16,14,5,4,17,10,3,9,3,1,0,0
51,F1,16/09/17,Dijon,St Etienne,0,1,0.0,0,0,1.0,18,16,7,6,13,14,1,4,3,3,0,0
52,F1,16/09/17,Guingamp,Lille,1,0,2.0,0,0,1.0,20,10,4,5,8,17,8,8,1,1,0,0
53,F1,16/09/17,Monaco,Strasbourg,3,0,2.0,1,0,2.0,14,10,5,1,13,12,5,5,2,2,0,0
54,F1,16/09/17,Nantes,Caen,1,0,2.0,0,0,1.0,8,8,4,1,12,12,4,3,0,2,0,0
55,F1,16/09/17,Troyes,Montpellier,0,1,0.0,0,1,0.0,7,9,0,3,19,10,2,6,3,3,1,0
56,F1,17/09/17,Amiens,Marseille,0,2,0.0,0,0,1.0,8,22,3,6,11,15,6,3,2,3,0,0
57,F1,17/09/17,Angers,Metz,0,1,0.0,0,0,1.0,18,10,5,5,14,14,4,5,1,3,0,0
58,F1,17/09/17,Paris SG,Lyon,2,0,2.0,0,0,1.0,14,12,5,5,11,13,9,4,3,2,0,0
59,F1,17/09/17,Rennes,Nice,0,1,0.0,0,0,1.0,17,6,4,3,17,17,6,5,1,5,0,0
60,F1,22/09/17,Lille,Monaco,0,4,0.0,0,2,0.0,11,12,2,7,18,14,1,1,1,2,0,0
61,F1,22/09/17,Nice,Angers,2,2,1.0,1,2,0.0,17,15,3,6,13,18,8,1,4,2,0,0
62,F1,23/09/17,Bordeaux,Guingamp,3,1,2.0,1,0,2.0,21,10,8,4,14,14,5,2,4,2,0,0
63,F1,23/09/17,Caen,Amiens,1,0,2.0,0,0,1.0,17,2,4,0,14,19,7,3,1,2,0,0
64,F1,23/09/17,Lyon,Dijon,3,3,1.0,1,1,1.0,20,11,6,6,17,19,8,1,1,5,0,0
65,F1,23/09/17,Metz,Troyes,0,1,0.0,0,0,1.0,15,9,7,2,11,12,5,4,3,3,0,1
66,F1,23/09/17,Montpellier,Paris SG,0,0,1.0,0,0,1.0,5,10,2,1,15,13,2,11,2,2,0,0
67,F1,24/09/17,Marseille,Toulouse,2,0,2.0,1,0,2.0,22,8,6,1,11,10,12,5,2,0,0,0
68,F1,24/09/17,St Etienne,Rennes,2,2,1.0,1,1,1.0,9,9,4,4,11,14,9,5,3,3,1,0
69,F1,24/09/17,Strasbourg,Nantes,1,2,0.0,1,2,0.0,21,12,6,5,7,5,12,3,1,1,0,0
70,F1,29/09/17,Monaco,Montpellier,1,1,1.0,1,0,2.0,8,15,1,3,19,12,3,4,3,1,0,0
71,F1,30/09/17,Dijon,Strasbourg,1,1,1.0,0,0,1.0,13,7,6,1,10,17,7,4,0,2,1,0
72,F1,30/09/17,Guingamp,Toulouse,1,1,1.0,1,1,1.0,6,11,4,2,17,18,6,4,1,2,0,0
73,F1,30/09/17,Nantes,Metz,1,0,2.0,1,0,2.0,15,9,6,1,14,9,4,4,2,4,0,1
74,F1,30/09/17,Paris SG,Bordeaux,6,2,2.0,5,1,2.0,11,17,9,6,10,18,1,5,1,2,0,0
75,F1,30/09/17,Rennes,Caen,0,1,0.0,0,1,0.0,9,10,2,3,14,25,8,3,4,1,0,0
76,F1,01/10/17,Angers,Lyon,3,3,1.0,1,3,0.0,15,13,4,6,12,14,9,4,2,3,0,1
77,F1,01/10/17,Nice,Marseille,2,4,0.0,2,3,0.0,19,17,10,9,14,16,9,5,2,3,0,1
78,F1,01/10/17,Troyes,St Etienne,2,1,2.0,1,0,2.0,11,14,7,4,7,17,5,8,3,1,1,1
79,F1,13/10/17,Lyon,Monaco,3,2,2.0,2,2,1.0,22,14,7,7,9,15,7,5,4,1,0,0
80,F1,14/10/17,Caen,Angers,0,2,0.0,0,0,1.0,22,12,5,4,12,18,4,4,1,4,0,0
81,F1,14/10/17,Dijon,Paris SG,1,2,0.0,0,0,1.0,15,18,5,8,10,13,5,9,3,4,0,0
82,F1,14/10/17,Guingamp,Rennes,2,0,2.0,0,0,1.0,16,11,9,0,19,15,6,5,3,6,0,1
83,F1,14/10/17,Lille,Troyes,2,2,1.0,1,1,1.0,16,10,6,2,16,12,3,1,1,2,1,0
84,F1,14/10/17,St Etienne,Metz,3,1,2.0,0,1,0.0,20,10,5,2,10,16,12,5,2,1,0,0
85,F1,14/10/17,Toulouse,Amiens,1,0,2.0,1,0,2.0,16,7,6,2,14,21,3,0,1,5,0,1
86,F1,15/10/17,Bordeaux,Nantes,1,1,1.0,0,1,0.0,18,14,3,4,13,15,6,2,3,2,0,0
87,F1,15/10/17,Montpellier,Nice,2,0,2.0,0,0,1.0,14,15,4,8,14,15,4,7,3,1,0,0
88,F1,15/10/17,Strasbourg,Marseille,3,3,1.0,1,1,1.0,19,20,9,7,14,9,4,4,3,3,0,0
89,F1,20/10/17,St Etienne,Montpellier,0,1,0.0,0,1,0.0,21,15,4,4,25,17,6,2,2,3,0,0
90,F1,21/10/17,Amiens,Bordeaux,1,0,2.0,0,0,1.0,13,14,4,4,12,13,4,3,3,1,0,0
91,F1,21/10/17,Angers,Toulouse,0,1,0.0,0,1,0.0,14,3,4,1,11,16,4,2,2,4,0,0
92,F1,21/10/17,Metz,Dijon,1,2,0.0,1,1,1.0,15,8,5,6,11,15,2,5,1,2,1,0
93,F1,21/10/17,Monaco,Caen,2,0,2.0,1,0,2.0,15,8,6,1,12,17,7,7,3,2,0,0
94,F1,21/10/17,Nantes,Guingamp,2,1,2.0,1,0,2.0,9,10,3,4,13,12,3,6,3,1,0,0
95,F1,21/10/17,Rennes,Lille,1,0,2.0,1,0,2.0,9,7,6,1,13,17,2,6,1,2,0,1
96,F1,22/10/17,Marseille,Paris SG,2,2,1.0,1,1,1.0,11,7,3,3,18,14,3,4,4,3,0,1
97,F1,22/10/17,Nice,Strasbourg,1,2,0.0,0,1,0.0,14,15,9,6,5,5,9,1,0,1,0,1
98,F1,22/10/17,Troyes,Lyon,0,5,0.0,0,1,0.0,9,14,3,10,12,13,4,3,2,2,1,0
99,F1,27/10/17,Paris SG,Nice,3,0,2.0,2,0,2.0,16,8,8,1,10,9,8,2,0,0,0,0
100,F1,28/10/17,Bordeaux,Monaco,0,2,0.0,0,0,1.0,12,12,4,5,22,12,6,2,2,0,0,0
101,F1,28/10/17,Caen,Troyes,1,0,2.0,1,0,2.0,16,8,3,3,12,13,6,6,1,3,0,0
102,F1,28/10/17,Dijon,Nantes,1,0,2.0,1,0,2.0,6,10,1,0,15,19,1,5,3,2,0,0
103,F1,28/10/17,Guingamp,Amiens,1,1,1.0,1,1,1.0,12,7,4,2,16,20,5,5,1,5,0,1
104,F1,28/10/17,Montpellier,Rennes,0,1,0.0,0,0,1.0,9,7,4,2,15,17,4,1,4,2,0,0
105,F1,28/10/17,Strasbourg,Angers,2,2,1.0,1,0,2.0,14,5,6,2,10,12,4,2,3,2,0,0
106,F1,29/10/17,Lille,Marseille,0,1,0.0,0,1,0.0,18,10,7,3,18,17,11,4,2,3,0,0
107,F1,29/10/17,Lyon,Metz,2,0,2.0,2,0,2.0,12,7,4,4,13,17,3,2,0,3,0,0
108,F1,29/10/17,Toulouse,St Etienne,0,0,1.0,0,0,1.0,11,4,4,2,16,19,7,1,2,3,0,0
109,F1,03/11/17,Rennes,Bordeaux,1,0,2.0,1,0,2.0,6,6,2,0,14,26,8,0,2,5,0,0
110,F1,04/11/17,Angers,Paris SG,0,5,0.0,0,3,0.0,9,15,3,7,8,13,2,4,1,3,0,0
111,F1,04/11/17,Monaco,Guingamp,6,0,2.0,4,0,2.0,18,12,9,3,17,9,4,1,1,1,0,0
112,F1,04/11/17,Montpellier,Amiens,1,1,1.0,0,0,1.0,10,12,3,1,11,12,3,2,2,1,0,0
113,F1,04/11/17,Nantes,Toulouse,2,1,2.0,1,0,2.0,11,10,6,3,20,16,9,4,2,4,0,0
114,F1,04/11/17,Troyes,Strasbourg,3,0,2.0,0,0,1.0,13,10,6,2,18,8,4,1,3,1,0,1
115,F1,05/11/17,Marseille,Caen,5,0,2.0,1,0,2.0,28,11,11,3,5,9,13,6,0,0,0,0
116,F1,05/11/17,Metz,Lille,0,3,0.0,0,1,0.0,19,14,5,7,13,19,9,0,3,2,0,0
117,F1,05/11/17,Nice,Dijon,1,0,2.0,1,0,2.0,11,13,4,4,14,9,6,4,1,1,1,0
118,F1,05/11/17,St Etienne,Lyon,0,5,0.0,0,2,0.0,13,13,2,10,22,17,5,1,1,2,1,0
119,F1,17/11/17,Amiens,Monaco,1,1,1.0,1,0,2.0,10,15,2,4,15,15,4,4,2,3,0,0
120,F1,17/11/17,Lille,St Etienne,3,1,2.0,1,1,1.0,12,8,5,3,10,16,8,10,2,3,0,0
121,F1,18/11/17,Dijon,Troyes,3,1,2.0,1,1,1.0,15,11,8,4,13,12,4,4,1,1,0,0
122,F1,18/11/17,Guingamp,Angers,1,1,1.0,1,1,1.0,9,10,2,2,15,18,1,7,4,4,1,0
123,F1,18/11/17,Paris SG,Nantes,4,1,2.0,2,0,2.0,23,8,10,1,9,17,9,2,2,3,0,0
124,F1,18/11/17,Strasbourg,Rennes,2,1,2.0,1,0,2.0,11,13,5,4,18,8,6,7,1,0,0,1
125,F1,18/11/17,Toulouse,Metz,0,0,1.0,0,0,1.0,21,12,3,5,16,11,9,4,2,3,0,1
126,F1,19/11/17,Bordeaux,Marseille,1,1,1.0,1,0,2.0,9,14,3,3,16,14,3,6,4,2,0,0
127,F1,19/11/17,Caen,Nice,1,1,1.0,0,1,0.0,18,12,4,7,10,11,12,3,2,3,0,0
128,F1,19/11/17,Lyon,Montpellier,0,0,1.0,0,0,1.0,15,15,3,2,11,9,9,6,2,1,0,0
129,F1,20/11/17,Amiens,Lille,3,0,2.0,1,0,2.0,8,12,4,1,12,10,4,6,3,2,0,0
130,F1,24/11/17,St Etienne,Strasbourg,2,2,1.0,1,1,1.0,12,10,6,4,14,10,7,4,4,2,0,0
