,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,F1,12/08/16,Bastia,Paris SG,0,1,0.0,0.0,0.0,1.0,10.0,9.0,0.0,6.0,15.0,16.0,2.0,6.0,3.0,3.0,0.0,0.0
1,F1,12/08/16,Monaco,Guingamp,2,2,1.0,0.0,2.0,0.0,18.0,9.0,4.0,5.0,14.0,15.0,8.0,2.0,3.0,4.0,0.0,0.0
2,F1,13/08/16,Bordeaux,St Etienne,3,2,2.0,1.0,0.0,2.0,10.0,14.0,6.0,5.0,9.0,20.0,3.0,6.0,1.0,2.0,0.0,0.0
3,F1,13/08/16,Caen,Lorient,3,2,2.0,2.0,2.0,1.0,15.0,8.0,6.0,2.0,13.0,9.0,10.0,2.0,1.0,2.0,0.0,1.0
4,F1,13/08/16,Dijon,Nantes,0,1,0.0,0.0,0.0,1.0,6.0,10.0,2.0,3.0,6.0,11.0,3.0,4.0,0.0,2.0,0.0,0.0
5,F1,13/08/16,Metz,Lille,3,2,2.0,0.0,1.0,0.0,7.0,13.0,3.0,4.0,13.0,9.0,4.0,5.0,2.0,2.0,0.0,0.0
6,F1,13/08/16,Montpellier,Angers,1,0,2.0,1.0,0.0,2.0,14.0,12.0,3.0,2.0,9.0,12.0,7.0,2.0,1.0,2.0,0.0,0.0
7,F1,14/08/16,Marseille,Toulouse,0,0,1.0,0.0,0.0,1.0,10.0,6.0,2.0,2.0,14.0,12.0,9.0,6.0,3.0,1.0,0.0,0.0
8,F1,14/08/16,Nancy,Lyon,0,3,0.0,0.0,2.0,0.0,11.0,9.0,1.0,7.0,18.0,14.0,4.0,4.0,4.0,2.0,0.0,0.0
9,F1,14/08/16,Nice,Rennes,1,0,2.0,0.0,0.0,1.0,7.0,19.0,1.0,4.0,12.0,9.0,4.0,8.0,0.0,1.0,0.0,0.0
10,F1,19/08/16,Lyon,Caen,2,0,2.0,1.0,0.0,2.0,21.0,7.0,7.0,1.0,17.0,14.0,13.0,3.0,3.0,4.0,0.0,0.0
11,F1,20/08/16,Angers,Nice,0,1,0.0,0.0,1.0,0.0,21.0,14.0,6.0,8.0,11.0,10.0,10.0,3.0,1.0,2.0,0.0,0.0
12,F1,20/08/16,Lille,Dijon,1,0,2.0,0.0,0.0,1.0,10.0,7.0,3.0,2.0,12.0,15.0,6.0,5.0,1.0,2.0,0.0,0.0
13,F1,20/08/16,Lorient,Bastia,0,3,0.0,0.0,2.0,0.0,10.0,16.0,3.0,7.0,15.0,11.0,2.0,5.0,2.0,4.0,2.0,0.0
14,F1,20/08/16,Nantes,Monaco,0,1,0.0,0.0,1.0,0.0,8.0,8.0,2.0,3.0,15.0,18.0,10.0,3.0,2.0,4.0,0.0,0.0
15,F1,20/08/16,Rennes,Nancy,2,0,2.0,1.0,0.0,2.0,9.0,8.0,3.0,1.0,11.0,8.0,3.0,7.0,4.0,2.0,0.0,0.0
16,F1,20/08/16,Toulouse,Bordeaux,4,1,2.0,2.0,0.0,2.0,11.0,9.0,5.0,2.0,19.0,14.0,3.0,6.0,1.0,3.0,0.0,1.0
17,F1,21/08/16,Guingamp,Marseille,2,1,2.0,1.0,0.0,2.0,14.0,8.0,4.0,3.0,9.0,15.0,4.0,6.0,0.0,1.0,0.0,0.0
18,F1,21/08/16,Paris SG,Metz,3,0,2.0,0.0,0.0,1.0,29.0,11.0,8.0,6.0,10.0,6.0,15.0,2.0,1.0,1.0,0.0,0.0
19,F1,21/08/16,St Etienne,Montpellier,3,1,2.0,0.0,1.0,0.0,14.0,13.0,5.0,3.0,9.0,12.0,4.0,6.0,1.0,1.0,0.0,0.0
20,F1,26/08/16,Marseille,Lorient,2,0,2.0,1.0,0.0,2.0,13.0,10.0,8.0,5.0,15.0,11.0,3.0,4.0,1.0,1.0,0.0,0.0
21,F1,27/08/16,Caen,Bastia,2,0,2.0,0.0,0.0,1.0,17.0,5.0,4.0,1.0,15.0,20.0,5.0,2.0,1.0,5.0,0.0,0.0
