,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,Home attendance,Away attendance,Total avg
39,F1,27/08/17,Monaco,Marseille,2,18.33333333,6,3,2,0,13.33333333,1.333333333,0,2.666666667,14.33333333,5.666666667,2,1,0,13,2.333333333,0.333333333,1.666666667,9243,26919,36162
40,F1,8/9/2017,Lille,Bordeaux,1,13.5,3.5,1,2,2,10.75,2.75,0.25,1,11.75,5.75,2,2,0,14.25,1.25,0,2.25,33200,22009,55209
41,F1,8/9/2017,Metz,Paris SG,0,7.5,3,0,2,4,13,1.75,0,0.25,18.75,8,4,0,0,12.5,1,0.25,3.5,14844,29502,44346
42,F1,9/9/2017,Caen,Dijon,2,11.25,3,2,2,2,11.5,1.5,0,0.75,11.5,2.5,1,1,2,12.75,1.5,0,1.25,17187,21658,38845
43,F1,9/9/2017,Montpellier,Nantes,0,12.75,2.5,1,3,2,10.25,2.25,0,0.75,10,3.25,1,1,2,12.75,1.25,1,0.25,13458,22181,35639
44,F1,9/9/2017,Nice,Monaco,2,13,4.75,1,2,3,9.5,2,0,0.75,17.25,6.5,4,0,0,12.75,1.5,0,3.5,22876,23813,46689
45,F1,9/9/2017,Strasbourg,Amiens,0,12.75,3.5,1,3,2,14,2.25,0,1,11.25,1.75,1,0,3,11.5,2.25,0,0.75,24064,22086,46150
46,F1,9/9/2017,Troyes,Toulouse,1,8.5,2.75,1,3,2,11.25,1.5,0,1,8,3.75,2,0,2,21.5,3.75,0,2,11723,21412,33135
47,F1,10/9/2017,Lyon,Guingamp,2,13.25,5.75,2,3,0,14.5,2,0.25,2.25,11,3,2,0,2,12.25,1.75,0,1.25,46005,22165,68170
48,F1,10/9/2017,Marseille,Rennes,0,13.25,5,2,3,1,13.25,2.5,0.25,1.5,15.25,4.75,0,2,2,12,1.5,1,1.5,47314,21642,68956
49,F1,10/9/2017,St Etienne,Angers,1,9.75,3.5,3,2,1,12.25,2,0,1.25,10.75,4.25,1,3,0,12.75,2.25,0,1.5,28142,21306,49448
50,F1,15/09/17,Toulouse,Bordeaux,0,7.8,3,2,3,2,19.8,3.6,0,1.6,12.8,4.8,2,3,0,14,1.8,0,1.8,16929,22009,38938
51,F1,16/09/17,Dijon,St Etienne,0,11,2.8,1,3,3,13.6,1.6,0,1.2,9.4,3.6,3,1,1,11.6,2.2,0.2,1.2,12228,22820,35048
52,F1,16/09/17,Guingamp,Lille,2,11.4,3.6,2,3,3,13,1.8,0,1.2,12.4,3.2,1,2,2,10.8,2.6,1.2,0.8,14502,21878,36380
53,F1,16/09/17,Monaco,Strasbourg,2,16,5.4,4,3,1,13,1.6,0,2.8,12.2,3.4,1,1,3,15.6,2,0.2,0.8,9243,20496,29739
54,F1,16/09/17,Nantes,Caen,2,10.4,3.4,2,4,2,12.6,1.4,0.2,0.4,11.4,3,3,0,2,13,1.4,0.2,1,24559,20701,45260
55,F1,16/09/17,Troyes,Montpellier,0,9,2.8,1,4,2,11.4,1.6,0,0.8,12.4,2.6,1,1,3,9.6,2,0.2,0.6,11723,20958,32681
56,F1,17/09/17,Amiens,Marseille,0,10.6,2,2,3,3,12,2.4,0,0.8,12.6,4.8,2,1,2,14.2,3.2,0.2,1.4,9489,26919,36408
