,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,Home attendance,Away attendance,Total avg
0,F1,10/8/2018,Marseille,Toulouse,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48175,23106,71281
1,F1,11/8/2018,Angers,Nimes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10383,24165,34548
2,F1,11/8/2018,Lille,Rennes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33128,22451,55579
3,F1,11/8/2018,Montpellier,Dijon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13242,20806,34048
4,F1,11/8/2018,Nantes,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25041,24499,49540
5,F1,11/8/2018,Nice,Reims,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19039,21349,40388
6,F1,11/8/2018,St Etienne,Guingamp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27482,21833,49315
7,F1,12/8/2018,Bordeaux,Strasbourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21547,21260,42807
8,F1,12/8/2018,Lyon,Amiens,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48524,23213,71737
9,F1,12/8/2018,Paris SG,Caen,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46853,20057,66910
10,F1,17/08/2018,Reims,Lyon,2,5,3,1,1,0,14,2,0,1,15,7,1,0,0,9,0,0,2,14052,23407,37459
11,F1,18/08/2018,Amiens,Montpellier,0,10,1,0,1,1,17,2,0,0,16,7,0,0,1,15,2,0,1,10926,20019,30945
12,F1,18/08/2018,Caen,Nice,1,5,1,0,1,1,7,0,0,0,19,1,0,0,1,13,1,0,0,16396,20536,36932
13,F1,18/08/2018,Dijon,Nantes,2,9,4,1,1,0,21,2,0,2,16,4,0,0,1,8,1,0,1,12981,21523,34504
14,F1,18/08/2018,Guingamp,Paris SG,0,11,5,0,1,1,11,1,0,1,11,8,1,0,0,13,1,0,3,14829,28880,43709
15,F1,18/08/2018,Monaco,Lille,1,11,6,1,1,0,15,0,0,3,15,6,1,0,0,12,1,0,3,8382,19907,28289
16,F1,18/08/2018,Rennes,Angers,2,8,2,0,1,1,13,0,0,1,21,7,0,0,1,20,2,0,3,23255,20958,44213
17,F1,19/08/2018,Nimes,Marseille,2,14,5,1,1,0,12,2,1,4,23,10,1,0,0,7,1,0,4,13701,26406,40107
18,F1,19/08/2018,Strasbourg,St Etienne,1,17,6,1,1,0,12,0,0,2,11,6,1,0,0,14,3,0,2,25223,25334,50557
19,F1,19/08/2018,Toulouse,Bordeaux,2,5,1,0,1,1,20,3,0,0,5,2,0,0,1,6,1,1,0,15062,19239,34301
20,F1,24/08/2018,Lyon,Strasbourg,2,17,6,1,1,1,9.5,0,0,1,14,5.5,1,1,0,11.5,0.5,0,1.5,48524,21260,69784
21,F1,25/08/2018,Amiens,Reims,2,10.5,1.5,0,1,2,16,1.5,0,0.5,6,2.5,2,0,0,12.5,2,0,1,10926,21349,32275
22,F1,25/08/2018,Montpellier,St Etienne,1,11.5,5,1,1,1,15,2.5,0,1.5,10,4,1,1,0,10.5,2.5,1,1.5,13242,25334,38576
23,F1,25/08/2018,Nantes,Caen,1,11.5,2,0,1,2,10.5,1,0.5,0.5,9,2.5,0,1,1,14.5,1,0,0.5,25041,20057,45098
24,F1,25/08/2018,Nice,Dijon,0,17.5,3,0,1,1,12,1.5,0,0.5,11.5,5.5,2,0,0,19.5,1,0,2,19039,20806,39845
25,F1,25/08/2018,Paris SG,Angers,2,14,7.5,2,1,0,14.5,1,0,3,14,3.5,0,0,2,15.5,2,0,1.5,46853,20958,67811
26,F1,25/08/2018,Toulouse,Nimes,2,9,3,1,1,1,15,2,0,1,14,6,2,0,0,11.5,2.5,1,3.5,15062,24165,39227
27,F1,26/08/2018,Bordeaux,Monaco,2,10,5,0,1,2,8.5,1,0.5,0.5,10.5,3.5,1,1,0,12.5,0,0,1.5,21547,24499,46046
28,F1,26/08/2018,Lille,Guingamp,2,14,5,1,1,0,13,0.5,0,1.5,11,4,0,0,2,13,0.5,0,1,33128,21833,54961
29,F1,26/08/2018,Marseille,Rennes,1,16.5,7.5,1,1,1,9,1,0,2.5,6.5,2,1,0,1,10.5,0.5,0,1,48175,22451,70626
