,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,Home attendance,Away attendance,Total avg
0,F1,7/8/2015,Lille,Paris SG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30268,27503,30268
1,F1,8/8/2015,Bastia,Rennes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11559,19617,11559
2,F1,8/8/2015,Marseille,Caen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44121,20546,44121
3,F1,8/8/2015,Montpellier,Angers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12839,19766,12839
4,F1,8/8/2015,Nantes,Guingamp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24519,20667,24519
5,F1,8/8/2015,Nice,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19192,22552,19192
6,F1,8/8/2015,Troyes,Ajaccio GFCO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12470,20723,12470
7,F1,9/8/2015,Bordeaux,Reims,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25089,18957,25089
8,F1,9/8/2015,Lyon,Lorient,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40279,18902,40279
9,F1,9/8/2015,Toulouse,St Etienne,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16318,21837,16318
10,F1,14/08/15,Monaco,Lille,1,19,6,1,1,0,18,2,0,2,12,2,0,0,1,20,3,0,0,7843,19801,7843
11,F1,15/08/15,Angers,Nantes,1,16,6,1,1,0,15,2,0,2,9,4,1,0,0,13,2,0,1,13502,19987,13503
12,F1,15/08/15,Caen,Toulouse,2,8,4,1,1,0,10,0,0,1,9,3,1,0,0,10,0,1,2,17661,19847,17663
13,F1,15/08/15,Guingamp,Lyon,0,10,4,0,1,1,16,2,0,0,21,6,0,1,0,11,1,0,0,14804,22514,14804
14,F1,15/08/15,Rennes,Montpellier,2,6,3,0,1,1,19,1,0,1,11,4,0,0,1,12,3,0,0,23182,19259,23182
15,F1,15/08/15,St Etienne,Bordeaux,1,11,2,0,1,1,10,1,0,1,14,4,0,0,1,14,2,0,1,30328,19286,30329
16,F1,15/08/15,Troyes,Nice,1,12,4,0,1,0,11,0,0,0,5,2,0,0,1,18,2,1,1,12470,21379,12471
17,F1,16/08/15,Lorient,Bastia,1,10,5,0,1,0,12,2,0,0,11,3,1,0,0,15,0,1,2,11993,19651,11995
18,F1,16/08/15,Paris SG,Ajaccio GFCO,2,7,2,1,1,0,17,2,1,1,6,1,0,1,0,8,4,0,0,46107,20723,46107
19,F1,16/08/15,Reims,Marseille,2,14,6,1,1,0,12,2,0,2,17,4,0,0,1,10,1,0,0,13483,24394,13483
20,F1,21/08/15,Montpellier,Paris SG,0,7.5,2,0,1,2,10.5,2,0,0,12.5,4,2,0,0,12.5,1.5,1,1.5,12839,27503,12840.5
21,F1,22/08/15,Ajaccio GFCO,Angers,0,7,1.5,0,2,1,11,3.5,0,0,13,4.5,1,1,0,13.5,2.5,0,1,3719,19766,3720
22,F1,22/08/15,Bastia,Guingamp,2,9,2.5,1,1,0,15,1,0.5,1.5,10.5,3.5,0,0,2,16,2,0,0,11559,20667,11559
23,F1,22/08/15,Lyon,Rennes,0,16,4.5,1,2,0,14.5,1.5,0,0.5,8,2.5,1,0,1,15,2,0,1,40279,19617,40280
24,F1,22/08/15,Nantes,Reims,2,5.5,2.5,1,1,0,15,3,0,0.5,14.5,5.5,2,0,0,12.5,2,0,1.5,24519,18957,24520.5
25,F1,22/08/15,Nice,Caen,2,11.5,4,0,1,1,15.5,2.5,0.5,2,8.5,3.5,2,0,0,12,0.5,0,1,19192,20546,19193
26,F1,22/08/15,Toulouse,Monaco,1,11,3.5,1,1,1,12,1.5,1,1,14,4.5,1,1,0,15,1.5,0,1,16318,22552,16319
27,F1,23/08/15,Lille,Bordeaux,1,10.5,2,0,1,1,19.5,4,0,0,15.5,3.5,0,1,1,12.5,1.5,0,1,30268,19286,30269
28,F1,23/08/15,Lorient,St Etienne,0,11,4.5,0,2,0,12.5,2.5,0,0.5,9,2,0,1,1,13.5,1.5,0,1,11993,21837,11994
29,F1,23/08/15,Marseille,Troyes,2,15,4,0,1,2,12,1.5,0.5,0,11.5,5.5,0,2,0,11,1.5,0.5,1.5,44121,22089,44122.5
30,F1,28/08/15,Guingamp,Marseille,2,12,3.666666667,0,2,3,15,2.333333333,0,0,15.33333333,5,1,0,2,10.66666667,1.333333333,1,2,14804,24394,14806
31,F1,29/08/15,Angers,Nice,1,11.66666667,4.666666667,2,3,0,12.33333333,2.333333333,0,1.333333333,10,4,1,1,1,12.66666667,2,0.333333333,2,13502,21379,13504
32,F1,29/08/15,Caen,Lyon,0,9.666666667,4.333333333,2,2,1,13.33333333,1.333333333,0,1,15.66666667,4.333333333,1,1,1,13.66666667,1.333333333,0,0.666666667,17661,22514,17661.66667
33,F1,29/08/15,Lille,Ajaccio GFCO,2,12,3,0,2,1,16.66666667,3,0,0,7.333333333,2,0,1,2,11.33333333,3,0,0,30268,20723,30268
34,F1,29/08/15,Reims,Lorient,2,10.33333333,4,2,2,1,11.66666667,2.333333333,0,1,10.66666667,3.666666667,0,2,1,12.33333333,1.666666667,0.333333333,0.333333333,13483,18902,13483.33333
35,F1,29/08/15,Rennes,Toulouse,2,7.333333333,2.666666667,2,2,1,14.33333333,2.333333333,0,1.333333333,11.66666667,3.666666667,1,1,1,12.33333333,1,1.333333333,1,23182,19847,23183
36,F1,29/08/15,Troyes,Montpellier,1,9.666666667,4,0,3,1,10.33333333,1.333333333,0.333333333,1,8.333333333,2.333333333,0,0,3,11.33333333,2,0,0,12470,19259,12470
37,F1,30/08/15,Bordeaux,Nantes,2,14.33333333,3.666666667,0,2,1,16,2.666666667,0,0.666666667,8,3.666666667,2,1,0,14,2.333333333,0,0.666666667,25089,19987,25089.66667
38,F1,30/08/15,Monaco,Paris SG,0,14,4,1,3,0,16.66666667,2.333333333,0,1,11.33333333,4.333333333,3,0,0,11,1.333333333,1,1.333333333,7843,27503,7844.333333
39,F1,30/08/15,St Etienne,Bastia,2,10,3,1,3,1,17,2,0,1,9.333333333,3.333333333,2,1,0,14.66666667,1.333333333,0.333333333,2,30328,19651,30330
40,F1,11/9/2015,Paris SG,Bordeaux,1,13.25,5.25,4,3,0,11.25,1.25,0.25,1.75,15.5,3.75,1,2,1,14.25,2.75,0,1,46107,19286,46108
41,F1,12/9/2015,Lorient,Angers,2,11.25,3.75,0,3,2,11.25,1.5,0.25,0.5,10,4,2,2,0,12.75,2.25,0,1.25,11993,19766,11994.25
42,F1,12/9/2015,Lyon,Lille,1,15,4.5,2,3,1,14.5,1,0,1.5,12.25,3.5,1,2,1,15.75,2.5,0,0.25,40279,19801,40279.25
43,F1,12/9/2015,Montpellier,St Etienne,0,9.5,2.75,0,2,3,11,1.75,0,0,13.25,3.75,2,1,1,15.5,1.75,0,1.25,12839,21837,12840.25
44,F1,12/9/2015,Nice,Guingamp,0,10.25,4.25,1,2,1,11.5,2,0.25,1.75,12,4,1,0,3,13.75,2,0,0.5,19192,20667,19192.5
45,F1,12/9/2015,Toulouse,Reims,1,10.75,3.5,1,3,2,11.5,1.5,0.5,1,11.25,5.5,3,0,1,11.75,2.5,0,1.75,16318,18957,16319.75
46,F1,12/9/2015,Troyes,Caen,0,9.25,3.25,0,4,1,11.75,1.5,0.25,0.75,10.75,4.75,2,0,2,13.25,1.25,0.25,0.75,12470,20546,12470.75
47,F1,13/09/15,Ajaccio GFCO,Monaco,0,8.5,3,0,3,3,12.75,3,0,0,11.25,3.5,1,2,1,14.25,1.75,0,0.75,3719,22552,3719.75
48,F1,13/09/15,Marseille,Bastia,2,15,5.25,1,2,3,11.25,2.25,0.25,1.5,8.5,2.75,2,1,1,12.5,1.25,2.25,1.75,44121,19651,44122.75
49,F1,13/09/15,Nantes,Rennes,0,8.75,3,2,2,1,14.75,2.5,0.25,0.5,8.75,3.25,3,0,1,13.75,2.25,0,1.75,24519,19617,24520.75
50,F1,18/09/15,Rennes,Lille,1,10.2,3.8,4,3,1,13.2,2.4,0,1.8,11.6,3.4,1,3,1,16.6,2.8,0,0.2,23182,19801,23182.2
51,F1,19/09/15,Angers,Troyes,2,9.4,3.4,2,5,1,13.8,2,0,1.2,10.2,3.8,0,3,2,10.8,2,0.2,0.8,13502,22089,13502.8
52,F1,19/09/15,Bastia,Nice,0,8,2.6,2,3,2,11.8,1.2,0.6,1.6,11.4,3.6,1,2,2,11.2,1.8,0.2,1.4,11559,21379,11560.4
53,F1,19/09/15,Caen,Montpellier,2,11.6,5.4,3,3,2,12.4,1,0.4,1.2,10.8,3.8,0,1,4,12,2,0,0.2,17661,19259,17661.2
54,F1,19/09/15,Guingamp,Ajaccio GFCO,2,11.2,3.8,2,3,3,15.6,2.2,0,0.6,11.6,3.2,0,1,4,13.4,3,0,0,14804,20723,14804
55,F1,19/09/15,Reims,Paris SG,1,10.8,5.2,3,3,1,12.4,2.4,0,1.8,14.4,5.2,4,1,0,11.2,1.4,1,1.8,13483,27503,13484.8
56,F1,20/09/15,Bordeaux,Toulouse,1,14.4,3.6,1,3,1,14.2,2.6,0.2,1.2,11.6,4,1,2,2,11.2,1.6,1.2,1.2,25089,19847,25090.2
57,F1,20/09/15,Marseille,Lyon,1,14.4,5.6,2,2,3,11.2,2.2,0.2,2,14.6,4.8,2,2,1,14.4,1,0,1.2,44121,22514,44122.2
58,F1,20/09/15,Monaco,Lorient,0,11.6,4.4,2,4,1,14.4,2,0,0.8,11.8,4.2,1,2,2,11,1.4,0.2,1,7843,18902,7844
59,F1,20/09/15,St Etienne,Nantes,2,13,3.6,3,4,1,16.4,1.8,0,1.4,9,3,2,1,2,14.6,2.4,1.4,0.4,30328,19987,30328.4
60,F1,22/09/15,Angers,Reims,1,10.5,3.5,3,5,1,14,2,0.166666667,1.166666667,10.16666667,4.833333333,3,2,1,11.83333333,2.333333333,0,1.666666667,13502,18957,13503.66667
61,F1,22/09/15,Paris SG,Guingamp,2,14.83333333,5.333333333,4,5,0,10.83333333,1.5,0.166666667,1.666666667,11.66666667,3.833333333,3,0,3,14,2.166666667,0,0.833333333,46107,20667,46107.83333
62,F1,23/09/15,Ajaccio GFCO,Rennes,1,10.83333333,3.166666667,0,4,5,13.83333333,3.166666667,0.166666667,0.166666667,10,3.666666667,4,1,1,13.83333333,2.5,0,1.666666667,3719,19617,3720.666667
63,F1,23/09/15,Lorient,Caen,2,12.5,4.666666667,2,4,2,11.66666667,1.833333333,0.166666667,1.333333333,12.33333333,5.5,4,0,2,12.83333333,1.166666667,1.166666667,1.333333333,11993,20546,11994.33333
64,F1,23/09/15,Lyon,Bastia,2,14.16666667,4.833333333,2,5,1,14,1,0,1.166666667,8,2.5,2,1,3,11.66666667,1.166666667,2.166666667,1.5,40279,19651,40280.5
65,F1,23/09/15,Nice,Bordeaux,2,11,4,2,3,2,11.66666667,1.833333333,0.166666667,1.666666667,14.83333333,3.833333333,1,4,1,14.83333333,2.5,1,1.166666667,19192,19286,19193.16667
66,F1,23/09/15,Toulouse,Marseille,1,11.16666667,4.166666667,1,5,2,11.16666667,1.666666667,0.5,1.166666667,14.33333333,5.333333333,2,1,3,11.83333333,2.5,1.166666667,1.833333333,16318,24394,16319.83333
