,Div,Date,Time,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,HATT,HMIL,HDEF,AATT,AMIL,ADEF
30,F1,30/08/2019,19:45,Metz,Paris SG,0.0,9.666666666666668,5.000000000000001,1,2,1,11.999999999999998,1.3333333333333333,0.0,1.3333333333333333,14.0,6.0,2,0,1,14.666666666666664,2.333333333333333,0.0,2.6666666666666665,73,72,72,88,84,83
31,F1,31/08/2019,16:30,Lyon,Bordeaux,1.0,12.666666666666668,5.333333333333333,2,2,1,11.666666666666664,2.333333333333333,0.3333333333333333,3.0,10.333333333333334,3.333333333333333,1,1,1,16.0,1.6666666666666663,0.0,1.3333333333333333,79,78,77,75,75,76
32,F1,31/08/2019,19:00,Angers,Dijon,2.0,13.0,4.0,2,1,1,13.333333333333336,1.6666666666666663,0.0,2.0,14.333333333333336,4.333333333333333,0,0,3,11.333333333333336,0.0,0.0,0.3333333333333333,74,75,74,72,72,70
33,F1,31/08/2019,19:00,Nantes,Montpellier,2.0,17.0,5.0,1,3,1,15.333333333333332,1.6666666666666663,0.0,1.0,17.666666666666668,4.666666666666667,1,1,1,18.333333333333336,2.0,0.0,0.6666666666666666,75,73,74,78,74,75
34,F1,31/08/2019,19:00,Nimes,Brest,2.0,12.333333333333336,3.333333333333333,0,2,2,15.333333333333332,2.0,0.6666666666666666,1.0,10.999999999999998,4.333333333333333,1,2,0,12.333333333333332,1.0,0.0,1.0,72,70,72,72,72,72
35,F1,31/08/2019,19:00,Toulouse,Amiens,2.0,11.333333333333332,3.333333333333333,1,2,1,12.666666666666668,1.0,0.0,0.6666666666666666,6.333333333333332,2.0,1,0,2,10.0,2.0,1.3333333333333333,1.0,72,74,71,73,73,71
36,F1,01/09/2019,14:00,Reims,Lille,2.0,9.666666666666666,2.6666666666666665,1,3,1,13.333333333333332,1.0,0.0,0.6666666666666666,13.0,3.666666666666667,2,0,1,9.666666666666666,1.0,1.0,1.6666666666666663,71,73,73,77,77,76
37,F1,01/09/2019,14:00,Rennes,Nice,0.0,9.0,3.666666666666666,3,2,0,15.666666666666664,2.0,0.3333333333333333,1.6666666666666663,11.666666666666668,4.0,2,0,1,9.666666666666668,3.0000000000000004,1.0,1.6666666666666663,76,77,76,74,76,74
38,F1,01/09/2019,16:00,Strasbourg,Monaco,1.0,12.0,2.0,0,2,1,12.666666666666664,1.3333333333333333,0.3333333333333333,0.3333333333333333,11.666666666666668,4.333333333333334,0,1,2,10.333333333333334,2.0,1.6666666666666663,0.6666666666666666,75,74,74,80,78,76
39,F1,01/09/2019,20:00,Marseille,St Etienne,2.0,10.333333333333334,3.0,1,2,1,16.333333333333332,1.6666666666666663,0.0,0.6666666666666666,13.333333333333332,4.333333333333333,1,1,1,12.666666666666664,1.0,0.0,1.0,80,78,77,73,76,74
40,F1,13/09/2019,18:00,Lille,Angers,2.0,12.5,3.5,2,2,2,11.0,1.25,0.5,1.25,12.75,3.75,3,0,1,12.75,1.25,0.0,2.0,77,77,76,74,75,74
41,F1,13/09/2019,19:45,Amiens,Lyon,1.0,7.25,1.75,1,2,3,9.5,1.75,0.5,0.75,12.0,4.75,2,1,1,11.75,2.75,1.25,2.5,73,73,71,79,78,77
42,F1,14/09/2019,16:30,Paris SG,Strasbourg,2.0,13.0,5.5,3,2,1,14.25,1.75,0.0,2.5,12.5,2.75,0,3,1,13.0,2.0,0.25,0.75,88,84,83,75,74,74
43,F1,14/09/2019,19:00,Bordeaux,Metz,2.0,12.25,4.0,1,4,1,15.5,2.0,0.0,1.25,9.0,4.25,1,1,2,11.75,1.25,0.0,1.0,75,75,76,73,72,72
44,F1,14/09/2019,19:00,Brest,Rennes,1.0,10.0,4.0,1,3,1,13.5,1.75,0.0,0.75,9.5,3.5,3,0,1,15.0,2.0,1.0,1.5,72,72,72,76,77,76
45,F1,14/09/2019,19:00,Dijon,Nimes,1.0,12.0,3.75,0,2,4,12.75,0.5,0.0,0.25,14.5,4.5,1,1,2,14.25,2.25,0.5,1.5,72,72,70,72,70,72
