,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,HATT,HMIL,HDEF,AATT,AMIL,ADEF,HB,AB,HomeTeamStreak_AtHome,HomeTeamStreak_AtAway,AwayTeamStreak_AtHome,AwayTeamStreak_AtAway,Home attendance,Away attendance
0,F1,04/08/17,Monaco,Toulouse,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,80,81,78,73,74,74,180,34,0,0,0,0,9243,21412
1,F1,05/08/17,Lyon,Strasbourg,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,80,78,77,70,73,71,240,30,0,0,0,0,46005,20496
2,F1,05/08/17,Metz,Guingamp,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,69,73,72,78,74,73,33,26,0,0,0,0,14844,22165
3,F1,05/08/17,Montpellier,Caen,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,73,74,74,73,73,73,43,32,0,0,0,0,13458,20701
4,F1,05/08/17,Paris SG,Amiens,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,86,82,82,75,73,72,540,25,0,0,0,0,46930,22086
5,F1,05/08/17,St Etienne,Nice,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,75,75,76,78,77,76,68,45,0,0,0,0,28142,22201
6,F1,05/08/17,Troyes,Rennes,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,73,70,68,76,74,74,26,50,0,0,0,0,11723,21642
7,F1,06/08/17,Angers,Bordeaux,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,75,73,73,76,75,76,28,70,0,0,0,0,11065,22009
8,F1,06/08/17,Lille,Nantes,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,71,74,72,74,72,76,90,45,0,0,0,0,33200,22181
9,F1,06/08/17,Marseille,Dijon,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,78,79,77,72,73,70,170,32,0,0,0,0,47314,21658
10,F1,11/08/17,Nice,Troyes,0.0,6.0,2.0,0,0,1,8.0,1.0,0.0,0.0,11.0,4.0,0,1,0,13.0,1.0,0.0,1.0,78,77,76,73,70,68,45,26,0,-1,0,0,22876,21602
11,F1,11/08/17,Rennes,Lyon,0.0,16.0,4.0,0,1,0,8.0,0.0,0.0,1.0,12.0,7.0,1,0,0,11.0,2.0,0.0,4.0,76,74,74,80,78,77,50,240,0,0,1,0,23111,24477
12,F1,12/08/17,Amiens,Angers,0.0,7.0,1.0,0,0,1,12.0,1.0,0.0,0.0,9.0,5.0,0,1,0,16.0,3.0,0.0,2.0,75,73,72,75,73,73,25,28,0,-1,0,0,9489,21306
13,F1,12/08/17,Bordeaux,Metz,2.0,7.0,4.0,0,1,0,15.0,2.0,0.0,2.0,6.0,4.0,0,0,1,9.0,1.0,0.0,1.0,76,75,76,69,73,72,70,33,0,0,-1,0,26048,22504
14,F1,12/08/17,Caen,St Etienne,0.0,8.0,1.0,0,0,1,11.0,1.0,0.0,0.0,8.0,3.0,1,0,0,11.0,2.0,0.0,1.0,73,73,73,75,75,76,32,68,0,-1,1,0,17187,22820
15,F1,12/08/17,Nantes,Marseille,0.0,9.0,4.0,0,0,1,17.0,3.0,0.0,0.0,18.0,5.0,1,0,0,7.0,1.0,0.0,3.0,74,72,76,78,79,77,45,170,0,-1,1,0,24559,26919
16,F1,12/08/17,Toulouse,Montpellier,2.0,6.0,3.0,0,0,1,23.0,3.0,0.0,2.0,10.0,2.0,1,0,0,9.0,2.0,0.0,1.0,73,74,74,73,74,74,34,43,0,-1,1,0,16929,20958
17,F1,13/08/17,Dijon,Monaco,0.0,12.0,1.0,0,0,1,10.0,0.0,0.0,0.0,17.0,7.0,1,0,0,12.0,1.0,0.0,3.0,72,73,70,80,81,78,32,180,0,-1,1,0,12228,23813
18,F1,13/08/17,Guingamp,Paris SG,0.0,13.0,5.0,1,0,0,13.0,2.0,0.0,3.0,16.0,5.0,1,0,0,9.0,0.0,0.0,2.0,78,74,73,86,82,82,26,540,0,1,1,0,14502,29502
19,F1,13/08/17,Strasbourg,Lille,2.0,7.0,1.0,0,0,1,16.0,3.0,0.0,0.0,14.0,5.0,1,0,0,11.0,2.0,0.0,3.0,70,73,71,71,74,72,30,90,0,-1,1,0,24064,21878
20,F1,18/08/17,Metz,Monaco,0.0,6.0,2.5,0,0,2,9.5,1.5,0.0,0.5,16.5,6.5,2,0,0,12.0,1.5,0.0,3.5,69,73,72,80,81,78,33,180,-1,-1,1,1,14844,23813
21,F1,19/08/17,Lyon,Bordeaux,1.0,14.5,7.5,2,0,0,13.5,2.5,0.0,3.0,9.5,4.5,1,1,0,16.0,1.5,0.0,2.0,80,78,77,76,75,76,240,70,1,1,1,0,46005,22009
22,F1,19/08/17,Montpellier,Strasbourg,1.0,12.0,1.5,1,0,1,10.5,2.5,0.0,0.5,14.5,5.0,1,0,1,12.0,2.0,0.0,1.5,73,74,74,70,73,71,43,30,1,-1,1,-1,13458,20496
23,F1,19/08/17,Nice,Guingamp,2.0,13.0,4.0,0,0,2,9.5,1.5,0.0,0.5,8.5,2.5,1,0,1,11.0,2.0,0.0,1.5,78,77,76,78,74,73,45,26,-1,-1,-1,1,22876,22165
24,F1,19/08/17,Rennes,Dijon,1.0,16.5,4.5,0,1,1,8.5,0.5,0.0,1.0,13.5,2.0,0,0,2,10.0,0.0,0.0,0.5,76,74,74,72,73,70,50,32,-1,0,-1,-1,23111,21658
25,F1,19/08/17,St Etienne,Amiens,2.0,7.0,3.5,2,0,0,13.0,1.5,0.0,1.0,8.5,1.0,0,0,2,10.0,2.0,0.0,0.0,75,75,76,75,73,72,68,25,1,1,-1,-1,28142,22086
