,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,DateTime,HRP,ARP
0,F1,10/08/12,Montpellier,Toulouse,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2012-08-10,HautDeTableau,HautDeTableau
1,F1,11/08/12,Evian Thonon Gaillard,Bordeaux,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2012-08-11,HautDeTableau,HautDeTableau
2,F1,11/08/12,Nancy,Brest,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2012-08-11,HautDeTableau,HautDeTableau
3,F1,11/08/12,Nice,Ajaccio,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2012-08-11,MilieuDeTableau,HautDeTableau
4,F1,11/08/12,Paris SG,Lorient,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2012-08-11,MilieuDeTableau,MilieuDeTableau
5,F1,11/08/12,Rennes,Lyon,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2012-08-11,MilieuDeTableau,MilieuDeTableau
6,F1,11/08/12,Sochaux,Bastia,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2012-08-11,BasDeTableau,MilieuDeTableau
7,F1,11/08/12,St Etienne,Lille,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2012-08-11,BasDeTableau,BasDeTableau
8,F1,11/08/12,Troyes,Valenciennes,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2012-08-11,BasDeTableau,BasDeTableau
9,F1,12/08/12,Reims,Marseille,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2012-08-12,BasDeTableau,BasDeTableau
10,F1,17/08/12,Lille,Nancy,1.0,10.0,4.0,1,0,0,12.0,2.0,0.0,2.0,11.0,5.0,1,0,0,23.0,1.0,0.0,1.0,2012-08-17,HautDeTableau,MilieuDeTableau
11,F1,18/08/12,Bastia,Reims,2.0,10.0,7.0,1,0,0,24.0,2.0,0.0,3.0,14.0,4.0,0,0,1,13.0,2.0,0.0,0.0,2012-08-18,HautDeTableau,BasDeTableau
12,F1,18/08/12,Brest,Evian Thonon Gaillard,2.0,2.0,1.0,0,0,1,22.0,2.0,0.0,0.0,9.0,3.0,0,0,1,11.0,3.0,0.0,2.0,2012-08-18,BasDeTableau,HautDeTableau
13,F1,18/08/12,Lorient,Montpellier,2.0,12.0,6.0,0,1,0,12.0,1.0,1.0,2.0,9.0,2.0,0,1,0,18.0,1.0,1.0,1.0,2012-08-18,HautDeTableau,MilieuDeTableau
14,F1,18/08/12,Lyon,Troyes,2.0,9.0,2.0,1,0,0,16.0,5.0,0.0,1.0,12.0,3.0,0,0,1,9.0,2.0,0.0,0.0,2012-08-18,MilieuDeTableau,BasDeTableau
15,F1,18/08/12,Toulouse,St Etienne,2.0,12.0,3.0,0,1,0,25.0,1.0,2.0,1.0,9.0,4.0,0,0,1,23.0,2.0,0.0,1.0,2012-08-18,MilieuDeTableau,BasDeTableau
16,F1,18/08/12,Valenciennes,Nice,1.0,5.0,1.0,1,0,0,8.0,0.0,0.0,1.0,8.0,2.0,0,0,1,15.0,2.0,0.0,0.0,2012-08-18,MilieuDeTableau,BasDeTableau
17,F1,19/08/12,Ajaccio,Paris SG,1.0,3.0,2.0,1,0,0,18.0,4.0,1.0,1.0,20.0,9.0,0,1,0,11.0,1.0,0.0,2.0,2012-08-19,MilieuDeTableau,HautDeTableau
18,F1,19/08/12,Bordeaux,Rennes,2.0,12.0,9.0,1,0,0,11.0,3.0,0.0,3.0,6.0,1.0,0,0,1,9.0,0.0,1.0,0.0,2012-08-19,HautDeTableau,BasDeTableau
19,F1,19/08/12,Marseille,Sochaux,2.0,17.0,8.0,1,0,0,8.0,1.0,0.0,1.0,10.0,5.0,0,0,1,13.0,1.0,0.0,2.0,2012-08-19,MilieuDeTableau,HautDeTableau
20,F1,24/08/12,Evian Thonon Gaillard,Lyon,1.0,8.5,3.0,0,0,2,13.0,3.0,0.0,1.0,16.5,6.0,2,0,0,16.0,3.5,0.0,2.5,2012-08-24,MilieuDeTableau,HautDeTableau
21,F1,25/08/12,Nancy,Toulouse,0.0,8.0,3.0,1,1,0,20.5,1.5,0.5,1.0,10.5,5.0,1,1,0,19.5,2.0,2.0,1.5,2012-08-25,MilieuDeTableau,HautDeTableau
22,F1,25/08/12,Nice,Lille,1.0,9.5,3.0,0,1,1,15.5,2.5,0.0,0.0,11.0,4.0,1,1,0,15.0,2.0,0.0,1.5,2012-08-25,BasDeTableau,HautDeTableau
23,F1,25/08/12,Reims,Sochaux,2.0,8.5,3.0,0,0,2,13.5,2.0,0.0,0.5,7.5,3.5,0,0,2,14.0,0.5,0.0,1.0,2012-08-25,BasDeTableau,MilieuDeTableau
24,F1,25/08/12,Rennes,Bastia,2.0,8.5,2.0,0,0,2,11.0,0.5,0.5,0.0,9.5,5.0,2,0,0,18.5,2.0,0.0,2.5,2012-08-25,BasDeTableau,HautDeTableau
25,F1,25/08/12,Troyes,Lorient,1.0,9.0,2.5,0,0,2,10.5,1.0,0.5,0.5,12.0,4.5,1,1,0,10.0,1.0,1.0,2.0,2012-08-25,BasDeTableau,HautDeTableau
26,F1,25/08/12,Valenciennes,Ajaccio,2.0,6.5,3.5,1,1,0,9.0,0.5,0.0,0.5,6.5,2.0,1,1,0,12.5,3.5,1.0,0.5,2012-08-25,BasDeTableau,BasDeTableau
27,F1,26/08/12,Montpellier,Marseille,0.0,7.5,3.0,0,1,1,17.5,2.0,0.5,1.0,20.0,7.0,2,0,0,12.0,0.5,0.0,1.5,2012-08-26,MilieuDeTableau,HautDeTableau
28,F1,26/08/12,Paris SG,Bordeaux,1.0,13.5,6.0,0,2,0,10.0,1.5,0.5,1.0,11.0,6.5,2,0,0,11.0,2.0,0.0,2.0,2012-08-26,MilieuDeTableau,HautDeTableau
