,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,DateTime,HRP,ARP
28,F1,24/08/08,Bordeaux,Nantes,2.0,20.0,8.5,1,0,1,11.0,2.5,0.0,1.0,14.0,4.0,0,1,1,23.0,1.5,0.0,1.0,2008-08-24,MilieuDeTableau,BasDeTableau
29,F1,24/08/08,Rennes,Lille,2.0,16.0,7.5,0,1,1,20.0,2.5,0.0,2.0,11.0,2.5,0,1,1,17.5,2.5,1.0,0.5,2008-08-24,HautDeTableau,BasDeTableau
30,F1,30/08/08,Caen,Paris SG,0.0,14.333333333333336,2.6666666666666665,1,1,1,22.0,3.0,0.0,1.6666666666666663,9.333333333333334,3.0,1,1,1,15.333333333333336,2.6666666666666665,0.0,0.6666666666666666,2008-08-30,HautDeTableau,MilieuDeTableau
31,F1,30/08/08,Grenoble,Monaco,2.0,8.0,2.6666666666666665,2,0,1,13.666666666666668,1.3333333333333333,0.0,1.0,10.666666666666668,3.666666666666666,1,2,0,18.33333333333333,2.333333333333333,0.0,1.0,2008-08-30,MilieuDeTableau,MilieuDeTableau
32,F1,30/08/08,Lorient,Auxerre,0.0,11.333333333333336,2.0,1,1,1,16.0,1.6666666666666663,0.0,0.6666666666666666,9.666666666666668,3.333333333333333,1,0,2,13.666666666666664,1.0,0.0,0.6666666666666666,2008-08-30,MilieuDeTableau,MilieuDeTableau
33,F1,30/08/08,Marseille,Sochaux,2.0,17.666666666666664,7.0,2,1,0,15.666666666666664,1.3333333333333333,0.3333333333333333,3.0,17.666666666666668,4.666666666666667,0,1,2,15.333333333333332,2.333333333333333,0.0,1.0,2008-08-30,HautDeTableau,MilieuDeTableau
34,F1,30/08/08,Nancy,Le Havre,2.0,9.666666666666666,2.666666666666667,0,2,1,17.333333333333332,2.0,0.3333333333333333,0.3333333333333333,11.666666666666664,2.6666666666666665,1,0,2,19.666666666666664,1.0,0.0,0.6666666666666666,2008-08-30,BasDeTableau,MilieuDeTableau
35,F1,30/08/08,Nantes,Le Mans,0.0,11.666666666666664,3.0,0,1,2,19.666666666666668,2.0,0.0,0.6666666666666666,7.000000000000001,3.0,2,0,1,20.0,2.0,0.0,1.3333333333333333,2008-08-30,BasDeTableau,HautDeTableau
36,F1,30/08/08,Nice,Valenciennes,2.0,10.666666666666668,3.0,2,0,1,23.0,1.6666666666666663,0.0,1.0,15.0,5.333333333333334,2,0,1,18.0,2.333333333333333,0.0,1.6666666666666663,2008-08-30,MilieuDeTableau,HautDeTableau
37,F1,31/08/08,Lille,Bordeaux,2.0,11.0,3.6666666666666665,0,1,2,17.333333333333332,2.333333333333333,0.3333333333333333,0.6666666666666666,20.666666666666664,9.0,2,0,1,11.666666666666668,1.6666666666666663,0.0,1.3333333333333333,2008-08-31,BasDeTableau,HautDeTableau
38,F1,31/08/08,St Etienne,Lyon,0.0,18.666666666666664,4.666666666666667,1,0,2,15.0,1.6666666666666663,0.0,0.6666666666666666,13.0,5.0,2,1,0,16.0,2.0,0.0,1.6666666666666663,2008-08-31,MilieuDeTableau,HautDeTableau
39,F1,31/08/08,Toulouse,Rennes,1.0,10.333333333333334,3.6666666666666665,1,1,1,17.333333333333332,2.0,0.0,0.6666666666666666,17.333333333333336,8.0,1,1,1,18.666666666666668,3.0,0.0,2.0,2008-08-31,MilieuDeTableau,HautDeTableau
40,F1,13/09/08,Auxerre,Nancy,1.0,9.5,3.75,2,0,2,15.25,1.5,0.0,1.0,12.5,3.0,1,2,1,17.0,1.75,0.25,0.75,2008-09-13,MilieuDeTableau,BasDeTableau
41,F1,13/09/08,Bordeaux,Marseille,1.0,18.25,8.0,2,0,2,14.25,2.0,0.0,1.25,16.75,6.0,3,1,0,15.5,1.5,1.0,2.75,2008-09-13,HautDeTableau,HautDeTableau
42,F1,13/09/08,Le Mans,Toulouse,0.0,8.25,3.25,3,0,1,19.75,1.75,0.0,2.0,9.5,3.5,1,2,1,16.0,2.0,0.0,0.5,2008-09-13,HautDeTableau,BasDeTableau
43,F1,13/09/08,Lyon,Nice,2.0,13.5,6.5,3,1,0,16.5,2.25,0.0,1.5,11.25,4.0,3,0,1,21.5,2.0,0.0,1.25,2008-09-13,HautDeTableau,HautDeTableau
44,F1,13/09/08,Monaco,Lorient,2.0,10.0,2.75,1,2,1,17.5,2.0,0.0,0.75,12.0,2.75,1,1,2,15.25,1.75,0.0,0.5,2008-09-13,BasDeTableau,BasDeTableau
45,F1,13/09/08,Rennes,Le Havre,1.0,16.0,7.0,1,2,1,17.75,2.75,0.0,1.5,11.75,3.0,1,0,3,18.25,1.0,0.0,0.75,2008-09-13,HautDeTableau,BasDeTableau
