,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,DateTime,HRP,ARP
0,F1,08/08/14,Reims,Paris SG,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2014-08-08,HautDeTableau,HautDeTableau
1,F1,09/08/14,Bastia,Marseille,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2014-08-09,HautDeTableau,HautDeTableau
2,F1,09/08/14,Evian Thonon Gaillard,Caen,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2014-08-09,HautDeTableau,HautDeTableau
3,F1,09/08/14,Guingamp,St Etienne,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2014-08-09,MilieuDeTableau,HautDeTableau
4,F1,09/08/14,Lille,Metz,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2014-08-09,MilieuDeTableau,MilieuDeTableau
5,F1,09/08/14,Montpellier,Bordeaux,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2014-08-09,MilieuDeTableau,MilieuDeTableau
6,F1,09/08/14,Nantes,Lens,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2014-08-09,BasDeTableau,MilieuDeTableau
7,F1,09/08/14,Nice,Toulouse,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2014-08-09,BasDeTableau,BasDeTableau
8,F1,10/08/14,Lyon,Rennes,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2014-08-10,BasDeTableau,BasDeTableau
9,F1,10/08/14,Monaco,Lorient,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2014-08-10,BasDeTableau,BasDeTableau
10,F1,15/08/14,Caen,Lille,0.0,12.0,7.0,1,0,0,9.0,1.0,0.0,3.0,14.0,3.0,0,1,0,9.0,0.0,0.0,0.0,2014-08-15,HautDeTableau,BasDeTableau
11,F1,16/08/14,Lens,Guingamp,0.0,5.0,2.0,0,0,1,7.0,1.0,0.0,0.0,6.0,3.0,0,0,1,9.0,3.0,0.0,0.0,2014-08-16,BasDeTableau,BasDeTableau
12,F1,16/08/14,Lorient,Nice,1.0,9.0,3.0,1,0,0,19.0,2.0,0.0,2.0,22.0,8.0,1,0,0,10.0,0.0,0.0,3.0,2014-08-16,HautDeTableau,HautDeTableau
13,F1,16/08/14,Metz,Nantes,1.0,2.0,1.0,0,1,0,23.0,1.0,0.0,0.0,14.0,4.0,1,0,0,8.0,0.0,0.0,1.0,2014-08-16,BasDeTableau,MilieuDeTableau
14,F1,16/08/14,Paris SG,Bastia,2.0,16.0,6.0,0,1,0,16.0,2.0,0.0,2.0,13.0,4.0,0,1,0,25.0,3.0,0.0,3.0,2014-08-16,MilieuDeTableau,HautDeTableau
15,F1,16/08/14,Rennes,Evian Thonon Gaillard,2.0,7.0,1.0,0,0,1,13.0,1.0,0.0,0.0,10.0,2.0,0,0,1,12.0,1.0,0.0,0.0,2014-08-16,BasDeTableau,BasDeTableau
16,F1,16/08/14,Toulouse,Lyon,2.0,11.0,3.0,0,0,1,9.0,1.0,0.0,2.0,19.0,6.0,1,0,0,19.0,2.0,0.0,2.0,2014-08-16,MilieuDeTableau,HautDeTableau
17,F1,17/08/14,Bordeaux,Monaco,2.0,7.0,3.0,1,0,0,21.0,2.0,0.0,1.0,12.0,7.0,0,0,1,11.0,3.0,1.0,1.0,2014-08-17,MilieuDeTableau,MilieuDeTableau
18,F1,17/08/14,Marseille,Montpellier,0.0,9.0,4.0,0,1,0,21.0,1.0,0.0,3.0,15.0,3.0,0,0,1,15.0,2.0,0.0,0.0,2014-08-17,HautDeTableau,BasDeTableau
19,F1,17/08/14,St Etienne,Reims,2.0,7.0,2.0,1,0,0,19.0,4.0,0.0,2.0,9.0,3.0,0,1,0,15.0,0.0,0.0,2.0,2014-08-17,HautDeTableau,MilieuDeTableau
