,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG
0,F1,04/08/07,Bordeaux,Lens,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1,F1,04/08/07,Caen,Nice,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2,F1,04/08/07,Lille,Lorient,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
3,F1,04/08/07,Monaco,St Etienne,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
4,F1,04/08/07,Paris SG,Sochaux,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
5,F1,04/08/07,Rennes,Nancy,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
6,F1,04/08/07,Strasbourg,Marseille,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
7,F1,04/08/07,Valenciennes,Toulouse,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
8,F1,05/08/07,Le Mans,Metz,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
9,F1,05/08/07,Lyon,Auxerre,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
10,F1,11/08/07,Auxerre,Bordeaux,0.0,9.0,3.0,0,0,1,15.0,0.0,0.0,0.0,13.0,4.0,1,0,0,21.0,3.0,0.0,1.0
11,F1,11/08/07,Lorient,Monaco,2.0,5.0,3.0,0,1,0,19.0,1.0,0.0,0.0,16.0,5.0,0,1,0,3.0,3.0,0.0,1.0
12,F1,11/08/07,Marseille,Rennes,1.0,12.0,4.0,0,1,0,11.0,4.0,0.0,0.0,14.0,4.0,0,0,1,15.0,1.0,0.0,0.0
13,F1,11/08/07,Nancy,Caen,2.0,9.0,6.0,1,0,0,12.0,0.0,0.0,2.0,16.0,6.0,1,0,0,17.0,1.0,0.0,1.0
14,F1,11/08/07,Nice,Strasbourg,2.0,14.0,4.0,0,0,1,15.0,1.0,0.0,0.0,12.0,3.0,0,1,0,17.0,2.0,0.0,0.0
15,F1,11/08/07,Sochaux,Le Mans,0.0,8.0,5.0,0,1,0,17.0,1.0,0.0,0.0,10.0,2.0,1,0,0,16.0,2.0,0.0,1.0
16,F1,11/08/07,St Etienne,Valenciennes,2.0,19.0,6.0,0,1,0,3.0,3.0,0.0,1.0,9.0,5.0,1,0,0,0.0,0.0,0.0,3.0
17,F1,11/08/07,Toulouse,Lyon,2.0,7.0,3.0,0,0,1,0.0,0.0,0.0,1.0,16.0,5.0,1,0,0,16.0,0.0,0.0,2.0
18,F1,12/08/07,Lens,Paris SG,1.0,4.0,2.0,0,0,1,19.0,2.0,1.0,0.0,11.0,10.0,0,1,0,13.0,2.0,0.0,0.0
19,F1,12/08/07,Metz,Lille,0.0,6.0,0.0,0,0,1,13.0,2.0,0.0,0.0,6.0,2.0,0,1,0,26.0,1.0,0.0,0.0
20,F1,15/08/07,Bordeaux,Le Mans,0.0,12.5,5.0,2,0,0,19.5,2.5,0.0,1.5,15.5,6.5,2,0,0,14.5,1.5,0.0,2.0
21,F1,15/08/07,Lille,Sochaux,1.0,13.0,5.0,1,1,0,22.0,1.0,0.0,1.0,12.0,4.5,0,1,1,15.5,1.0,0.0,0.5
22,F1,15/08/07,Monaco,Metz,2.0,13.0,4.0,0,1,1,10.0,3.0,0.0,1.0,7.5,1.5,0,0,2,15.0,1.5,0.0,0.5
23,F1,15/08/07,Paris SG,Lorient,0.0,12.5,6.0,0,2,0,13.0,1.5,0.0,0.0,9.0,4.0,1,1,0,16.5,1.5,0.0,1.0
24,F1,15/08/07,Rennes,St Etienne,2.0,12.5,3.0,0,1,1,12.5,0.5,0.0,0.0,15.5,5.0,1,1,0,11.0,2.0,0.0,2.0
25,F1,15/08/07,Strasbourg,Auxerre,2.0,10.0,3.0,0,1,1,19.0,2.5,0.5,0.0,7.5,2.5,0,0,2,19.0,0.0,0.0,0.0
