,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG
0,F1,09/08/08,Auxerre,Nantes,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1,F1,09/08/08,Bordeaux,Caen,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2,F1,09/08/08,Le Havre,Nice,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
3,F1,09/08/08,Le Mans,Lorient,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
4,F1,09/08/08,Monaco,Paris SG,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
5,F1,09/08/08,Nancy,Lille,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
6,F1,09/08/08,Rennes,Marseille,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
7,F1,09/08/08,Sochaux,Grenoble,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
8,F1,09/08/08,Valenciennes,St Etienne,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
9,F1,10/08/08,Lyon,Toulouse,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
10,F1,16/08/08,Caen,Valenciennes,2.0,8.0,1.0,0,0,1,22.0,4.0,0.0,1.0,11.0,4.0,1,0,0,19.0,3.0,0.0,1.0
11,F1,16/08/08,Lille,Le Mans,0.0,11.0,4.0,0,1,0,16.0,2.0,1.0,0.0,10.0,2.0,0,0,1,22.0,2.0,0.0,0.0
12,F1,16/08/08,Nantes,Monaco,1.0,15.0,4.0,0,0,1,18.0,0.0,0.0,1.0,10.0,4.0,1,0,0,10.0,1.0,0.0,1.0
13,F1,16/08/08,Nice,Nancy,2.0,15.0,3.0,0,0,1,21.0,2.0,0.0,0.0,8.0,0.0,0,1,0,16.0,3.0,0.0,0.0
14,F1,16/08/08,Paris SG,Bordeaux,2.0,7.0,3.0,0,0,1,15.0,2.0,0.0,0.0,24.0,11.0,1,0,0,10.0,3.0,0.0,2.0
15,F1,16/08/08,St Etienne,Sochaux,2.0,26.0,7.0,0,0,1,14.0,1.0,0.0,0.0,18.0,4.0,0,0,1,16.0,3.0,0.0,1.0
16,F1,16/08/08,Toulouse,Le Havre,2.0,8.0,2.0,0,0,1,13.0,1.0,0.0,0.0,14.0,4.0,1,0,0,24.0,1.0,0.0,1.0
17,F1,17/08/08,Grenoble,Rennes,2.0,7.0,2.0,1,0,0,13.0,2.0,0.0,2.0,14.0,10.0,0,1,0,20.0,2.0,0.0,4.0
18,F1,17/08/08,Lorient,Lyon,1.0,12.0,1.0,1,0,0,16.0,2.0,0.0,1.0,10.0,5.0,1,0,0,9.0,1.0,0.0,3.0
19,F1,17/08/08,Marseille,Auxerre,2.0,19.0,10.0,0,1,0,11.0,1.0,0.0,4.0,10.0,5.0,1,0,0,19.0,2.0,0.0,2.0
20,F1,23/08/08,Le Havre,Marseille,0.0,12.0,2.5,1,0,1,21.5,1.5,0.0,1.0,18.5,7.5,1,1,0,10.5,1.0,0.0,4.0
21,F1,23/08/08,Le Mans,St Etienne,2.0,8.0,3.0,1,0,1,21.5,2.5,0.0,1.5,22.0,6.0,1,0,1,17.0,1.5,0.0,1.0
22,F1,23/08/08,Lyon,Grenoble,2.0,11.5,3.5,1,1,0,16.0,2.0,0.0,1.5,7.5,2.5,2,0,0,13.5,1.5,0.0,1.5
23,F1,23/08/08,Monaco,Caen,1.0,10.0,3.5,1,1,0,16.5,2.5,0.0,1.0,14.0,2.5,1,0,1,20.5,3.0,0.0,2.0
24,F1,23/08/08,Nancy,Toulouse,1.0,8.5,1.5,0,1,1,21.0,3.0,0.0,0.5,12.0,5.0,1,0,1,14.5,2.0,0.0,1.0
25,F1,23/08/08,Sochaux,Paris SG,1.0,18.0,4.5,0,0,2,15.0,3.0,0.0,1.0,6.5,2.5,1,0,1,17.5,2.5,0.0,0.5
26,F1,23/08/08,Valenciennes,Lorient,2.0,15.0,4.5,1,0,1,18.0,2.5,0.0,1.0,9.5,0.5,1,1,0,15.5,2.0,0.0,0.5
27,F1,24/08/08,Auxerre,Nice,0.0,8.5,3.5,1,0,1,16.0,1.5,0.0,1.0,10.0,3.0,1,0,1,22.0,1.5,0.0,1.0
28,F1,24/08/08,Bordeaux,Nantes,2.0,20.0,8.5,1,0,1,11.0,2.5,0.0,1.0,14.0,4.0,0,1,1,23.0,1.5,0.0,1.0
29,F1,24/08/08,Rennes,Lille,2.0,16.0,7.5,0,1,1,20.0,2.5,0.0,2.0,11.0,2.5,0,1,1,17.5,2.5,1.0,0.5
30,F1,30/08/08,Caen,Paris SG,0.0,14.333333333333334,2.6666666666666665,1,1,1,22.0,3.0,0.0,1.6666666666666665,9.333333333333334,3.0,1,1,1,15.333333333333334,2.6666666666666665,0.0,0.6666666666666666
31,F1,30/08/08,Grenoble,Monaco,2.0,8.0,2.6666666666666665,2,0,1,13.666666666666668,1.3333333333333333,0.0,1.0,10.666666666666668,3.666666666666666,1,2,0,18.333333333333332,2.333333333333333,0.0,1.0
32,F1,30/08/08,Lorient,Auxerre,0.0,11.333333333333334,2.0,1,1,1,16.0,1.6666666666666665,0.0,0.6666666666666666,9.666666666666668,3.3333333333333335,1,0,2,13.666666666666666,1.0,0.0,0.6666666666666666
33,F1,30/08/08,Marseille,Sochaux,2.0,17.666666666666664,7.0,2,1,0,15.666666666666666,1.3333333333333333,0.3333333333333333,3.0,17.666666666666668,4.666666666666667,0,1,2,15.333333333333332,2.3333333333333335,0.0,1.0
34,F1,30/08/08,Nancy,Le Havre,2.0,9.666666666666666,2.666666666666667,0,2,1,17.333333333333332,2.0,0.3333333333333333,0.3333333333333333,11.666666666666666,2.6666666666666665,1,0,2,19.666666666666664,1.0,0.0,0.6666666666666666
35,F1,30/08/08,Nantes,Le Mans,0.0,11.666666666666666,3.0,0,1,2,19.666666666666668,2.0,0.0,0.6666666666666666,7.000000000000001,3.0,2,0,1,20.0,1.9999999999999998,0.0,1.3333333333333333
36,F1,30/08/08,Nice,Valenciennes,2.0,10.666666666666668,3.0,2,0,1,23.0,1.6666666666666665,0.0,1.0,15.0,5.333333333333334,2,0,1,18.0,2.333333333333333,0.0,1.6666666666666665
37,F1,31/08/08,Lille,Bordeaux,2.0,11.0,3.6666666666666665,0,1,2,17.333333333333332,2.333333333333333,0.3333333333333333,0.6666666666666666,20.666666666666664,9.0,2,0,1,11.666666666666668,1.6666666666666665,0.0,1.3333333333333333
38,F1,31/08/08,St Etienne,Lyon,0.0,18.666666666666664,4.666666666666667,1,0,2,15.0,1.6666666666666665,0.0,0.6666666666666666,13.0,5.0,2,1,0,16.0,2.0,0.0,1.6666666666666665
