,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG
0,F1,08/08/14,Reims,Paris SG,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1,F1,09/08/14,Bastia,Marseille,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2,F1,09/08/14,Evian Thonon Gaillard,Caen,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
3,F1,09/08/14,Guingamp,St Etienne,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
4,F1,09/08/14,Lille,Metz,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
5,F1,09/08/14,Montpellier,Bordeaux,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
6,F1,09/08/14,Nantes,Lens,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
7,F1,09/08/14,Nice,Toulouse,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
8,F1,10/08/14,Lyon,Rennes,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
9,F1,10/08/14,Monaco,Lorient,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
10,F1,15/08/14,Caen,Lille,0.0,12.0,7.0,1,0,0,9.0,1.0,0.0,3.0,14.0,3.0,0,1,0,9.0,0.0,0.0,0.0
11,F1,16/08/14,Lens,Guingamp,0.0,5.0,2.0,0,0,1,7.0,1.0,0.0,0.0,6.0,3.0,0,0,1,9.0,3.0,0.0,0.0
12,F1,16/08/14,Lorient,Nice,1.0,9.0,3.0,1,0,0,19.0,2.0,0.0,2.0,22.0,8.0,1,0,0,10.0,0.0,0.0,3.0
13,F1,16/08/14,Metz,Nantes,1.0,2.0,1.0,0,1,0,23.0,1.0,0.0,0.0,14.0,4.0,1,0,0,8.0,0.0,0.0,1.0
14,F1,16/08/14,Paris SG,Bastia,2.0,16.0,6.0,0,1,0,16.0,2.0,0.0,2.0,13.0,4.0,0,1,0,25.0,3.0,0.0,3.0
15,F1,16/08/14,Rennes,Evian Thonon Gaillard,2.0,7.0,1.0,0,0,1,13.0,1.0,0.0,0.0,10.0,2.0,0,0,1,12.0,1.0,0.0,0.0
16,F1,16/08/14,Toulouse,Lyon,2.0,11.0,3.0,0,0,1,9.0,1.0,0.0,2.0,19.0,6.0,1,0,0,19.0,2.0,0.0,2.0
17,F1,17/08/14,Bordeaux,Monaco,2.0,7.0,3.0,1,0,0,21.0,2.0,0.0,1.0,12.0,7.0,0,0,1,11.0,3.0,1.0,1.0
18,F1,17/08/14,Marseille,Montpellier,0.0,9.0,4.0,0,1,0,21.0,1.0,0.0,3.0,15.0,3.0,0,0,1,15.0,2.0,0.0,0.0
19,F1,17/08/14,St Etienne,Reims,2.0,7.0,2.0,1,0,0,19.0,4.0,0.0,2.0,9.0,3.0,0,1,0,15.0,0.0,0.0,2.0
20,F1,22/08/14,Evian Thonon Gaillard,Paris SG,1.0,9.5,2.5,0,0,2,12.0,1.0,0.0,1.0,15.5,5.5,1,1,0,12.5,1.5,0.0,2.0
21,F1,23/08/14,Bastia,Toulouse,2.0,9.0,2.5,0,1,1,20.0,3.0,0.0,1.5,10.5,4.5,1,0,1,10.0,2.0,0.0,2.0
22,F1,23/08/14,Guingamp,Marseille,0.0,8.0,3.5,1,0,1,7.0,2.0,0.0,0.5,15.5,4.5,0,1,1,19.5,1.0,0.0,1.5
23,F1,23/08/14,Lille,Lorient,2.0,11.0,2.0,1,1,0,6.5,1.0,0.0,0.5,11.0,4.5,1,1,0,16.5,1.5,0.0,1.0
24,F1,23/08/14,Montpellier,Metz,2.0,12.5,3.0,1,0,1,16.0,1.0,0.0,1.0,7.0,3.0,0,2,0,17.5,1.5,0.0,0.5
25,F1,23/08/14,Nice,Bordeaux,0.0,15.5,5.0,1,1,0,10.0,0.5,0.0,1.5,8.0,4.0,2,0,0,16.5,1.5,0.0,2.5
26,F1,23/08/14,Reims,Caen,0.0,8.0,2.5,0,1,1,13.0,1.0,0.0,1.5,11.5,5.0,1,0,1,9.5,1.5,0.5,1.5
27,F1,24/08/14,Lyon,Lens,0.0,18.5,4.5,1,0,1,15.5,1.5,0.0,1.5,9.5,3.0,0,0,2,10.5,2.5,0.0,0.0
28,F1,24/08/14,Nantes,Monaco,0.0,10.0,3.0,1,1,0,12.5,0.5,0.0,1.0,10.5,5.0,0,0,2,16.0,3.0,0.5,1.0
29,F1,24/08/14,St Etienne,Rennes,1.0,13.0,5.5,2,0,0,13.5,3.0,0.0,2.5,8.0,4.0,1,0,1,8.5,0.5,0.0,3.0
30,F1,29/08/14,Marseille,Nice,2.0,15.666666666666664,4.0,1,1,1,17.666666666666668,1.6666666666666665,0.0,1.3333333333333333,13.999999999999998,3.9999999999999996,1,1,1,10.666666666666668,1.0,0.0,1.3333333333333333
31,F1,30/08/14,Caen,Rennes,0.0,13.0,5.333333333333334,2,0,1,10.333333333333334,1.0,0.3333333333333333,1.6666666666666665,7.000000000000001,2.666666666666667,1,1,1,12.666666666666666,1.3333333333333333,0.0,2.0
32,F1,30/08/14,Lens,Reims,2.0,8.666666666666668,2.6666666666666665,1,0,2,12.666666666666668,2.6666666666666665,0.0,0.3333333333333333,9.333333333333334,3.0,0,1,2,10.0,1.0,0.0,1.0
33,F1,30/08/14,Lorient,Guingamp,2.0,9.666666666666666,3.3333333333333335,1,1,1,13.666666666666666,1.3333333333333333,0.0,0.6666666666666666,6.666666666666667,2.9999999999999996,1,0,2,10.0,1.6666666666666665,0.0,0.3333333333333333
34,F1,30/08/14,Monaco,Lille,1.0,9.0,4.0,1,0,2,14.0,2.6666666666666665,0.3333333333333333,1.0,11.666666666666668,3.333333333333333,2,1,0,8.333333333333332,0.6666666666666666,0.0,1.0
35,F1,30/08/14,Nantes,Montpellier,2.0,11.666666666666668,3.666666666666667,1,1,1,12.333333333333334,0.3333333333333333,0.0,0.6666666666666666,12.333333333333334,3.666666666666667,2,0,1,15.0,0.6666666666666666,0.0,1.3333333333333333
36,F1,30/08/14,Toulouse,Evian Thonon Gaillard,2.0,11.666666666666668,4.0,1,0,2,13.0,1.6666666666666665,0.0,1.3333333333333333,9.333333333333334,2.333333333333333,0,1,2,14.0,1.6666666666666665,0.0,0.6666666666666666
37,F1,31/08/14,Bordeaux,Bastia,1.0,9.333333333333334,5.0,3,0,0,18.0,2.333333333333333,0.3333333333333333,2.6666666666666665,8.666666666666666,2.6666666666666665,1,1,1,17.666666666666668,3.0,0.0,1.3333333333333333
38,F1,31/08/14,Metz,Lyon,2.0,8.666666666666668,3.0,0,2,1,18.0,1.6666666666666665,0.0,0.3333333333333333,17.666666666666664,4.333333333333333,1,0,2,16.666666666666664,1.3333333333333333,0.0,1.0
39,F1,31/08/14,Paris SG,St Etienne,2.0,12.666666666666666,4.666666666666667,1,2,0,10.666666666666666,1.6666666666666665,0.3333333333333333,1.3333333333333333,12.333333333333332,4.333333333333333,2,1,0,13.666666666666668,2.6666666666666665,0.0,1.6666666666666665
40,F1,12/09/14,Lyon,Monaco,2.0,17.5,4.5,1,0,3,15.5,1.0,0.0,1.0,10.0,3.5,1,1,2,13.25,2.25,0.25,1.0
41,F1,13/09/14,Bastia,Lens,1.0,8.5,3.0,1,2,1,17.5,3.0,0.0,1.25,10.75,3.5,2,0,2,13.0,2.5,0.0,1.25
42,F1,13/09/14,Montpellier,Lorient,2.0,11.0,2.75,2,0,2,13.75,0.5,0.0,1.0,10.0,4.0,2,1,1,12.0,1.5,0.0,1.5
43,F1,13/09/14,Nice,Metz,2.0,12.5,3.75,1,1,2,12.0,1.25,0.0,1.0,8.25,3.0,1,2,1,18.25,1.5,0.0,0.75
44,F1,13/09/14,Reims,Toulouse,2.0,9.5,2.75,0,1,3,11.0,1.25,0.25,1.25,11.25,4.25,2,0,2,12.75,1.5,0.0,1.25
45,F1,13/09/14,Rennes,Paris SG,1.0,7.75,2.25,2,1,1,14.25,1.5,0.0,1.75,12.75,5.5,2,2,0,9.75,1.25,1.0,2.25
46,F1,13/09/14,St Etienne,Caen,2.0,11.25,3.75,2,1,1,13.75,2.25,0.0,1.25,13.0,5.0,2,0,2,9.75,0.75,0.5,1.25
47,F1,14/09/14,Evian Thonon Gaillard,Marseille,0.0,8.75,2.25,0,1,3,15.25,1.75,0.25,0.5,16.75,5.0,2,1,1,16.25,1.5,0.0,2.0
48,F1,14/09/14,Guingamp,Bordeaux,2.0,7.0,2.75,1,0,3,9.75,1.5,0.0,0.25,12.75,4.75,3,1,0,17.75,1.75,1.0,2.25
