,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG
0,F1,04/08/17,Monaco,Toulouse,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1,F1,05/08/17,Lyon,Strasbourg,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2,F1,05/08/17,Metz,Guingamp,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
3,F1,05/08/17,Montpellier,Caen,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
4,F1,05/08/17,Paris SG,Amiens,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
5,F1,05/08/17,St Etienne,Nice,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
6,F1,05/08/17,Troyes,Rennes,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
7,F1,06/08/17,Angers,Bordeaux,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
8,F1,06/08/17,Lille,Nantes,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
9,F1,06/08/17,Marseille,Dijon,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
10,F1,11/08/17,Nice,Troyes,0.0,6.0,2.0,0,0,1,8.0,1.0,0.0,0.0,11.0,4.0,0,1,0,13.0,1.0,0.0,1.0
11,F1,11/08/17,Rennes,Lyon,0.0,16.0,4.0,0,1,0,8.0,0.0,0.0,1.0,12.0,7.0,1,0,0,11.0,2.0,0.0,4.0
12,F1,12/08/17,Amiens,Angers,0.0,7.0,1.0,0,0,1,12.0,1.0,0.0,0.0,9.0,5.0,0,1,0,16.0,3.0,0.0,2.0
13,F1,12/08/17,Bordeaux,Metz,2.0,7.0,4.0,0,1,0,15.0,2.0,0.0,2.0,6.0,4.0,0,0,1,9.0,1.0,0.0,1.0
14,F1,12/08/17,Caen,St Etienne,0.0,8.0,1.0,0,0,1,11.0,1.0,0.0,0.0,8.0,3.0,1,0,0,11.0,2.0,0.0,1.0
15,F1,12/08/17,Nantes,Marseille,0.0,9.0,4.0,0,0,1,17.0,3.0,0.0,0.0,18.0,5.0,1,0,0,7.0,1.0,0.0,3.0
16,F1,12/08/17,Toulouse,Montpellier,2.0,6.0,3.0,0,0,1,23.0,3.0,0.0,2.0,10.0,2.0,1,0,0,9.0,2.0,0.0,1.0
17,F1,13/08/17,Dijon,Monaco,0.0,12.0,1.0,0,0,1,10.0,0.0,0.0,0.0,17.0,7.0,1,0,0,12.0,1.0,0.0,3.0
18,F1,13/08/17,Guingamp,Paris SG,0.0,13.0,5.0,1,0,0,13.0,2.0,0.0,3.0,16.0,5.0,1,0,0,9.0,0.0,0.0,2.0
19,F1,13/08/17,Strasbourg,Lille,2.0,7.0,1.0,0,0,1,16.0,3.0,0.0,0.0,14.0,5.0,1,0,0,11.0,2.0,0.0,3.0
20,F1,18/08/17,Metz,Monaco,0.0,6.0,2.5,0,0,2,9.5,1.5,0.0,0.5,16.5,6.5,2,0,0,12.0,1.5,0.0,3.5
21,F1,19/08/17,Lyon,Bordeaux,1.0,14.5,7.5,2,0,0,13.5,2.5,0.0,3.0,9.5,4.5,1,1,0,16.0,1.5,0.0,2.0
22,F1,19/08/17,Montpellier,Strasbourg,1.0,12.0,1.5,1,0,1,10.5,2.5,0.0,0.5,14.5,5.0,1,0,1,12.0,2.0,0.0,1.5
23,F1,19/08/17,Nice,Guingamp,2.0,13.0,4.0,0,0,2,9.5,1.5,0.0,0.5,8.5,2.5,1,0,1,11.0,2.0,0.0,1.5
24,F1,19/08/17,Rennes,Dijon,1.0,16.5,4.5,0,1,1,8.5,0.5,0.0,1.0,13.5,2.0,0,0,2,10.0,0.0,0.0,0.5
