,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG
0,F1,06/08/11,Ajaccio,Toulouse,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1,F1,06/08/11,Brest,Evian Thonon Gaillard,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2,F1,06/08/11,Caen,Valenciennes,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
3,F1,06/08/11,Marseille,Sochaux,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
4,F1,06/08/11,Montpellier,Auxerre,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
5,F1,06/08/11,Nancy,Lille,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
6,F1,06/08/11,Nice,Lyon,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
7,F1,06/08/11,Paris SG,Lorient,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
8,F1,07/08/11,Bordeaux,St Etienne,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
9,F1,07/08/11,Dijon,Rennes,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
10,F1,13/08/11,Lorient,Bordeaux,1.0,9.0,4.0,1,0,0,10.0,3.0,0.0,1.0,12.0,5.0,0,0,1,16.0,1.0,0.0,1.0
11,F1,13/08/11,Lyon,Ajaccio,1.0,22.0,9.0,1,0,0,13.0,1.0,0.0,3.0,18.0,6.0,0,0,1,14.0,4.0,0.0,0.0
12,F1,13/08/11,Rennes,Paris SG,1.0,15.0,7.0,1,0,0,16.0,2.0,0.0,5.0,12.0,3.0,0,0,1,21.0,1.0,0.0,0.0
13,F1,13/08/11,Sochaux,Caen,0.0,8.0,3.0,0,1,0,13.0,3.0,0.0,2.0,11.0,3.0,1,0,0,12.0,2.0,0.0,1.0
14,F1,13/08/11,St Etienne,Nancy,2.0,12.0,2.0,1,0,0,19.0,4.0,0.0,2.0,5.0,1.0,0,1,0,17.0,2.0,1.0,1.0
15,F1,13/08/11,Toulouse,Dijon,2.0,13.0,8.0,1,0,0,17.0,2.0,0.0,2.0,18.0,5.0,0,0,1,18.0,3.0,0.0,1.0
