,Div,Date,Time,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG
30,F1,18/09/2020,20:00,Lyon,Nimes,1,22.0,7.333333333333334,0.3333333333333333,0.6666666666666666,0.3333333333333333,14.666666666666664,2.6666666666666665,0.3333333333333333,1.6666666666666665,15.333333333333336,7.666666666666667,0.3333333333333333,0.0,0.6666666666666666,13.333333333333334,2.0,0.0,2.333333333333333
31,F1,19/09/2020,16:00,Lens,Bordeaux,2,12.0,4.333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,18.333333333333332,2.6666666666666665,0.3333333333333333,1.6666666666666665,5.666666666666667,2.666666666666667,0.3333333333333333,0.6666666666666666,0.0,13.666666666666666,2.333333333333333,0.3333333333333333,0.6666666666666666
32,F1,19/09/2020,20:00,Rennes,Monaco,2,14.0,5.333333333333334,0.6666666666666666,0.6666666666666666,0.0,15.666666666666664,3.333333333333333,0.6666666666666666,2.333333333333333,14.333333333333332,4.0,0.6666666666666666,0.3333333333333333,0.0,14.0,3.0,1.0,1.6666666666666665
33,F1,20/09/2020,12:00,Nice,Paris SG,0,5.333333333333333,1.6666666666666665,0.6666666666666666,0.6666666666666666,0.3333333333333333,14.666666666666668,3.333333333333333,0.0,1.6666666666666665,14.0,4.333333333333333,0.3333333333333333,0.0,0.6666666666666666,11.666666666666666,3.6666666666666665,1.3333333333333333,0.3333333333333333
34,F1,20/09/2020,14:00,Brest,Lorient,2,16.0,4.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,16.666666666666668,1.6666666666666665,0.3333333333333333,1.3333333333333333,7.333333333333334,3.666666666666667,0.3333333333333333,0.0,0.6666666666666666,20.0,2.6666666666666665,0.0,1.6666666666666665
35,F1,20/09/2020,14:00,Metz,Reims,2,8.666666666666668,1.9999999999999998,0.0,0.6666666666666666,1.0,11.333333333333334,2.0,0.0,0.0,6.666666666666666,1.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,15.333333333333334,2.9999999999999996,1.0,0.6666666666666666
36,F1,20/09/2020,14:00,Montpellier,Angers,2,13.666666666666668,6.333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,15.333333333333332,1.6666666666666665,0.6666666666666666,2.0,14.666666666666668,4.333333333333334,0.6666666666666666,0.0,0.3333333333333333,10.666666666666666,1.6666666666666665,0.3333333333333333,0.6666666666666666
37,F1,20/09/2020,14:00,Strasbourg,Dijon,2,9.0,2.666666666666667,0.0,0.6666666666666666,1.0,14.333333333333332,2.333333333333333,0.0,0.3333333333333333,7.333333333333334,2.0,0.0,0.0,1.0,12.666666666666668,1.6666666666666665,0.3333333333333333,0.3333333333333333
38,F1,20/09/2020,16:00,Nantes,St Etienne,1,7.0,2.6666666666666665,0.3333333333333333,0.6666666666666666,0.3333333333333333,13.999999999999998,2.3333333333333335,0.6666666666666666,1.0,11.666666666666666,4.666666666666667,1.0,0.0,0.0,14.0,1.6666666666666665,0.0,2.0
39,F1,20/09/2020,20:00,Marseille,Lille,1,8.333333333333332,2.6666666666666665,0.6666666666666666,0.6666666666666666,0.3333333333333333,15.0,4.666666666666667,0.6666666666666666,1.3333333333333333,10.333333333333332,3.333333333333333,0.6666666666666666,0.3333333333333333,0.0,11.666666666666666,1.6666666666666665,0.3333333333333333,1.0
40,F1,25/09/2020,20:00,Lille,Nantes,2,11.25,4.25,0.5,0.75,0.0,13.25,2.0,0.25,1.0,9.0,2.75,0.25,0.5,0.25,13.5,2.25,0.5,1.25
41,F1,26/09/2020,16:00,St Etienne,Rennes,0,10.25,4.5,0.75,0.5,0.0,14.75,1.75,0.0,2.0,14.0,4.75,0.75,0.25,0.0,14.5,2.75,1.25,2.25
42,F1,26/09/2020,20:00,Marseille,Metz,1,9.0,2.5,0.5,0.75,0.25,14.25,4.25,0.5,1.25,10.0,2.5,0.25,0.0,0.75,12.0,1.75,0.0,0.5
43,F1,27/09/2020,12:00,Bordeaux,Nice,1,6.0,2.75,0.25,1.0,0.25,14.0,3.0,0.5,0.75,7.5,2.5,0.5,0.0,0.5,13.25,2.75,0.0,1.25
44,F1,27/09/2020,14:00,Angers,Brest,2,14.5,4.0,0.5,0.5,0.5,9.25,2.0,0.25,0.75,15.5,4.5,0.5,0.0,0.5,17.5,1.75,1.0,1.75
45,F1,27/09/2020,14:00,Dijon,Montpellier,1,7.0,2.0,0.0,0.5,1.0,13.5,1.5,0.25,0.25,13.75,7.0,0.75,0.0,0.25,15.0,2.25,1.25,2.5
46,F1,27/09/2020,14:00,Monaco,Strasbourg,2,14.25,3.5,0.5,0.75,0.25,13.25,2.75,0.25,1.5,11.0,3.5,0.25,0.0,0.75,13.25,2.0,0.0,0.5
47,F1,27/09/2020,14:00,Nimes,Lens,1,14.0,6.5,0.25,0.5,0.5,13.0,2.0,0.0,1.75,13.75,4.5,0.75,0.0,0.25,17.5,3.25,1.0,1.75
48,F1,27/09/2020,16:00,Lorient,Lyon,1,7.75,3.75,0.25,0.5,0.75,18.25,2.25,0.0,1.75,20.5,6.25,0.25,0.5,0.25,15.5,2.75,1.0,1.25
49,F1,27/09/2020,20:00,Reims,Paris SG,0,7.5,2.25,0.0,0.75,0.75,13.25,3.25,0.5,0.75,14.0,4.75,0.5,0.0,0.5,11.0,3.25,1.0,1.0
