,Div,Date,Time,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG
0,F1,09/08/2019,19:45,Monaco,Lyon,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,F1,10/08/2019,16:30,Marseille,Reims,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,F1,10/08/2019,19:00,Angers,Bordeaux,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,F1,10/08/2019,19:00,Brest,Toulouse,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,F1,10/08/2019,19:00,Dijon,St Etienne,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,F1,10/08/2019,19:00,Montpellier,Rennes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,F1,10/08/2019,19:00,Nice,Amiens,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,F1,11/08/2019,14:00,Lille,Nantes,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,F1,11/08/2019,16:00,Strasbourg,Metz,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,F1,11/08/2019,20:00,Paris SG,Nimes,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,F1,16/08/2019,19:45,Lyon,Angers,2,13.0,3.0,1.0,1.0,0.0,17.0,2.0,0.0,3.0,14.0,4.0,1.0,0.0,0.0,11.0,2.0,0.0,3.0
11,F1,17/08/2019,16:30,Nantes,Marseille,1,13.0,3.0,0.0,1.0,1.0,17.0,4.0,0.0,1.0,10.0,2.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0
12,F1,17/08/2019,19:00,Amiens,Lille,2,8.0,2.0,0.0,1.0,1.0,8.0,4.0,1.0,1.0,13.0,3.0,1.0,0.0,0.0,13.0,2.0,0.0,2.0
13,F1,17/08/2019,19:00,Bordeaux,Montpellier,1,8.0,3.0,0.0,1.0,1.0,15.0,1.0,0.0,1.0,24.0,5.0,0.0,0.0,1.0,20.0,3.0,0.0,0.0
14,F1,17/08/2019,19:00,Metz,Monaco,2,7.0,3.0,0.0,1.0,0.0,12.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0,1.0,10.0,2.0,1.0,0.0
15,F1,17/08/2019,19:00,Nimes,Nice,0,5.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,17.0,6.0,1.0,0.0,0.0,10.0,3.0,0.0,2.0
16,F1,17/08/2019,19:00,Toulouse,Dijon,2,13.0,3.0,0.0,1.0,0.0,14.0,0.0,0.0,1.0,15.0,7.0,0.0,0.0,1.0,17.0,0.0,0.0,1.0
17,F1,18/08/2019,14:00,St Etienne,Brest,1,12.0,4.0,1.0,1.0,0.0,10.0,2.0,0.0,2.0,16.0,5.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0
18,F1,18/08/2019,16:00,Reims,Strasbourg,1,8.0,5.0,1.0,1.0,0.0,8.0,0.0,0.0,2.0,13.0,2.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0
19,F1,18/08/2019,20:00,Rennes,Paris SG,2,9.0,3.0,1.0,1.0,0.0,19.0,3.0,1.0,1.0,12.0,5.0,1.0,0.0,0.0,17.0,2.0,0.0,3.0
20,F1,24/08/2019,19:00,Amiens,Nantes,0,8.0,2.5,0.5,0.5,0.5,10.5,2.5,0.5,1.0,13.0,4.5,0.0,0.5,0.5,16.5,2.0,0.0,0.5
21,F1,24/08/2019,19:00,Angers,Metz,2,12.0,3.5,0.5,0.5,0.5,12.5,2.0,0.0,1.5,12.5,6.5,0.5,0.5,0.0,14.0,1.0,0.0,2.0
22,F1,24/08/2019,19:00,Brest,Reims,2,12.5,4.5,0.0,1.0,0.0,9.5,1.0,0.0,1.0,9.5,3.0,0.5,0.5,0.0,13.0,1.0,0.0,1.0
23,F1,24/08/2019,19:00,Dijon,Bordeaux,0,16.5,6.0,0.0,0.5,1.0,11.0,0.0,0.0,0.5,10.5,3.5,0.0,0.5,0.5,15.0,1.5,0.0,1.0
24,F1,25/08/2019,14:00,Monaco,Nimes,1,9.5,3.5,0.0,0.5,1.0,8.5,2.0,1.0,0.0,11.5,3.0,0.0,0.0,1.0,14.5,2.5,1.0,0.5
25,F1,25/08/2019,16:00,Strasbourg,Rennes,0,8.5,1.5,0.0,1.0,0.0,12.5,0.0,0.0,0.5,10.0,3.5,1.0,0.0,0.0,17.0,2.0,1.0,1.5
26,F1,25/08/2019,20:00,Paris SG,Toulouse,2,10.5,3.5,0.5,0.5,0.5,18.0,3.5,0.0,2.0,15.5,5.0,0.5,0.5,0.0,12.5,1.0,0.0,1.0
27,F1,27/08/2019,18:00,Montpellier,Lyon,2,17.0,4.5,0.0,0.5,0.5,20.5,2.0,0.0,0.5,12.0,6.0,1.0,0.0,0.0,12.0,1.5,0.0,4.5
28,F1,28/08/2019,18:00,Lille,St Etienne,2,11.5,2.0,0.5,0.5,0.5,10.0,1.5,0.5,1.0,15.5,4.5,0.5,0.5,0.0,13.0,1.5,0.0,1.5
29,F1,28/08/2019,20:00,Nice,Marseille,0,11.5,4.5,1.0,0.5,0.0,11.0,4.0,0.5,2.0,9.5,2.0,0.0,0.5,0.5,18.0,2.0,0.0,0.0
30,F1,30/08/2019,19:45,Metz,Paris SG,0,9.666666666666668,5.000000000000001,0.3333333333333333,0.6666666666666666,0.3333333333333333,11.999999999999998,1.3333333333333333,0.0,1.3333333333333333,14.0,6.0,0.6666666666666666,0.0,0.3333333333333333,14.666666666666666,2.3333333333333335,0.0,2.6666666666666665
31,F1,31/08/2019,16:30,Lyon,Bordeaux,1,12.666666666666668,5.333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,11.666666666666666,2.333333333333333,0.3333333333333333,3.0,10.333333333333334,3.333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,16.0,1.6666666666666665,0.0,1.3333333333333333
32,F1,31/08/2019,19:00,Angers,Dijon,2,13.0,4.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,13.333333333333334,1.6666666666666665,0.0,2.0,14.333333333333334,4.333333333333333,0.0,0.0,1.0,11.333333333333334,0.0,0.0,0.3333333333333333
33,F1,31/08/2019,19:00,Nantes,Montpellier,2,17.0,5.0,0.3333333333333333,1.0,0.3333333333333333,15.333333333333332,1.6666666666666665,0.0,1.0,17.666666666666668,4.666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,18.333333333333336,2.0,0.0,0.6666666666666666
34,F1,31/08/2019,19:00,Nimes,Brest,2,12.333333333333334,3.333333333333333,0.0,0.6666666666666666,0.6666666666666666,15.333333333333332,2.0,0.6666666666666666,1.0,10.999999999999998,4.333333333333333,0.3333333333333333,0.6666666666666666,0.0,12.333333333333332,1.0,0.0,1.0
35,F1,31/08/2019,19:00,Toulouse,Amiens,2,11.333333333333332,3.3333333333333335,0.3333333333333333,0.6666666666666666,0.3333333333333333,12.666666666666668,1.0,0.0,0.6666666666666666,6.333333333333333,1.9999999999999998,0.3333333333333333,0.0,0.6666666666666666,10.0,1.9999999999999998,1.3333333333333333,1.0
36,F1,01/09/2019,14:00,Reims,Lille,2,9.666666666666666,2.6666666666666665,0.3333333333333333,1.0,0.3333333333333333,13.333333333333332,1.0,0.0,0.6666666666666666,13.0,3.666666666666667,0.6666666666666666,0.0,0.3333333333333333,9.666666666666666,1.0,1.0,1.6666666666666665
37,F1,01/09/2019,14:00,Rennes,Nice,0,9.0,3.666666666666666,1.0,0.6666666666666666,0.0,15.666666666666664,2.0,0.3333333333333333,1.6666666666666665,11.666666666666668,4.0,0.6666666666666666,0.0,0.3333333333333333,9.666666666666668,3.0000000000000004,1.0,1.6666666666666665
38,F1,01/09/2019,16:00,Strasbourg,Monaco,1,12.0,2.0,0.0,0.6666666666666666,0.3333333333333333,12.666666666666664,1.3333333333333333,0.3333333333333333,0.3333333333333333,11.666666666666668,4.333333333333334,0.0,0.3333333333333333,0.6666666666666666,10.333333333333334,2.0,1.6666666666666665,0.6666666666666666
