,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,DateTime,HRP,ARP
16,F1,17/08/13,Toulouse,Bordeaux,1.0,2.0,1.0,0,0,1,12.0,0.0,1.0,0.0,11.0,2.0,0,0,1,16.0,1.0,0.0,0.0,2013-08-17,BasDeTableau,BasDeTableau
17,F1,18/08/13,Lorient,Nantes,2.0,6.0,3.0,0,0,1,18.0,1.0,1.0,0.0,7.0,3.0,1,0,0,14.0,1.0,1.0,2.0,2013-08-18,BasDeTableau,HautDeTableau
18,F1,18/08/13,Monaco,Montpellier,2.0,13.0,6.0,1,0,0,11.0,0.0,0.0,2.0,6.0,1.0,0,1,0,22.0,2.0,1.0,1.0,2013-08-18,HautDeTableau,MilieuDeTableau
19,F1,18/08/13,Paris SG,Ajaccio,1.0,12.0,4.0,0,1,0,18.0,2.0,0.0,1.0,7.0,1.0,0,0,1,16.0,0.0,1.0,0.0,2013-08-18,MilieuDeTableau,BasDeTableau
20,F1,23/08/13,Monaco,Toulouse,1.0,13.0,6.5,2,0,0,16.0,1.0,0.0,3.0,7.0,3.5,0,1,1,14.0,1.5,1.0,0.5,2013-08-23,HautDeTableau,BasDeTableau
21,F1,24/08/13,Bordeaux,Bastia,2.0,9.5,3.0,0,1,1,16.5,1.0,0.5,0.5,9.0,1.0,1,0,1,13.5,2.5,1.0,1.0,2013-08-24,BasDeTableau,MilieuDeTableau
22,F1,24/08/13,Evian Thonon Gaillard,Rennes,0.0,15.5,6.0,0,1,1,12.5,1.0,0.0,0.5,8.5,4.5,1,0,1,13.0,1.0,1.0,1.5,2013-08-24,BasDeTableau,MilieuDeTableau
23,F1,24/08/13,Guingamp,Lorient,2.0,9.0,3.5,0,0,2,13.5,2.5,0.0,0.5,10.0,5.5,1,0,1,13.0,1.0,1.0,1.0,2013-08-24,BasDeTableau,MilieuDeTableau
24,F1,24/08/13,Lyon,Reims,0.0,13.5,7.0,2,0,0,19.5,0.5,0.0,3.5,12.5,4.0,1,0,1,13.5,1.5,0.0,1.5,2013-08-24,HautDeTableau,MilieuDeTableau
25,F1,24/08/13,Montpellier,Sochaux,2.0,5.5,2.0,0,1,1,18.5,2.5,1.0,1.0,10.0,7.0,0,1,1,16.0,2.5,0.0,1.0,2013-08-24,MilieuDeTableau,MilieuDeTableau
26,F1,24/08/13,Valenciennes,Marseille,0.0,13.0,5.0,1,0,1,18.5,2.0,0.0,1.5,12.0,5.0,2,0,0,15.0,3.5,0.0,2.5,2013-08-24,MilieuDeTableau,HautDeTableau
27,F1,25/08/13,Ajaccio,Nice,1.0,4.0,1.0,0,1,1,13.5,1.5,0.5,0.5,13.0,5.0,1,0,1,10.5,0.0,0.0,1.0,2013-08-25,BasDeTableau,MilieuDeTableau
28,F1,25/08/13,Lille,St Etienne,2.0,10.5,3.0,1,0,1,16.0,0.5,0.0,1.0,8.5,1.5,2,0,0,16.5,2.5,0.0,1.0,2013-08-25,MilieuDeTableau,MilieuDeTableau
29,F1,25/08/13,Nantes,Paris SG,0.0,7.5,3.0,1,0,1,16.5,1.0,0.5,1.5,24.5,9.5,0,2,0,17.5,2.0,0.0,1.0,2013-08-25,MilieuDeTableau,MilieuDeTableau
30,F1,31/08/13,Bastia,Toulouse,2.0,7.333333333333332,1.3333333333333333,1,0,2,14.666666666666668,2.333333333333333,0.3333333333333333,0.6666666666666666,5.666666666666668,2.333333333333333,0,2,1,17.333333333333332,2.0,1.0,0.3333333333333333,2013-08-31,BasDeTableau,BasDeTableau
31,F1,31/08/13,Evian Thonon Gaillard,Lyon,2.0,16.0,5.666666666666668,0,1,2,11.666666666666664,1.3333333333333333,0.0,0.6666666666666666,15.333333333333332,6.333333333333332,2,0,1,18.666666666666668,0.6666666666666666,0.0,2.333333333333333,2013-08-31,BasDeTableau,HautDeTableau
