,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,DateTime,HRP,ARP
0,F1,07/08/10,Auxerre,Lorient,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2010-08-07,HautDeTableau,HautDeTableau
1,F1,07/08/10,Lens,Nancy,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2010-08-07,HautDeTableau,HautDeTableau
2,F1,07/08/10,Lyon,Monaco,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2010-08-07,HautDeTableau,HautDeTableau
3,F1,07/08/10,Marseille,Caen,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2010-08-07,MilieuDeTableau,HautDeTableau
4,F1,07/08/10,Nice,Valenciennes,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2010-08-07,MilieuDeTableau,MilieuDeTableau
5,F1,07/08/10,Paris SG,St Etienne,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2010-08-07,MilieuDeTableau,MilieuDeTableau
6,F1,07/08/10,Rennes,Lille,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2010-08-07,BasDeTableau,MilieuDeTableau
7,F1,07/08/10,Sochaux,Arles,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2010-08-07,BasDeTableau,BasDeTableau
8,F1,07/08/10,Toulouse,Brest,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2010-08-07,BasDeTableau,BasDeTableau
9,F1,08/08/10,Montpellier,Bordeaux,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2010-08-08,BasDeTableau,BasDeTableau
10,F1,14/08/10,Arles,Lens,0.0,10.0,1.0,0,0,1,19.0,4.0,0.0,1.0,17.0,6.0,0,0,1,17.0,3.0,0.0,1.0,2010-08-14,MilieuDeTableau,MilieuDeTableau
11,F1,15/08/10,Bordeaux,Toulouse,0.0,8.0,1.0,0,0,1,13.0,2.0,0.0,0.0,9.0,4.0,1,0,0,21.0,3.0,0.0,2.0,2010-08-15,BasDeTableau,HautDeTableau
12,F1,14/08/10,Brest,Auxerre,1.0,9.0,1.0,0,0,1,18.0,2.0,0.0,0.0,11.0,6.0,0,1,0,14.0,3.0,0.0,2.0,2010-08-14,BasDeTableau,HautDeTableau
13,F1,15/08/10,Caen,Lyon,2.0,12.0,2.0,1,0,0,23.0,3.0,0.0,2.0,16.0,5.0,0,1,0,14.0,2.0,0.0,0.0,2010-08-15,HautDeTableau,BasDeTableau
14,F1,15/08/10,Lille,Paris SG,1.0,14.0,5.0,0,1,0,21.0,3.0,0.0,1.0,19.0,6.0,1,0,0,11.0,2.0,0.0,3.0,2010-08-15,MilieuDeTableau,HautDeTableau
15,F1,14/08/10,Lorient,Nice,0.0,10.0,2.0,0,1,0,9.0,3.0,0.0,2.0,10.0,2.0,0,1,0,11.0,0.0,0.0,0.0,2010-08-14,HautDeTableau,BasDeTableau
